"rownum","Id","Art","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","AchievementItemsKeys"
0,"Currency","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedCurrency","Currency","Objets monétaires","Währung","カレンシー","화폐","Item Monetário","Валюта","Objetos monetarios","เงินตรา","通貨",[]
1,"Uniques","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedUniques","Uniques","Uniques","Einzigartige Gegenstände","ユニーク","고유 아이템","Únicos","Уникальные предметы","Únicos","ยูนิค","傳奇",[]
2,"Gems","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedGems","Gems","Gemmes","Gemmen","ジェム","젬","Gemas","Камни","Gemas","หิน","寶石",[]
3,"Maps","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMaps","Maps","Cartes","Karten","マップ","지도","Mapas","Карты","Mapas","แผนที่","地圖",[]
4,"Trinkets","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedTrinkets","Trinkets","Accessoires","Schmuck","宝飾品","장신구","Bugigangas","Бижутерия","Abalorios","เครื่องประดับ","飾品",[]
5,"Armour","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedArmour","Armour","Pièces d'armure","Rüstung","防具","방어구","Armaduras","Доспехи","Armadura","เกราะ","護甲",[]
6,"Weapon","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedWeapons","Weapon","Armes","Waffe","武器","무기","Armas","Оружие","Arma","อาวุธ","武器",[]
7,"Abyss","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedAbyss","Abyss","Objets abyssaux","Abyss","アビス","심연","Abissal","Бездна","Abismo","อะบิส","深淵",[]
8,"Expedition","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedExpedition","Expedition","Objets d'Expédition","Expedition","エクスペディション","탐험","Expedition","Экспедиция","Expedition","กองสำรวจ","探險",[]
9,"Harbinger","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedHarbinger","Harbinger","Objets de Précurseur","Harbinger","ハービンジャー","선구자","Emissário","Предвестник","Heraldo","ฮาร์บินเจอร์","神諭",[]
10,"Breach","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedBreach","Breach","Objets de Brèche","Breach","ブリーチ","균열","Fenda","Разлом","Fisura","บรีช","裂痕",[]
