"rownum","string"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","string"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)"
0,"DPadUp","D-pad Up","Haut (croix direct.)","Steuerkreuz oben","方向キー上","방향패드 위","D-pad Cima","Крестовина вверх","Cruceta arriba","D-pad ขึ้น","上","DPadUp","Up","Haut","Oben","上","위","Cima","Вверх","Arriba","ขึ้น","上","D-pad Up","Haut (croix direct.)","Steuerkreuz oben","方向キー上","방향키 (상)","D-pad Up","Крестовина вверх","Cruceta arriba","D-pad ขึ้น","上"
1,"DPadDown","D-pad Down","Bas (croix direct.)","Steuerkreuz unten","方向キー下","방향패드 아래","D-pad Baixo","Крестовина вниз","Cruceta abajo","D-pad ลง","下","DPadDown","Down","Bas","Unten","下","아래","Baixo","Вниз","Abajo","ลง","下","D-pad Down","Bas (croix direct.)","Steuerkreuz unten","方向キー下","방향키 (하)","D-pad Down","Крестовина вниз","Cruceta abajo","D-pad ลง","下"
2,"DPadLeft","D-pad Left","Gauche (croix direct.)","Steuerkreuz links","方向キー左","방향패드 왼쪽","D-pad Esquerda","Крестовина влево","Cruceta izquierda","D-pad ซ้าย","左","DPadLeft","Left","Gauche","Links","左","왼쪽","Esquerda","Влево","Izquierda","ซ้าย","左","D-pad Left","Gauche (croix direct.)","Steuerkreuz links","方向キー左","방향키 (좌)","D-pad Left","Крестовина влево","Cruceta izquierda","D-pad ซ้าย","左"
3,"DPadRight","D-pad Right","Droite (croix direct.)","Steuerkreuz rechts","方向キー右","방향패드 오른쪽","D-pad Direita","Крестовина вправо","Cruceta derecha","D-pad ขวา","右","DPadRight","Right","Droite","Rechts","右","오른쪽","Direita","Вправо","Derecha","ขวา","右","D-pad Right","Droite (croix direct.)","Steuerkreuz rechts","方向キー右","방향키 (우)","D-pad Right","Крестовина вправо","Cruceta derecha","D-pad ขวา","右"
4,"Start","Menu","Menu","Menü-Taste","メニュー","메뉴","Menu","Menu","Menú","Menu","選單","MenuButton","OPTIONS","OPTIONS","OPTIONS-Taste","オプション","OPTIONS","OPÇÕES","OPTIONS","OPTIONS","OPTIONS","選單","Options","Options","Optionen","オプション","옵션","Options","Options","Opciones","Options","選單"
5,"Back","View","Affichage","Ansicht-Taste","ビュー","보기","Ver","View","Vista","ดู","檢視","ViewButton","Touch Pad Button","Touche pavé tactile","Touchpad-Taste","タッチパッドボタン","터치패드 버튼","Botão do Touch Pad","Кнопка тачпада","Botón del panel táctil","ปุ่มทัชแพด","觸控板","View","Affichage","Ansicht","ビュー","보기","View","View","Ver","ดู","檢視"
6,"LeftThumb","LS","LS","Linker Stick","LS","왼쪽 스틱","LS","LS","LS","LS","LS","LeftStickButton","L3","L3","L3-Taste","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3"
7,"RightThumb","RS","RS","Rechter Stick","RS","오른쪽 스틱","RS","RS","RS","RS","RS","RightStickButton","R3","R3","R3-Taste","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3"
8,"LeftShoulder","LB","LB","Linker Bumper","LB","LB","LB","LB","LB","LB","LB","ShoulderButtonLeft","L1","L1","L1-Taste","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1"
9,"RightShoulder","RB","RB","Rechter Bumper","RB","RB","RB","RB","RB","RB","RB","ShoulderButtonRight","R1","R1","R1-Taste","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1"
10,"A","A","A","A-Taste","A","A","A","A","A","A","A","Button4","Cross","Croix","Kreuz-Taste","×","십자","Cruz","Крестик","Cruz","กากบาท","X","A","A","A","A","A","A","A","A","A","A"
11,"B","B","B","B-Taste","B","B","B","B","B","B","B","Button3","Circle","Rond","Kreis-Taste","○","동그라미","Bola","Круг","Círculo","วงกลม","O","B","B","B","B","B","B","B","B","B","B"
