"rownum","string","[string]","[string]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","rid"
0,"HarvestThornOnHit","[""""]",[],1,0,0,0,1040187392,0,0,0,1040187392,0,"","","",""
1,"HarvestBulbOnHit","[""""]",[],1,0,0,0,1912602624,0,0,0,1912602624,0,"","","",""
2,"HarvestScaleOnHit","[""""]",[],1,0,0,0,-1476395008,0,0,0,-1476395008,0,"","","",""
3,"HarvestRavenBossScreechHit","[""\u0000TraumaStrikeHitEffectCelestial""]",[],1,16777216,16777216,0,0,1,0,0,134217728,1,"","","",""
4,"HarvestSpikerBreathImpact","[""raumaStrikeHitEffectCelestial""]",[],1,16777216,0,0,1308622848,1,16777216,0,1509949440,1,"","","",""
5,"HarvestCatBossStealthHit","[""昀攀挀琀䌀攀氀攀猀琀椀愀氀""]",[],1,16777216,0,0,-1509949440,1,0,0,-1509949440,1,"","","",""
6,"HarvestPlagueSpiderViperStrikeImpact","[""""]",[],1,16777216,0,0,33554432,2,16777216,0,33554432,2,"","","",""
7,"HarvestMinerHammerGasHit","[""\u0000阀\u0019""]",[],1,0,0,0,1308622848,2,0,0,1308622848,2,"","","",""
8,"HarvestSnakeHeadbuttImpact","[""ffectHit""]",[],1,16777216,0,0,-1778384896,2,16777216,0,-1778384896,2,"","","",""
9,"HeistTemplarRangedSnipeImpact","[""\u0019""]",[],1,16777216,0,0,-335544320,2,0,0,-335544320,2,"","","",""
10,"HeistMilitaryBounceShield","[""猀栀䠀椀琀""]",[],1,16777216,0,0,838860800,3,16777216,0,1241513984,3,"","","",""
11,"GreenShockHit","[""""]",[],1,0,0,0,-2147483648,3,0,0,-2147483648,3,"","","",""
12,"HeistYellowChaosHit","[""琀愀爀昀愀氀氀刀愀最攀匀氀愀猀栀䠀椀琀""]",[],1,0,0,0,-1174405120,3,0,0,-1174405120,3,"","","",""
13,"RedLightningHit","[""loodScytheHit""]",[],1,0,0,0,-335544320,3,0,0,-335544320,3,"","","",""
14,"HeistTrapLaserBeamImpact","[""""]",[],1,0,0,0,805306368,4,0,0,805306368,4,"","","",""
15,"HeistTwinsColdSnipeImpact","[""䈀氀漀漀搀匀挀礀琀栀攀䠀椀琀䌀漀渀猀漀氀攀""]",[],1,0,0,0,1979711488,4,16777216,0,1979711488,4,"","","",""
16,"BrutalPirateLordHitEffect","[""欀眀漀爀欀䌀栀愀爀愀挀琀攀爀䔀昀昀攀挀琀䠀椀琀""]",[],1,0,0,0,-1006632960,4,0,0,-1006632960,4,"","","",""
17,"CrimsonPriestRuneHitEffect","[""⼀\u001a""]",[],1,0,16777216,0,469762048,5,0,0,603979776,5,"","","",""
18,"MavenOnHitEffect","[""""]",[],1,0,0,0,1476395008,5,0,0,1476395008,5,"","","",""
19,"MavenBrainOnHitEffect","[""""]",[],1,0,0,0,-1778384896,5,0,0,-1778384896,5,"","","",""
20,"BloodTendrilsOnHitEffect","[""氀搀䠀椀琀䔀昀昀攀挀琀""]",[],1,50331648,0,0,-637534208,5,0,0,-637534208,5,"","","",""
21,"BloodScytheHitEffect","[""ffect""]",[],1,50331648,0,0,369098752,6,0,0,369098752,6,"","","",""
22,"BloodScytheHitEffectConsole","[""昀攀挀琀""]",[],1,50331648,0,0,1610612736,6,0,0,1610612736,6,"","","",""
23,"OblivionToxicRainHitEffect","[""\u0000ᩦ""]",[],1,0,0,0,-1476395008,6,0,0,-1476395008,6,"","","",""
24,"ArcaneHit","[""aperHit""]",[],1,0,0,0,-838860800,6,0,0,-838860800,6,"","","",""
25,"VoidEmperorFireDamage",[],[],1,0,0,0,-67108864,6,0,0,-67108864,6,"","","",308
26,"StygianFireHit","[""䠀椀琀""]",[],1,0,0,0,738197504,7,0,0,738197504,7,"","","",""
27,"DemonicLightningHit","[""䈀氀漀漀搀匀挀礀琀栀攀䠀椀琀""]",[],1,0,0,0,1711276032,7,0,0,1711276032,7,"","","",""
28,"BloodTendrilsOnHitEffectTranscendence","[""漀漀搀匀挀礀琀栀攀䠀椀琀""]",[],1,50331648,0,0,-1006632960,7,0,0,-1006632960,7,"","","",""
29,"SpectralSpiralHitEffect",[],[],1,0,0,0,-167772160,7,0,0,-167772160,7,"","","",323
30,"TraumaStrikeHitEffect","[""theHit""]",[],1,0,0,0,872415232,8,0,0,872415232,8,"","","",""
31,"RageVortexHit","[""BloodScytheHitConsole""]",[],1,0,0,0,1644167168,8,0,0,1644167168,8,"","","",""
32,"BurningArrowMysticHit","[""\u0000᭵""]",[],1,0,0,0,-1610612736,8,0,0,-1610612736,8,"","","",""
33,"ExpeditionMedvedChaosHit","[""\u001b""]",[],1,0,0,0,-469762048,8,0,0,-469762048,8,"","","",""
34,"ExpeditionVoranaHit","[""""]",[],1,0,0,0,503316480,9,0,0,503316480,9,"","","",""
35,"ExpeditionPhsicalOnHit","[""""]",[],1,0,0,0,1577058304,9,0,0,1577058304,9,"","","",""
36,"ExpeditionFireOnHit","[""""]",[],1,0,0,0,-1744830464,9,0,0,-1744830464,9,"","","",""
37,"ExpeditionColdOnHit","[""""]",[],1,0,0,0,-771751936,9,0,0,-771751936,9,"","","",""
38,"ExpeditionChaosOnHit","[""""]",[],1,0,0,0,234881024,10,0,0,234881024,10,"","","",""
39,"OlrothBloodSpatter1","[""Blood""]",[],1,0,0,0,1207959552,10,0,0,1207959552,10,"","","",""
40,"OlrothBloodSpatter2","[""氀漀漀搀""]",[],1,16777216,0,0,-2113929216,10,0,0,-2113929216,10,"","","",""
41,"OlrothBloodSpatter3","[""lood""]",[],1,16777216,0,0,-1140850688,10,0,0,-1140850688,10,"","","",""
42,"MyrmidonLightningStrikeHit","[""tadata/Particles/elemental_damages/blood_impacts/blood_impact_player.pet""]",[],1,0,0,0,67108864,11,0,0,67108864,11,"","","",""
43,"HellscapeDemonEliteScreechHit","[""开瀀氀愀礀攀爀⸀瀀攀琀""]",[],1,16777216,16777216,0,1375731712,11,0,0,1509949440,11,"","","",""
44,"DirebladeFireHit","[""et""]",[],1,0,0,0,-1912602624,11,0,0,-1912602624,11,"","","",""
45,"HellscapePaleBossSnipePierce","[""琀爀愀䜀漀爀攀刀攀搀匀洀愀氀氀""]",[],1,16777216,0,0,-637534208,11,0,0,-637534208,11,"","","",""
46,"HellscapePaleBossAxeTossPierce","[""aGoreRedSmall""]",[],1,16777216,0,0,704643072,12,0,0,704643072,12,"","","",""
47,"OblivionSummonRagingSpiritsHit","[""mall""]",[],1,0,0,0,2046820352,12,0,0,2046820352,12,"","","",""
48,"OnyxOblivionSummonRagingSpiritsHit","[""愀氀氀""]",[],1,0,0,0,-771751936,12,0,0,-771751936,12,"","","",""
49,"StygianScourgeArrowHit","[""⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,0,0,301989888,13,0,0,301989888,13,"","","",""
50,"ProjectEssenceDrainHit","[""漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,0,0,1375731712,13,0,0,1375731712,13,"","","",""
51,"ScientistEssenceDrainHit","[""ood/new/red/blood_impact.pet""]",[],1,0,0,0,-1778384896,13,0,0,-1778384896,13,"","","",""
52,"VoidSparkHit","[""ew/red/blood_impact.pet""]",[],1,0,0,0,-1040187392,13,0,0,-1040187392,13,"","","",""
53,"AuspiciousToxicRainHit","[""漀漀搀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,0,0,33554432,14,0,0,33554432,14,"","","",""
54,"BloodTendrilsOnHitEffectMercurial","[""RedLarge""]",[],1,50331648,0,0,1476395008,14,0,0,1476395008,14,"","","",""
55,"ToxicRainOnHitEffectVulcan","[""""]",[],1,0,0,0,-1610612736,14,0,0,-1610612736,14,"","","",""
56,"ConsumeBossLightningHit","[""⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀㄀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,0,0,-503316480,14,0,0,-503316480,14,"","","",""
57,"VulcanLightningStrikeHit","[""挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀㄀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,0,0,637534208,15,0,0,637534208,15,"","","",""
58,"SummonRagingSpiritsDemonicHit","[""猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀㄀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,0,0,1946157056,15,0,0,1946157056,15,"","","",""
