"rownum","Id","ARMFiles","Script","[rid]","Stats","StatsValues","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Type","WorldArea","Icon","i32","MinLevel","rid","bool","ExtraStats","ExtraStatsValues","ReminderText (English)","ReminderText (French)","ReminderText (German)","ReminderText (Japanese)","ReminderText (Korean)","ReminderText (Portuguese)","ReminderText (Russian)","ReminderText (Spanish)","ReminderText (Thai)","ReminderText (Traditional Chinese)","TextAudio","rid","bool"
0,"NULL","[""Metadata/Terrain/Leagues/Lake/Rooms/water.arm""]","",[],[],[],"","","","","","","","","","","","","","","","","","","","",1,"","",1,0,"","",[],[],"","","","","","","","","","","","",""
1,"ENTRANCE","[""Metadata/Terrain/Leagues/Lake/Rooms/entrance.arm""]","default",[],[],[],"","","","","","","","","","","Entrance","Entrée","Eingang","入口","입구","Entrada","Вход","Entrada","ทางเข้า","入口",2,"","",1,0,"","",[],[],"","","","","","","","","","","","",""
2,"Empty","[""Metadata/Terrain/Leagues/Lake/Rooms/blank.arm""]","",[],[],[],"","","","","","","","","","","","","","","","","","","","",0,"","",1,0,"","",[],[],"","","","","","","","","","","","",""
3,"Breach1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_breach.arm""]","",[],[],[],"Contains an additional Breach","Contient une Brèche supplémentaire","Enthält einen zusätzlichen Riss","追加のブリーチがある","균열 1개 추가 등장","Contém uma Fenda adicional","Содержит дополнительный Разлом","Contiene una fisura adicional","มี บรีช เพิ่มเติม 1 แห่ง","含有 1 個額外裂痕","Reflection of Breach","Reflet d'une Brèche","Spiegelung des Risses","ブリーチの鏡像","균열의 투영","Reflexo da Fenda","Отражение Разлома","Reflejo de fisura","ภาพสะท้อนแห่งบรีช","裂痕映像",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBreach",1,68,0,"",[15521],[25],"(Difficulty scales quantity of Breach Splinters found in Breach Hands)","(La difficulté amplifie la quantité d'Esquilles de Brèche contenue dans les Poings de Brèche)","(Die Schwierigkeit skaliert die Menge von Riss-Splittern aus Riss-Händen)","(難易度はブリーチの手が持つブリーチの破片の数量をスケールする)","(난이도에 따라 균열 손에서 발견되는 균열 파편의 수량 증감)","(A dificuldade escalona a quantidade de Fragmentos de Fenda encontrados em Mãos das Fendas)","(Сложность повышает количество осколков Разлома, найденных в сокровищах Повелителей Разлома)","(La dificultad aumenta la cantidad de astillas de fisura que contienen los Puños cerrados)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ ชิ้นส่วน​บรีช ที่​พบ​ใน มือบรีช)","( 難度調整裂痕之手掉落的裂痕裂片數量 )",13782,13781,1
4,"Breach2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_breach.arm""]","",[],"[5462,13699]","[50,-30]","Contains an additional Breach\r\nBreach has 50% increased Monster density\r\nBreach opens and closes 30% slower","Contient une Brèche supplémentaire\r\nLa Brèche a 50% d'Augmentation de Densité des Monstres\r\nLa Brèche s'ouvre et se referme 30% moins rapidement","Enthält einen zusätzlichen Riss\r\nRiss hat 50% erhöhte Monsterdichte\r\nRiss öffnet und schließt sich 30% langsamer","追加のブリーチがある\r\nブリーチのモンスター密度が50%増加\r\nブリーチの開く速度および閉じる速度が30%遅くなる","균열 1개 추가 등장\r\n균열의 몬스터 밀집도 50% 증가\r\n균열이 30% 더 느리게 열리고 닫힘","Contém uma Fenda adicional\r\nFendas têm densidade de Monstros aumentada em 50%\r\nFendas abrem e fecham 30% mais lentamente.","Содержит дополнительный Разлом\r\n50% увеличение кучности монстров в Разломе\r\nРазлом открывается и закрывается на 30% быстрее","Contiene una fisura adicional\r\nLa fisura tiene densidad de monstruos aumentada un 50%\r\nLa fisura se abre y se cierra un 30% más despacio","มี บรีช เพิ่มเติม 1 แห่ง\r\nบรีช มีความหนาแน่นของมอนสเตอร์ เพิ่มขึ้น 100%\r\nบรีช เปิดและปิด ช้าลง 30%","含有 1 個額外裂痕\r\n裂痕增加 50% 怪物密度\r\n裂痕開啟和關閉減緩 30%","Reflection of the Dream","Reflet d'un Rêve","Spiegelung des Traums","夢の鏡像","꿈의 투영","Reflexo do Sonho","Отражение Грёз","Reflejo del sueño","ภาพสะท้อนแห่งฝัน","夢想映像",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBreach",2,68,0,"",[15521],[25],"(Difficulty scales quantity of Breach Splinters found in Breach Hands)","(La difficulté amplifie la quantité d'Esquilles de Brèche contenue dans les Poings de Brèche)","(Die Schwierigkeit skaliert die Menge von Riss-Splittern aus Riss-Händen)","(難易度はブリーチの手が持つブリーチの破片の数量をスケールする)","(난이도에 따라 균열 손에서 발견되는 균열 파편의 수량 증감)","(A dificuldade escalona a quantidade de Fragmentos de Fenda encontrados em Mãos das Fendas)","(Сложность повышает количество осколков Разлома, найденных в сокровищах Повелителей Разлома)","(La dificultad aumenta la cantidad de astillas de fisura que contienen los Puños cerrados)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ ชิ้นส่วน​บรีช ที่​พบ​ใน มือบรีช)","( 難度調整裂痕之手掉落的裂痕裂片數量 )",13782,13781,1
5,"Breach3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_breach.arm""]","",[],"[5460,13309,13699,16971]","[1,100,-30,-40]","Contains an additional Breach\r\nBreach opens and closes 30% slower\r\nBreach contains a Breachlord\r\nBreachlord drops a Breachstone","Contient une Brèche supplémentaire\r\nLa Brèche s'ouvre et se referme 30% moins rapidement\r\nLa Brèche contient un Seigneur de Brèche\r\nLe Seigneur de Brèche cède une Pierre de Brèche","Enthält einen zusätzlichen Riss\r\nRiss öffnet und schließt sich 30% langsamer\r\nRiss enthält einen Rissfürsten\r\nRissfürst lässt einen Riss-Stein fallen","追加のブリーチがある\r\nブリーチの開く速度および閉じる速度が30%遅くなる\r\nブリーチにブリーチロードが出現する\r\nブリーチロードはブリーチストーンをドロップする","균열 1개 추가 등장\r\n균열이 30% 더 느리게 열리고 닫힘\r\n균열에 균열 군주 1마리 등장\r\n균열 군주가 균열석을 떨어뜨림","Contém uma Fenda adicional\r\nFendas abrem e fecham 30% mais de vagar\r\nFenda contém um Lorde de Fenda\r\nLordes de Fendas derrubam uma Pedra de Fenda","Содержит дополнительный Разлом\r\nРазлом открывается и закрывается на 30% медленнее\r\nВ Разломе можно встретить Повелителя Разлома\r\nИз Повелителя Разлома выпадает камень Разлома","Contiene una fisura adicional\r\nLa fisura contiene un Señor de la fisura\r\nEl Señor de la fisura arroja una Piedra de fisura","มี บรีช เพิ่มเติม 1 แห่ง\r\nบรีช เปิดและปิด ช้าลง 30%\r\nบรีชมี บรีชลอร์ด 1 ตน\r\nบรีชลอร์ด ดรอป ศิลาบรีช 1 ก้อน","含有 1 個額外裂痕\r\n裂痕開啟和關閉減緩 30%\r\n裂痕含有 1 個裂痕君王\r\n裂痕君王掉落 1 顆裂痕石","Reflection of the Breachlord","Reflet d'un Seigneur de Brèche","Spiegelung des Rissfürsten","ブリーチロードの鏡像","균열 군주의 투영","Reflexo do Senhor da Fenda","Отражение Повелителя Разлома","Reflejo del señor de fisura","ภาพสะท้อนแห่งบรีชลอร์ด","裂痕君主映像",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBreach",3,68,0,"",[15521],[25],"(Difficulty scales quantity of Breach Splinters found in Breach Hands)","(La difficulté amplifie la quantité d'Esquilles de Brèche contenue dans les Poings de Brèche)","(Die Schwierigkeit skaliert die Menge von Riss-Splittern aus Riss-Händen)","(難易度はブリーチの手が持つブリーチの破片の数量をスケールする)","(난이도에 따라 균열 손에서 발견되는 균열 파편의 수량 증감)","(A dificuldade escalona a quantidade de Fragmentos de Fenda encontrados em Mãos das Fendas)","(Сложность повышает количество осколков Разлома, найденных в сокровищах Повелителей Разлома)","(La dificultad aumenta la cantidad de astillas de fisura que contienen los Puños cerrados)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ ชิ้นส่วน​บรีช ที่​พบ​ใน มือบรีช)","( 難度調整裂痕之手掉落的裂痕裂片數量 )",13782,13781,1
6,"Delirium1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_delirium.arm""]","",[],[12465],[1],"Contains a Mirror of Delirium","Contient un Miroir du Délire","Enthält einen Spiegel des Deliriums","デリリウムの鏡がある","환영의 거울 1개 등장","Contém um Espelho do Delírio","Содержит Зеркало Делириума","Contiene un espejo de delirio","มี กระจกเดลิเรียม 1 บาน","含有 1 個譫妄之鏡","Reflection of Delirium","Reflet du Délire","Spiegelung des Deliriums","デリリウムの鏡像","환영의 투영","Reflexo do Delírio","Отражение Делириума","Reflejo de delirio","ภาพสะท้อนแห่งเดลิเรียม","譫妄映像",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelirium",1,46,2,"",[],[],"","","","","","","","","","",13784,13783,""
7,"Fire1_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire.arm""]","",[],[],[],"Defeat packs of Cannibals","Éliminez les groupes de Cannibales","Vernichtet Gruppen von Kannibalen","カニバルの群れを倒せ","식인종 무리 처치하기","Derrote grupos de Canibais","Победите группы каннибалов","Derrota a grupos de caníbales","สยบ มนุษย์กินคน หลายกอง","擊敗多群食人族","Reflection of Flame","Reflet d'une Flamme","Spiegelung der Flamme","炎の鏡像","화염의 투영","Reflexo das Chamas","Отражение Пламени","Reflejo de llamas","ภาพสะท้อนแห่งเพลิง","烈焰映像",3,1778,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",1,1,8,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
8,"Fire1_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire.arm""]","",[],[],[],"Defeat packs of Demons","Éliminez les groupes de Démons","Vernichtet Gruppen von Dämonen","デーモンの群れを倒せ","악마 무리 처치하기","Derrote grupos de Demônios","Победите группы демонов","Derrota a grupos de demonios","สยบ ปีศาจ หลายกอง","擊敗多群惡魔","Reflection of Flame","Reflet d'une Flamme","Spiegelung der Flamme","炎の鏡像","화염의 투영","Reflexo das Chamas","Отражение Пламени","Reflejo de llamas","ภาพสะท้อนแห่งเพลิง","烈焰映像",3,1779,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",1,28,8,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
9,"Fire1_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire.arm""]","",[],[],[],"Defeat packs of Infernal Vaal","Éliminez les groupes de Vaal infernaux","Vernichtet Gruppen von höllischen Vaal-Monstern","インファーナルヴァールの群れを倒せ","지옥불 바알 무리 처치하기","Derrote grupos de Vaal Infernais","Победите группы инферналов ваал","Derrota a grupos vaal infernales","สยบ วาล์อเวจี หลายกอง","擊敗多群煉獄瓦爾","Reflection of Flame","Reflet d'une Flamme","Spiegelung der Flamme","炎の鏡像","화염의 투영","Reflexo das Chamas","Отражение Пламени","Reflejo de llamas","ภาพสะท้อนแห่งเพลิง","烈焰映像",3,1780,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",1,50,8,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
