"rownum","Id","rid","rid","rid","i32","rid","i32"
0,"MicrotransactionBreachHandOnKill","",0,2,-1082227215,"",1
1,"MicrotransactionSkySwordOnKill","",1,2,-1632239980,"",1
2,"MicrotransactionBirdsOnRareKill","",2,2,-414153804,"",1
3,"MicrotransactionMoltenLiquifyOnKill","",3,2,-1810810129,"",1
4,"MicrotransactionBloodAndGoreOnKill","",4,2,-189694165,"",1
5,"RaijuScourgeLightningOnKill","",5,1,-1006113272,"",0
6,"MicrotransactionBloodGolemBeamOnKill","","",3,111394361,0,0
7,"MicrotransactionCordycepBowOnKill","",6,3,-1853401870,"",0
8,"MicrotransactionStatueOnKill","",7,4,1768826260,"",2
9,"MicrotransactionAnchorDropOnKill","",8,2,817073343,"",0
10,"MicrotransactionSharkAttackOnKill","",9,2,995650503,"",0
11,"MicrotransactionTentacleConsumeOnKill","",10,2,689328310,"",0
12,"MicrotransactionDragonFireOnKill","",11,2,-893620649,"",0
13,"MicrotransactionBlackHoleOnKill","",12,2,203057589,"",0
