"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5463,100,0,25,100
1,5464,100,0,25,100
2,5465,100,0,25,100
3,5466,100,0,25,100
4,5467,100,0,25,100
5,5468,100,10,100,100
6,5469,100,10,100,100
7,5470,100,10,100,100
8,5471,100,10,100,100
9,5472,100,25,100,100
10,5473,100,25,100,100
11,5476,100,25,100,100
12,5479,100,25,100,100
13,5482,100,25,100,100
14,5485,100,46,100,100
15,5488,100,46,100,100
16,5491,100,46,100,100
17,5494,100,46,100,100
18,5497,100,46,100,100
19,5500,20,60,100,40
20,5501,20,60,100,40
21,5502,20,60,100,40
22,5503,20,60,100,40
23,5504,20,60,100,40
24,5505,20,60,100,40
25,5506,20,60,100,40
26,5507,20,60,100,40
27,5508,20,60,100,40
