"rownum","Level","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,1,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
1,2,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
2,3,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
3,4,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
4,5,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
5,6,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
6,7,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
7,8,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
8,9,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
9,10,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
10,11,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
11,12,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
12,13,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
13,14,0,2,3,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
14,15,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
15,16,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
16,17,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
17,18,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
18,19,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
19,20,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
20,21,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
21,22,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
22,23,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
23,24,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
24,25,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
25,26,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
26,27,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
27,28,0,3,4,1,1,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
28,29,0,3,4,1,2,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
29,30,0,3,4,1,2,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
30,31,0,3,4,1,2,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
31,32,0,3,4,1,2,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
32,33,0,3,4,1,2,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
33,34,0,3,4,1,2,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
34,35,0,4,5,1,2,1,2,0,1,100,2,2,3,3,2,2,1,1,1,1
35,36,0,4,5,1,2,2,2,0,1,100,2,2,3,3,2,2,1,2,1,1
36,37,0,4,5,1,2,2,2,0,1,100,2,2,3,3,2,2,1,2,1,1
37,38,0,4,5,1,2,2,2,0,1,100,2,2,3,3,2,2,1,2,1,1
38,39,0,4,5,1,2,2,2,0,1,100,2,2,3,3,2,2,1,2,1,1
39,40,0,4,5,1,2,2,2,0,1,100,2,2,3,3,2,2,1,2,1,1
40,41,0,4,5,1,2,2,2,0,1,100,2,2,3,3,2,2,1,2,1,1
41,42,0,4,5,1,2,2,2,0,1,100,2,2,3,3,2,2,1,2,1,1
42,43,0,4,5,1,2,2,2,0,1,100,2,2,3,3,2,2,1,2,1,1
43,44,0,4,5,1,2,2,2,0,1,100,2,2,3,3,2,2,1,2,1,1
44,45,0,4,5,1,2,2,2,0,1,100,2,2,3,3,2,2,1,2,1,1
45,46,0,4,5,1,2,2,2,0,1,100,2,3,3,3,2,3,1,2,1,1
