"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Characters","IsKeystone","IsNotable","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","IsJustIcon","AchievementItem","IsJewelSocket","AscendancyKey","IsAscendancyStartingNode","ReminderStrings","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffs","GrantedEffectsPerLevel","IsAnointmentOnly","i32","IsExpansion","IsProxyPassive","SkillType","MasteryGroup","Group","SoundEffect"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","i32","i32","i32","i32","i32","bool","[rid]","i32","[rid]","bool"
0,"lava_lash1","Art/2DArt/SkillIcons/passives/lavalash.dds","[6040,3894]",30,8,0,0,30439,"Lava Lash","Fouet de lave","Lavahieb","ラーヴァラッシュ","용암 채찍","Açoite de Lava","Всплеск лавы","Latigazo de lava","Lava Lash","熔岩之力",[],"",1,"","","","","","","","","","","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1,"two_handed_weapon_damage_and_accuracy9","Art/2DArt/SkillIcons/passives/accuracy2h.dds","[333,11568,3089]",12,12,80,0,27140,"Two Handed Melee Damage and Leech","Dégâts de mêlée et Drain avec les armes à deux mains","Nahkampfschaden mit Zweihandwaffen und Raub","両手武器近接ダメージおよびリーチ","양손 근접 피해 및 흡수","Dano Corpo a Corpo e Drenagem com Duas Mãos","Урон двуручным оружием в ближнем бою и похищение","Daño cuerpo a cuerpo a dos manos y absorción","อาวุธสองมือ - ความเสียหายประชิด และ การดูด","雙手武器近戰傷害和偷取",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
2,"two_handed_weapon_damage12","Art/2DArt/SkillIcons/passives/2handeddamage.dds","[333,11568]",16,16,0,0,60169,"Two Handed Melee Damage","Dégâts de mêlée avec les armes à deux mains","Nahkampfschaden mit Zweihandwaffen","両手武器近接ダメージ","양손 근접 피해","Dano Corpo a Corpo com Duas Mãos","Урон двуручным оружием в ближнем бою","Daño cuerpo a cuerpo a dos manos","อาวุธสองมือ - ความเสียหายประชิด","雙手武器近戰傷害",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
3,"two_handed_weapon_damage13","Art/2DArt/SkillIcons/passives/2handeddamage.dds","[333,11568,3089]",12,12,40,0,64816,"Two Handed Melee Damage and Leech","Dégâts de mêlée et Drain avec les armes à deux mains","Nahkampfschaden mit Zweihandwaffen und Raub","両手武器近接ダメージおよびリーチ","양손 근접 피해 및 흡수","Dano Corpo a Corpo com Duas Mãos e Dreno","Двуручное оружие: урон и похищение здоровья","Daño cuerpo a cuerpo a dos manos y absorción","อาวุธสองมือ - ความเสียหายประชิด และ การดูด","雙手武器近戰傷害和偷取",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
4,"two_handed_weapon_attack_speed15","Art/2DArt/SkillIcons/passives/2handedspeed.dds","[333,335,11568]",12,3,12,0,56381,"Two Handed Melee Damage and Attack Speed","Dégâts de mêlée et Vitesse d'attaque avec les armes à deux mains","Nahkampfschaden und Angriffsgeschwindigkeit mit Zweihandwaffen","両手武器近接ダメージおよびアタックスピード","양손 근접 피해 및 공격 속도","Dano Corpo a Corpo e Velocidade de Ataque com Duas Mãos","Двуручное оружие: урон в ближнем бою и скорость атаки","Daño y velocidad de ataque cuerpo a cuerpo a dos manos","อาวุธสองมือ - ความเสียหายประชิด และ ความเร็วในการโจมตี","雙手武器近戰傷害和攻擊速度",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
5,"totem_life20","Art/2DArt/SkillIcons/passives/totemandbranddamage.dds","[1787,8578]",14,14,0,0,23083,"Totem and Brand Damage","Dégâts des Totems et des Symboles","Totem- und Zeichenschaden","トーテム・ブランドダメージ","토템과 낙인 피해","Dano do Totem e Runa","Урон тотема и клейма","Daño de tótems y marcas","โทเทมและตราเวท - ความเสียหาย","圖騰和烙印傷害",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
6,"totem_duration22","Art/2DArt/SkillIcons/passives/totemlife.dds","[166,1834]",15,15,0,0,11431,"Totem Life and Physical Damage Reduction","Réduction des Dégâts physiques et Vie des Totems","Totemleben und physische Schadensminderung","トーテムライフ・物理ダメージ軽減効果","토템 생명력 및 물리 피해 감소","Vida do Totem e Redução de Dano Físico","Тотем: здоровье и уменьшение получаемого физического урона","Vida y reducción de daño físico de tótems","โทเทม - พลังชีวิต และ ค่าป้องกันกายภาพ","圖騰生命和物理傷害減免",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
7,"staff_block23","Art/2DArt/SkillIcons/passives/blockstaff.dds","[409,2852]",3,3,0,3,18990,"Staff Block","Blocage avec les bâtons","Blocken mit Stäben","スタッフブロック","지팡이 막기","Bloqueio com Cajado ","Блок посохом","Bloqueo con báculos","ไม้พลอง - การบล็อค","長杖格擋",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
8,"whirling_barrier24","Art/2DArt/SkillIcons/passives/whirlingstaff.dds","[409,2852,2606]",6,6,20,0,42917,"Whirling Barrier","Barrière tourbillonnante","Wirbelnde Barriere","ワーリングバリア","소용돌이 방어막","Barreira Giratória","Вращающийся барьер","Barrera Rotatoria","Whirling Barrier","杖影屏障",[],"",1,"","","","","","","","","","","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
9,"shield_block_and_block_recovery29","Art/2DArt/SkillIcons/passives/ElementalResistance2.dds","[2356,408]",2,6,0,0,62214,"Shield Spell Block and Elemental Resistances with a Shield","Blocage des sorts et Résistances élémentaires avec les boucliers","Blocken von Zaubern und Elementarwiderstände mit Schilden","盾スペルブロックおよび盾装備時元素耐性","주문 방패 막기 및 방패의 원소 저항","Bloqueio Mágico com Escudo e Resistências Elementais com Escudo","Щит: блок чар и сопротивления стихиям со щитом","Bloqueo de hechizos con escudo y resistencias elementales con escudo","โล่ - การบล็อคเวท และ ค่าต้านทานธาตุด้วยโล่","持盾盾牌法術格擋和元素抗性",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
