"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","Name","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","MiscAnimations","bool"
0,1111,0,350,[],[],9471,"",[],[],0,357,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
1,1113,0,350,[],[],9471,"",[],[],0,357,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
2,1115,0,350,[],[],9471,"",[],[],0,357,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
3,4242,0,350,[],[],9471,"",[],[],0,357,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
4,4249,0,350,[],[],9471,"",[],[],0,357,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
5,4256,0,350,[],[],9471,"",[],[],0,357,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
6,4256,1,350,[1230],[20],7067,"",[],[],0,357,[8114],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike",0,[],30,0,[],[],[],[],[],""
7,6028,0,350,[],[],9471,"",[],[],0,357,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
8,6029,0,350,[],[],9471,"",[],[],0,357,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
9,6030,0,350,[],[],9471,"",[],[],0,357,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
10,6031,0,350,[],[],9471,"",[],[],0,357,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
11,472,0,522,[10552],[1],9408,"",[],[],0,511,[],4,"","","",[],"Stone Shot",0,[],150,0,[],[],[],[],[],""
12,472,1,522,[10552],[1],9435,1,[],[],0,511,[],4,"","","",[],"Stone Shot",56,[],0,0,[],[],[],[],[],""
13,472,2,522,[10552],[1],9446,1,"[175,318,4547]","[200,400,1]",0,511,[],0,"","","",[],"Stone Snipe",53,[],0,0,[],[],[],[],[],""
14,472,3,522,[10552],[1],9439,1,[1211],[200],0,511,[],0,"","","",[],"Stone Shot",52,[],0,0,[],[],[],[],[],""
15,2697,0,350,[],[],9471,"",[],[],0,357,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
16,2697,1,681,[],[],9427,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
17,2660,0,350,[],[],9471,"",[],[],0,357,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
18,2660,1,681,[],[],9427,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
19,2665,0,350,[],[],9471,"",[],[],0,357,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
20,2665,2,1994,[],[],9491,51,"[173,2501]","[4,10]",0,"",[1995],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
21,2665,3,1994,[],[],9493,51,"[3208,5751]","[20,-40]",0,"",[1995],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
