"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
0,"CreateCurrency","Create Currency Items","Créer des Objets monétaires","Fertigt Währungsgegenstände","カレンシーアイテムを作成","화폐 아이템 생성","Cria Itens Monetários","Создать валюту","Crea objetos monetarios","สร้างไอเทมเงินตรา","製造通貨"
1,"CreateUnique","Create a Unique","Créer un Objet unique","Fertigt ein(e/en) einzigartige(s/n) ","ユニークアイテムを作成","고유 아이템 생성","Cria um Único","Создать уникальный предмет","Crea un objeto único","สร้างไอเทมยูนิค","製造傳奇"
2,"CreateRare","Create a Rare","Créer un Objet rare","Fertigt ein(e/en) seltene(s/n) ","レアアイテムを作成","희귀 아이템 생성","Cria um ítem Raro","Создать редкий предмет","Crea un objeto raro","สร้างไอเทมแรร์","製造稀有"
3,"CreateItem","Create an Item","Créer","Fertigt einen Gegenstand ","アイテムを作成","아이템 생성","Cria um Item","Создать предмет","Crea un objeto","สร้างไอเทม","製造物品"
4,"CreateImprint","Create an Imprint","Créer l'Empreinte","Erstellt einen Abdruck ","インプリントを作成","각인본 생성","Cria uma Gravação","Создать слепок","Crea una copia","สร้างอิมพรินท์","製造拓印"
5,"CorruptItem","Corrupt an Item","Corrompre un Objet","Verderbt einen Gegenstand","アイテムをコラプト","아이템 타락","Corrompe um Item","Осквернить предмет","Corrompe un objeto","ใส่มลทินให้กับไอเทม","汙染物品"
6,"TransformItem","Transform an Item","Transformer un Objet","Transformiert einen Gegenstand","アイテムを変換","아이템 1개 변화시킴","Transforma um Item","Преобразовать предмет","Transforma un objeto","แปรสภาพไอเทม","轉化物品"
7,"ModifyMods","Modify Mods on an Item","Modifier les mods d'un Objet","Verändert die Modifikatoren eines Gegenstands ","アイテムのモッドを変化","아이템 속성 부여 개조","Modifica os Mods em um Item ","Изменить свойства на предмете","Modifica los mods. de un objeto","แก้ไขม็อดของไอเทม","調整物品上的詞綴"
8,"SplitItem","Split an Item Into Two","Scinder un Objet en deux","Teilt einen Gegenstand in zwei ","アイテムを二つにスプリット","아이템을 둘로 분할","Divide um item em dois","Разделить предмет на два","Divide un objeto en dos","แยกไอเทมเป็นสองชิ้น","分割一個物品至兩個"
9,"ConvertUnique","Convert this Unique Item","Convertir un Objet unique","Verwandelt diesen einzigartigen Gegenstand","ユニークアイテムを変換","고유 아이템 전환","Converte este Item Único","Превратить этот уникальный предмет","Convierte este objeto único","แปลงไอเทมยูนิคชิ้นนี้","轉化此傳奇物品"
10,"AddModToLifeOrManaFlask","Add a Mod to a Life or Mana Flask","Ajouter à un Flacon de Vie ou de Mana","Fügt einem Lebens- oder Manafläschchen einen Mod hinzu ","ライフまたはマナフラスコにモッドを追加","생명력 또는 마나 플라스크에 속성 부여 추가","Adiciona um Mod a um Frasco de Vida ou Mana","Добавить свойство на флакон жизни или маны","Agrega un mod. a un frasco de vida o maná","เพิ่มม็อดลงในขวดยาพลังชีวิตหรือมานา","新增一條詞綴至生命或魔力藥劑"
11,"AddModToUtilityFlask","Add a Mod to a Utility Flask","Ajouter à un Flacon utilitaire","Fügt einem Hilfsfläschchen einen Mod hinzu ","ユーティリティフラスコにモッドを追加","특수 플라스크에 속성 부여 추가","Adiciona um Mod a um Frasco Utilitário","Добавить свойство на особый флакон","Agrega un mod. a un frasco de utilidad","เพิ่มม็อดลงในขวดยาช่วยเหลือ","新增一條詞綴至功能型藥劑"
12,"OpenPortal","Open a Portal","Ouvrir un portail vers","Öffnet ein Portal ","ポータルを開く","포탈 열기","Abre um Portal","Открыть портал","Abre un portal","เปิดวาร์ป","開啟傳送門"
13,"CraftAspectSkill","Craft an Aspect Skill onto an Item","Intégrer dans un Objet","Ergänzt einen Gegenstand durch eine Aspekt-Fertigkeit ","アイテムにアスペクトスキルを追加","아이템에 위상 스킬 부여","Forja uma Habilidade Aspecto em um Item","Добавить умение Духа на предмет","Fabrica una habilidad de aspecto en un objeto","คราฟท์สกิล จิตวิญญาณ ใส่ไอเทม","工藝祝福技能在物品上"
14,"GainAtlasCrafts","Gain Atlas Crafts","Obtenir des Options d'artisanat de Carte","Erhaltet Atlas-Anfertigungen","アトラスクラフトを獲得","아틀라스 제작 획득","Gain Atlas Crafts","Gain Atlas Crafts","Gain Atlas Crafts","รับสูตรคราฟท์สมุดแผนที่","獲得輿圖工藝"
15,"EnchantUtilityFlask","Enchant a Utility Flask","Enchanter un Flacon utilitaire","Verzaubert ein Hilfsfläschchen","ユーティリティフラスコにエンチャント","특수 플라스크 인챈트","Enchant a Utility Flask","Enchant a Utility Flask","Enchant a Utility Flask","ใส่เอนแชนท์ให้กับขวดยาช่วยเหลือ","附魔功能藥劑"
16,"CreateTalisman","Create a Talisman","Créer un Talisman","Fertigt einen Talisman","タリスマンを作成","부적 만들기","Create a Talisman","Create a Talisman","Create a Talisman","สร้างสร้อยเครื่องราง","製作魔符"
