"rownum","Id","i32","MapItem","Name","i32","bool","bool","rid","rid"
0,"Conqueror1",0,"","Baran, The Crusader",1,"","","",0
1,"Conqueror2",0,"","Veritania, The Redeemer",2,"","","",1
2,"Conqueror3",0,"","Al-Hezmin, The Hunter",3,"","","",2
3,"Conqueror4",0,"","Drox, The Warlord",4,"","","",3
4,"ElderGuardian1",1,"","The Enslaver",1,"",1,0,""
5,"ElderGuardian2",1,"","The Eradicator",2,"",1,1,""
6,"ElderGuardian3",1,"","The Constrictor",3,"",1,2,""
7,"ElderGuardian4",1,"","The Purifier",4,"",1,3,""
8,"ShaperGuardian1",2,7227,"Pit of the Chimera",1,1,"","",""
9,"ShaperGuardian2",2,7228,"Lair of the Hydra",2,1,"","",""
10,"ShaperGuardian3",2,7230,"Forge of the Phoenix",3,1,"","",""
11,"ShaperGuardian4",2,7229,"Maze of the Minotaur",4,1,"","",""
