"rownum","Id","MonsterPacksKey","bool","i32","MonsterVarietiesKey","string"
0,"ProxyKey168",1,1,80,2660,""
1,"ProxyKey170",1,1,20,2697,""
2,"ProxyKey942",2,1,8,2700,""
3,"ProxyKey943",2,1,40,2697,""
4,"ProxyKey3336",2,1,40,2660,""
5,"ProxyKey3333",2,1,8,2665,""
6,"ProxyKey3340",2,1,4,2723,""
7,"ProxyKey1025",3,1,20,2700,""
8,"ProxyKey1026",3,1,20,2665,""
9,"ProxyKey1027",3,1,30,2660,""
10,"ProxyKey1028",3,1,30,2697,""
11,"ProxyKey177",4,1,60,432,""
12,"ProxyKey338",0,1,50,2665,""
13,"ProxyKey341",0,1,50,2700,""
14,"ProxyKey58",5,1,85,416,""
15,"ProxyKey165",5,1,15,424,""
16,"ProxyKey166",6,1,100,416,""
17,"ProxyKey1503",7,1,25,6031,""
18,"4265",7,1,25,6028,""
19,"4266",7,1,25,6029,""
20,"4267",7,1,25,6030,""
21,"ProxyKey452",8,1,50,2697,""
22,"ProxyKey394",8,1,50,2660,""
23,"ProxyKey259",9,1,45,2697,""
24,"ProxyKey254",9,1,45,2660,""
25,"ProxyKey3346",9,1,10,2723,""
26,"ProxyKey662",11,1,100,532,""
27,"ProxyKey660",12,1,50,649,""
28,"ProxyKey661",12,1,50,539,""
29,"ProxyKey658",13,1,50,649,""
30,"ProxyKey659",13,1,50,623,""
31,"ProxyKey3343",14,1,100,677,""
32,"ProxyKey1",15,1,25,267,""
33,"ProxyKey2",15,1,75,229,""
34,"ProxyKey21",16,1,100,313,""
35,"ProxyKey104",17,"",12,908,""
36,"ProxyKey151",18,"",12,908,""
37,"ProxyKey1489",19,"",1,3453,""
38,"ProxyKey1490",19,"",1,3454,""
39,"ProxyKey212",20,1,30,105,""
40,"ProxyKey264",20,1,70,954,""
41,"ProxyKey4",21,1,100,370,""
42,"ProxyKey218",22,1,70,57,""
43,"ProxyKey220",22,1,30,6,""
44,"ProxyKey63",23,1,100,57,""
45,"ProxyKey64",24,1,100,118,""
46,"ProxyKey66",25,1,100,54,""
47,"ProxyKey231",26,1,33,614,""
48,"ProxyKey232",26,1,33,586,""
49,"ProxyKey233",26,1,34,631,""
50,"ProxyKey223",27,1,40,951,""
51,"ProxyKey1401",27,1,60,955,""
52,"ProxyKey45",28,1,40,638,""
53,"ProxyKey100",28,1,60,777,""
54,"ProxyKey235",32,1,100,873,""
55,"ProxyKey49",30,1,30,51,""
56,"ProxyKey9",30,1,70,58,""
57,"ProxyKey1500",31,1,100,873,""
58,"ProxyKey236",29,1,20,3,""
59,"ProxyKey237",29,1,30,11,""
60,"ProxyKey238",29,1,50,52,""
61,"ProxyKey1501",33,1,50,11,""
62,"ProxyKey1502",33,1,50,52,""
63,"ProxyKey3",34,1,100,944,""
64,"ProxyKey496",35,1,100,1342,""
65,"ProxyKey242",36,1,30,279,""
66,"ProxyKey246",36,1,35,795,""
67,"ProxyKey916",36,1,35,791,""
68,"ProxyKey130",37,1,100,59,""
69,"ProxyKey229",38,1,33,1177,""
70,"ProxyKey1405",38,1,33,1180,""
71,"ProxyKey1406",38,1,34,1183,""
72,"ProxyKeyX486",39,1,100,1339,""
73,"ProxyKeyX619",40,"",2,1566,""
74,"ProxyKeyX599",41,1,100,1318,""
75,"ProxyKeyX583",44,1,100,1502,""
76,"ProxyKeyX57",45,1,100,1502,""
77,"ProxyKeyX548",46,1,100,1894,""
78,"ProxyKeyX596",47,1,100,1894,""
79,"ProxyKeyX525",48,1,100,1502,""
80,"ProxyKeyX597",49,1,100,1557,""
81,"ProxyKey1494",50,1,100,1457,""
82,"ProxyKeyX646",51,1,100,1321,""
83,"ProxyKeyX524",52,1,100,1315,""
84,"ProxyKeyX581",53,1,75,1406,""
85,"ProxyKeyX201",53,1,25,1436,""
86,"ProxyKey20",54,1,100,1632,""
87,"ProxyKey388_",55,"",3,1921,""
88,"ProxyKey458_",55,"",4,1993,""
89,"ProxyKey178",56,1,20,1971,""
90,"ProxyKey180",56,1,80,1975,""
91,"ProxyKey181",57,1,100,1468,""
92,"ProxyKey211",58,"",3,1306,""
93,"ProxyKey222",59,"",1,1429,""
94,"ProxyKey216",59,"",1,1447,""
95,"ProxyKey228",59,"",5,1384,""
96,"ProxyKey8",60,1,100,3822,""
97,"ProxyKey25",61,1,100,3822,""
98,"ProxyKey14",63,1,100,3899,""
99,"ProxyKey15",64,1,100,3908,""
100,"ProxyKey16",65,1,100,3908,""
101,"ProxyKey17",66,1,100,3908,""
102,"ProxyKey7",62,1,50,4030,""
103,"ProxyKey6",62,"",1,4042,""
104,"ProxyKey27",67,"",1,4037,""
105,"ProxyKey28",68,"",1,4050,""
106,"ProxyKey29",69,"",1,4050,""
107,"ProxyKey30",69,"",2,4053,""
108,"ProxyKey702",76,1,100,3763,""
109,"ProxyKey1285",77,1,100,1103,""
110,"ProxyKey1300",78,1,100,932,""
111,"ProxyKey2533",80,1,30,1201,""
112,"ProxyKey2534",80,1,30,1203,""
113,"ProxyKey2535",80,1,40,1205,""
114,"ProxyKey7800",81,1,100,3763,""
115,"ProxyKey11055",82,"",3,5621,""
