"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","rid"
0,"Flask","Flask","Flacon","Fläschchen","フラスコ","플라스크","Frasco","Флакон","Frasco","ขวดยา","藥劑",""
1,"One Hand Mace","One Hand Mace","Masse à une main","Einhandstreitkolben","片手メイス","한손 철퇴","Maça de Uma Mão","Одноручная булава","Maza a una mano","กระบองมือเดียว","單手錘",""
2,"One Hand Sword","One Hand Sword","Épée à une main","Einhandschwert","片手剣","한손 검","Espada de Uma Mão","Одноручный меч","Espada a una mano","ดาบมือเดียว","單手劍",""
3,"Dagger","Dagger","Dague","Dolch","短剣","단검","Adaga","Кинжал","Daga","มีด","匕首",""
4,"Staff","Staff","Bâton","Stab","スタッフ","지팡이","Cajado","Посох","Báculo","ไม้พลอง","長杖",""
5,"Currency","Currency","Objet monétaire","Währung","カレンシー","화폐","Item Monetário","Валюта","Objeto monetario","เงินตรา","通貨",""
6,"Amulet","Amulet","Amulette","Amulett","アミュレット","목걸이","Amuleto","Амулет","Amuleto","สร้อย","項鍊",""
7,"Ring","Ring","Bague","Ring","指輪","반지","Anel","Кольцо","Anillo","แหวน","戒指",""
8,"Claw","Claw","Griffe","Klaue","鉤爪","클로","Garra","Коготь","Garra","กรงเล็บ","爪",""
9,"Wand","Wand","Baguette","Zauberstab","ワンド","마법봉","Varinha","Жезл","Varita","ไม้กายสิทธิ์","法杖",""
10,"One Hand Axe","One Hand Axe","Hache à une main","Einhandaxt","片手斧","한손 도끼","Machado de Uma Mão","Одноручный топор","Hacha a una mano","ขวานมือเดียว","單手斧",""
11,"Bow","Bow","Arc","Bogen","弓","활","Arco","Лук","Arco","ธนู","弓",""
12,"Two Hand Sword","Two Hand Sword","Épée à deux mains","Zweihandschwert","両手剣","양손 검","Espada de Duas Mãos","Двуручный меч","Espada a dos manos","ดาบสองมือ","雙手劍",""
13,"Two Hand Axe","Two Hand Axe","Hache à deux mains","Zweihandaxt","両手斧","양손 도끼","Machado de Duas Mãos","Двуручный топор","Hacha a dos manos","ขวานสองมือ","雙手斧",""
14,"Two Hand Mace","Two Hand Mace","Masse à deux mains","Zweihandstreitkolben","両手メイス","양손 철퇴","Maça de Duas Mãos","Двуручная булава","Maza a dos manos","กระบองสองมือ","雙手錘",""
15,"Active Skill Gem","Skill Gem","Gemme d'aptitude","Fertigkeitengemme","スキルジェム","스킬 젬","Gema de Habilidade","Камень умения","Gema de habilidad","หินสกิล","技能寶石",""
16,"Support Skill Gem","Support Gem","Gemme de soutien","Unterstützungsgemme","サポートジェム","보조 젬","Gema de Suporte","Камень поддержки","Gema de asistencia","หินเสริม","輔助寶石",""
17,"Quiver","Quiver","Carquois","Köcher","矢筒","화살통","Aljava","Колчан","Carcaj","ซองธนู","箭袋",""
18,"Belt","Belt","Ceinture","Gürtel","ベルト","허리띠","Cinto","Пояс","Cinturón","เข็มขัด","腰帶",""
19,"Gloves","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",""
20,"Boots","Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子",""
21,"Body Armour","Body Armour","Armure","Körperrüstung","鎧","갑옷","Peitoral","Нательный доспех","Armadura","เสื้อเกราะ","胸甲",""
22,"Helmet","Helmet","Casque","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭盔",""
23,"Shield","Shield","Bouclier","Schild","盾","방패","Escudo","Щит","Escudo","โล่","盾牌",""
24,"QuestItem","Quest Item","Objet monétaire","Quest-Gegenstand","クエストアイテム","퀘스트 아이템","Item de Missão","Предмет для задания","Objeto de misión","ไอเทมภารกิจ","任務道具",""
25,"Map","Map","Carte","Karte","マップ","지도","Mapa","Карта","Mapa","แผนที่","地圖",""
26,"FishingRod","Fishing Rod","Canne à pêche","Angelrute","釣り竿","낚싯대","Vara de Pescar","Удочка","Caña de pescar","เบ็ดตกปลา","釣竿",""
27,"MapFragment","Map Fragment","Fragment de Carte","Kartenfragment","マップの断片","지도 조각","Fragmento de Mapa","Фрагмент карты","Fragmento de mapa","ชิ้นส่วนแผนที่","地圖碎片",""
28,"Jewel","Jewel","Joyau","Juwel","ジュエル","주얼","Joia","Самоцвет","Joya","จิวเวล","珠寶",""
29,"DivinationCard","Divination Card","Carte divinatoire","Weissagungskarte","占いカード","점술 카드","Carta de Adivinhação","Гадальная карта","Carta de adivinación","ไพ่พยากรณ์","命運卡",""
30,"LabyrinthItem","Labyrinth Key","Clé du Labyrinthe","Labyrinth-Schlüssel","ラビリンスキー","미궁 열쇠","Chave de Labirinto","Ключ Лабиринта","Llave de Laberinto","กุญแจเขาวงกต","帝王迷宮鑰匙",""
31,"LabyrinthTrinket","Labyrinth Trinket","Colifichet du Labyrinthe","Labyrinth-Relikt","ラビリンス宝飾品","미궁 장신구","Joia do Labirinto","Украшение Лабиринта","Abalorio de Laberinto","อุปกรณ์เขาวงกต","帝王迷宮飾品",""
32,"MiscMapItem","Misc Map Item","Objet cartographique divers","Sonstiger Kartengegenstand","その他マップアイテム","기타 지도 아이템","Item de Mapa Genérico","Предмет карты","Objeto misceláneo de mapa","ไอเทมแผนที่อื่นๆ","一般地圖物品",""
33,"Leaguestone","Leaguestone","Pierre de ligue","Liga-Stein","リーグストーン","리그스톤","Pedra de Liga","Камень лиги","Piedra de liga","ศิลาลีก","聯盟石",""
34,"PantheonSoul","Captured Soul","Âme capturée","Eingefangene Seele","捕獲された魂","포획한 영혼","Alma Capturada","Захваченная душа","Alma capturada","วิญญาณที่ถูกเก็บ","奪取之魂",""
35,"UniqueFragment","Unique Piece","Morceau d'Unique","Bruchstück","ユニークの欠片","고유 조각","Peça Única","Часть уникального предмета","Pieza única","ชิ้นส่วนยูนิค","傳奇碎片",""
36,"AbyssJewel","Abyss Jewel","Joyau abyssal","Abgrund-Juwel","アビスジュエル","심연 주얼","Joia Abissal","Самоцвет Бездны","Joya de abismo","จิวเวลอะบิส","深淵珠寶",""
37,"IncursionItem","Incursion Item","Objet d'Incursion","Incursion-Gegenstand","インカージョンアイテム","기습 아이템","Item Incursion","Предмет Вмешательства","Objeto de Incursion","ไอเทมย้อนเวลา","穿越物品",""
38,"DelveSocketableCurrency","Resonator","Résonateur","Resonator","レゾネーター","공명기","Ressonador","Резонатор","Resonador","ตัวสั่นพ้อง","鑄新儀",""
39,"Incubator","Incubator","Incubateur","Inkubator","インキュベーター","인큐베이터","Incubador","Инкубатор","Incubadora","ตัวบ่มฟัก","培育器",""
40,"AtlasUpgradeItem","Watchstone","Pierre de veille","Wächterstein","ウォッチストーン","감시자의 돌","Pedra Sentinela","Камень Хранителя","Roca del vigilante","อัญมณีผู้พิทักษ์","守望石",""
41,"MetamorphosisDNA","Metamorph Sample","Organe de Métamorphe","Metamorph-Probe","メタモルフサンプル","변형 샘플","Amostra Metamorph","Образец Метаморфа","Muestra de metamorfo","ชิ้นส่วนตัวอย่างเมตามอร์ฟ","鍊魔樣本",""
42,"HeistContract","Contract","Contrat","Auftrag","依頼書","계약","Contrato","Контракт","Contrato","สัญญาจ้าง","契約書",""
43,"HeistEquipmentWeapon","Heist Gear","Équipement de Malfaiteur","Heist-Ausrüstung","ハイストギア","강탈 장비","Equipamento Heist","Разбойничьи принадлежности","Equipamiento de Heist","อุปกรณ์สวมใส่กองโจร","劫盜裝備",""
44,"HeistEquipmentTool","Heist Tool","Outil de Malfaiteur","Heist-Werkzeug","ハイストツール","강탈 도구","Ferramenta Heist","Разбойничий инструмент","Herramienta de Heist","เครื่องมือกองโจร","劫盜工具",""
45,"HeistEquipmentUtility","Heist Cloak","Cape de Malfaiteur","Heist-Umhang","ハイストクローク","강탈 망토","Capa Heist","Разбойничья накидка","Capa de Heist","ผ้าคลุมกองโจร","劫盜披風",""
46,"HeistEquipmentReward","Heist Brooch","Broche de Malfaiteur","Heist-Brosche","ハイストブローチ","강탈 브로치","Broche Heist","Разбойничья брошь","Broche de Heist","เข็มกลัดกองโจร","劫盜胸針",""
47,"HeistBlueprint","Blueprint","Plan","Grundriss","計画書","도면","Planta","Чертёж","Plano","พิมพ์เขียว","藍圖",""
48,"Trinket","Trinket","Babiole","Schmuckstück","トリンケット","장신구","Bugiganga","Украшение","Abalorio","เครื่องประดับ","飾品",""
49,"HeistObjective","Heist Target","Objectif de Casse","Auftragsziel","ハイストターゲット","강탈 대상","Alvo Heist","Предмет кражи","Objetivo de Heist","เป้าหมายโจรกรรม","劫盜目標",""
50,"ExpeditionLogbook","Expedition Logbook","Journal de bord d'Expédition","Expeditions-Logbuch","エクスペディションログブック","탐험 일지","Diário de Bordo Expedition","Журнал экспедиции","Registro de expedición","สมุดปูมเดินทางกองสำรวจ","探險日誌",""
51,"InstanceLocalItem","Instance Local Item","Objet local d'instance","Instanzgebundener lokaler Gegenstand","インスタンスローカルアイテム","인스턴스 특정 아이템","Item Local da Instância","Местный предмет области","Objeto local de instancia","ไอเทมประจำอินสแตนซ์","地區物品",""
52,"SentinelDrone","Sentinel Drone","Drone Sentinelle","Wächterdrohne","センチネルドローン","파수꾼 드론","Drone Sentinela","Часовой Дозора","Dron de centinela","หุ่นอารักษ์","守望無人機",""
53,"Relic","Relic","Relique","Relikt","レリック","유물","Relíquia","Реликвия","Reliquia","วัตถุตกทอด","聖物",""
54,"MemoryLine","Memory","Souvenir","Erinnerung","記憶","기억","Memória","Воспоминание","Recuerdo","ความทรงจำ","記憶",""
