"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid","rid","i32","rid","i32","bool","rid"
0,169,[171],1332,1,"","",112,108,50,"",""
1,326,"[341,325]",1333,2,"","",606,110,50,"",""
2,339,"[24,226,338]",1329,3,"",242,1317,11,50,1,""
3,334,"[329,332]",1334,4,"","",68,111,50,"",76
4,337,[335],1335,5,"","",592,118,50,"",87
5,393,"[391,392]",1336,13,"","",372,122,50,"",""
6,397,[394],1337,14,"","",660,123,50,"",""
7,408,[406],1338,15,"","",353,106,50,"",15
8,507,[507],1339,21,"","",1092,"",50,1,""
9,516,[508],1340,22,"","",1093,"",50,1,""
10,517,[509],1341,23,"","",1094,"",50,1,""
11,518,[510],1342,24,"","",1095,"",50,1,""
12,526,"[524,525]",1343,26,"","",1155,"",41,1,""
13,528,"[189,295,310,311]",1344,0,"","",1163,73,50,1,""
