"rownum","Id","MinLevel","MaxLevel"
0,"Generic",1,100
1,"Currency",1,100
2,"Uniques",6,100
3,"Gems",5,100
4,"Maps",68,100
5,"Trinkets",1,100
6,"Armour",1,100
7,"Weapon",1,100
8,"Essences",1,100
9,"Fragments",36,100
10,"Scarabs",68,100
11,"Labyrinth",33,100
12,"DivinationCards",40,100
13,"Abyss",46,100
14,"Harbinger",34,100
15,"Breach",68,100
16,"Fossils",34,100
17,"Legion",68,100
18,"Blight",68,100
19,"Metamorphosis",68,100
20,"Expedition",46,100
21,"Heist",46,100
22,"Ritual",68,100
23,"Delirium",45,100
24,"Sentinel",68,100
