"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTiers","bool","Bosses","Radius","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","MonsterSpawners","bool","Achievements","TextAudio","UniqueMapMod"
0,"ChaosCloudDaemon1",[0],[],[],23,[],"",[],0,"Choking Miasma","Miasme suffocant","Erstickender Gifthauch","窒息の瘴気","숨막히는 독기","Miasma Asfixiante","Удушающие испарения","Miasma asfixiante","ไอพิษอุดตัน ระดับ 1","窒息迷霧","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",40225,[],0,5237,[],1,0,"A cloud that deals Chaos Damage over Time will follow you","Un nuage de miasme vous poursuit.\r\nCe nuage vous inflige des Dégâts de chaos sur la durée.","Euch verfolgt eine Wolke, die Chaosschaden über Zeit verursacht","混沌継続ダメージを与える雲がプレイヤーを追跡する","지속 카오스 피해를 주는 구름이 당신을 따라다닙니다.","Uma núvem que causa Dano de Caos Degenerativo o seguirá","Вас будет преследовать облако, наносящее постепенный урон хаосом","Te seguirá una nube que inflige daño de caos degenerativo","กลุ่มควันที่สร้างความเสียหาย เคออส ต่อเนื่อง จะติดตามคุณ","一團雲跟隨你，造成混沌持續傷害",[],"",[7824],11217,31485
1,"ChaosCloudDaemon2","[0,22]",[],[],24,[0],"",[],0,"Choking Miasma II","Miasme suffocant II","Erstickender Gifthauch II","窒息の瘴気 II","숨막히는 독기 II","Miasma Asfixiante II","Удушающие испарения II","Miasma asfixiante II","ไอพิษอุดตัน ระดับ 2","窒息迷霧 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",54213,[],0,5237,[],2,0,"A large cloud that deals Chaos Damage over Time will follow you","Un grand nuage de miasme vous poursuit.\r\nCe nuage vous inflige des Dégâts de chaos sur la durée.","Euch verfolgt eine große Wolke, die Chaosschaden über Zeit verursacht","混沌継続ダメージを与える巨大な雲がプレイヤーを追跡する","지속 카오스 피해를 주는 큰 구름이 당신을 따라다닙니다.","Uma grande núvem que causa Dano de Caos Degenerativo o seguirá","Вас будет преследовать большое облако, наносящее постепенный урон хаосом","Te seguirá una nube grande que inflige daño de caos degenerativo","กลุ่มควันขนาดใหญ่ที่สร้างความเสียหาย เคออส ต่อเนื่องจะติดตามคุณ","一團大的雲跟隨你，造成混沌持續傷害",[],"",[7824],11223,31485
2,"ChaosCloudDaemon3","[0,22]",[],[],25,[1],"",[],0,"Choking Miasma III","Miasme suffocant III","Erstickender Gifthauch III","窒息の瘴気 III","숨막히는 독기 III","Miasma Asfixiante III","Удушающие испарения III","Miasma asfixiante III","ไอพิษอุดตัน ระดับ 3","窒息迷霧 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",12812,[],0,5237,[],3,0,"A large and fast cloud that deals Chaos Damage over Time will follow you","Un grand nuage de miasme vous poursuit avec rapidité.\r\nCe nuage vous inflige des Dégâts de chaos sur la durée.","Euch verfolgt eine große schnelle Wolke, die Chaosschaden über Zeit verursacht","混沌継続ダメージを与える巨大で素早い雲がプレイヤーを追跡する","지속 카오스 피해를 주는 크고 빠른 구름이 당신을 따라다닙니다.","Uma grande e rápida núvem que causa Dano de Caos Degenerativo o seguirá","Вас будет преследовать большое и быстрое облако, наносящее постепенный урон хаосом","Te seguirá una nube grande y rápida que inflige daño de caos degenerativo","กลุ่มควันขนาดใหญ่และว่องไวที่สร้างความเสียหาย เคออส ต่อเนื่องจะติดตามคุณ","一團大且迅速的雲跟隨你，造成混沌持續傷害",[],"","[7894,7824]",11229,31485
3,"LightningRuneDaemon1",[1],[],[11],26,[],"",[],0,"Stormcaller Runes","Runes du Mande-orage","Sturmbeschwörer-Runen","ストームコーラー・ルーン","폭풍 소환사 룬","Runas do Convocador de Tormentas","Руны призывателя шторма","Runas llamatormentas","อักขระเวทเรียกสายฟ้า ระดับ 1","風暴喚者符文","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",11866,[],0,5237,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them","Des runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus.","Es erscheinen Runen, die tödliche Blitzstürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力なライトニングストームを呼び出すルーンが出現する","룬이 여러 개 나타납니다. 룬 안에 서 있으면 무시무시한 번개 폭풍이 밀려옵니다.","Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas","Появятся руны, которые будут призывать смертоносные штормы, если вы будете стоять в них","Aparecerán runas que invocarán tormentas eléctricas mortales si permaneces sobre ellas","อักขระเวทจะปรากฏและจะเรียกพายุ สายฟ้า อันแสนอันตรายหากคุณยืนอยู่ในนั้น","若你持續在符文中，符文會顯現並召喚致命的雷霆風暴",[],"",[7825],11271,31486
4,"LightningRuneDaemon2","[1,22]",[],[11],27,[3],"",[],0,"Stormcaller Runes II","Runes du Mande-orage II","Sturmbeschwörer-Runen II","ストームコーラー・ルーン II","폭풍 소환사 룬 II","Runas do Convocador de Tormentas II","Руны призывателя шторма II","Runas llamatormentas II","อักขระเวทเรียกสายฟ้า ระดับ 2","風暴喚者符文 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",40295,[],0,5237,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them","De grandes runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus.","Es erscheinen große Runen, die tödliche Blitzstürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力なライトニングストームを呼び出す巨大なルーンが出現する","큰 룬이 여러 개 나타납니다. 룬 안에 서 있으면 무시무시한 번개 폭풍이 밀려옵니다.","Grandes Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas","Появятся большие руны, которые будут призывать смертоносные штормы, если вы будете стоять в них","Aparecerán runas grandes que invocarán tormentas eléctricas mortales si permaneces sobre ellas","อักขระเวทขนาดใหญ่จะปรากฏและจะเรียกพายุ สายฟ้า อันแสนอันตรายหากคุณยืนอยู่ในนั้น","若你持續在符文中，大符文會顯現並召喚致命的雷霆風暴",[],"",[7825],11277,31486
5,"LightningRuneDaemon3","[1,22]",[],[11],28,[4],"",[],0,"Stormcaller Runes III","Runes du Mande-orage III","Sturmbeschwörer-Runen III","ストームコーラー・ルーン III","폭풍 소환사 룬 III","Runas do Convocador de Tormentas III","Руны призывателя шторма III","Runas llamatormentas III","อักขระเวทเรียกสายฟ้า ระดับ 3","風暴喚者符文 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",43498,[],0,5237,[],3,0,"Many large runes will appear that will call deadly Lightning storms if you remain in them","Une multitude de grandes runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus.","Es erscheinen viele große Runen, die tödliche Blitzstürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力なライトニングストームを呼び出す複数の巨大なルーンが出現する","룬이 많이 나타납니다. 룬 안에 서 있으면 무시무시한 번개 폭풍이 밀려옵니다.","Várias Grandes Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas","Появится много больших рун, которые будут призывать смертоносные штормы, если вы будете стоять в них","Aparecerán muchas runas grandes que invocarán tormentas eléctricas mortales si permaneces sobre ellas","อักขระเวทขนาดใหญ่จำนวนมากจะปรากฏและจะเรียกพายุ สายฟ้า อันแสนอันตรายหากคุณยืนอยู่ในนั้น","若你持續在符文中，更大的符文會顯現並召喚致命的雷霆風暴",[],"","[7895,7825]",11283,31486
6,"LightningRuneDaemon1Trial",[1],[],[11],29,[],"",[],0,"Stormcaller Runes","Runes du Mande-orage","Sturmbeschwörer-Runen","ストームコーラー・ルーン","폭풍 소환사 룬","Runas do Convocador de Tormentas","Руны призывателя шторма","Runas llamatormentas","อักขระเวทเรียกสายฟ้า ระดับ 1","風暴喚者符文","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",19821,[],0,5237,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them","Des runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus.","Es erscheinen Runen, die tödliche Blitzstürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力なライトニングストームを呼び出すルーンが出現する","룬이 나타납니다. 플레이어가 룬 안에 있으면 무시무시한 번개 폭풍이 밀려옵니다.","Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas","Появятся руны, которые будут призывать смертоносные штормы, если вы будете стоять в них","Aparecerán runas que invocarán tormentas eléctricas mortales si permaneces sobre ellas","อักขระเวทจะปรากฏและจะเรียกพายุ สายฟ้า อันแสนอันตรายหากคุณยืนอยู่ในนั้น","若你持續在符文中，符文會顯現並召喚致命的雷霆風暴",[],"",[7825],11271,""
7,"LightningRuneDaemon2Trial","[1,22]",[],[11],30,[6],"",[],0,"Stormcaller Runes II","Runes du Mande-orage II","Sturmbeschwörer-Runen II","ストームコーラー・ルーン II","폭풍 소환사 룬 II","Runas do Convocador de Tormentas II","Руны призывателя шторма II","Runas llamatormentas II","อักขระเวทเรียกสายฟ้า ระดับ 2","風暴喚者符文 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",13955,[],0,5237,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them","De grandes runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus.","Es erscheinen große Runen, die tödliche Blitzstürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力なライトニングストームを呼び出す巨大なルーンが出現する","큰 룬이 나타납니다. 룬 안에 서 있으면 무시무시한 번개 폭풍이 밀려옵니다.","Grandes Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas","Появятся большие руны, которые будут призывать смертоносные штормы, если вы будете стоять в них","Aparecerán runas grandes que invocarán tormentas eléctricas mortales si permaneces sobre ellas","อักขระเวทขนาดใหญ่จะปรากฏและจะเรียกพายุ สายฟ้า อันแสนอันตรายหากคุณยืนอยู่ในนั้น","若你持續在符文中，大符文會顯現並召喚致命的雷霆風暴",[],"",[7825],11277,""
8,"FlamespitterDaemon1",[12],[],[],31,[],"",[],0,"Raging Dead","Défunts enragés","Höllenschädel","怒れる死者","격노하는 시체","Mortos Furiosos","Неистовый мертвец","Muertos encolerizados","ศพเดือดดาล ระดับ 1","憤怒亡者","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",62391,[],0,5237,[],1,0,"Skulls will appear that spit Fire if you remain near them","Des crânes apparaissent.\r\nCes crânes crachent du feu si vous restez près d'eux.","Es erscheinen Schädel, die Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く髑髏が出現する","해골이 1개 나타나서 당신이 근처에 있으면 불을 뱉습니다.","Crânios aparecerão e cuspirão Fogo se você permanecer próximo deles","Появятся черепа, которые будут изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán calaveras que escupirán fuego si permaneces cerca de ellas","กะโหลกจะปรากฏ และพ่น ไฟ หากคุณยืนอยู่ใกล้มัน","若你持續待在附近，會出現骷髏並噴火",[],"",[7826],11235,31487
9,"FlamespitterDaemon2","[12,22]",[],[],32,[8],"",[],0,"Raging Dead II","Défunts enragés II","Höllenschädel II","怒れる死者 II","격노하는 시체 II","Mortos Furiosos II","Неистовый мертвец II","Muertos encolerizados II","ศพเดือดดาล ระดับ 2","憤怒亡者 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",26465,[],0,5237,[],2,0,"Many skulls will appear that spit Fire if you remain near them","De nombreux crânes apparaissent.\r\nCes crânes crachent du feu si vous restez près d'eux.","Es erscheinen viele Schädel, die Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く複数の髑髏が出現する","해골이 여러 개 나타나서 당신이 근처에 있으면 불을 뱉습니다.","Vários Crânios aparecerão e cuspirão Fogo se você permanecer próximo deles","Появится множество черепов, которые будут изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán muchas calaveras que escupirán fuego si permaneces cerca de ellas","กะโหลกจำนวนมากจะปรากฏ และพ่น ไฟ หากคุณยืนอยู่ใกล้มัน","若你持續待在附近，會出現骷髏並噴火",[],"",[7826],11241,31487
