"rownum","Level","Life"
0,1,30
1,2,33
2,3,35
3,4,38
4,5,40
5,6,43
6,7,45
7,8,48
8,9,50
9,10,53
10,11,55
11,12,58
12,13,60
13,14,63
14,15,65
15,16,68
16,17,70
17,18,73
18,19,75
19,20,78
20,21,80
21,22,83
22,23,85
23,24,88
24,25,90
25,26,93
26,27,95
27,28,98
28,29,100
29,30,103
30,31,105
31,32,108
32,33,110
33,34,113
34,35,115
35,36,118
36,37,120
37,38,123
38,39,125
39,40,128
40,41,130
41,42,133
42,43,135
43,44,138
44,45,140
45,46,143
46,47,145
47,48,148
48,49,150
49,50,153
50,51,155
51,52,158
52,53,160
53,54,163
54,55,165
55,56,168
56,57,170
57,58,173
58,59,175
59,60,178
60,61,180
61,62,183
62,63,185
63,64,188
64,65,190
65,66,193
66,67,195
67,68,200
68,69,210
69,70,220
70,71,230
71,72,240
72,73,250
73,74,260
74,75,270
75,76,280
76,77,290
77,78,300
78,79,310
79,80,320
80,81,330
81,82,340
82,83,350
83,84,360
84,85,360
85,86,360
86,87,360
87,88,360
88,89,360
89,90,360
90,91,360
91,92,360
92,93,360
93,94,360
94,95,360
95,96,360
96,97,360
97,98,360
98,99,360
99,100,360
