"rownum","BaseItemTypesKey","bool","[rid]"
0,16,"",[]
1,0,"",[]
2,2,"",[]
3,10,"",[]
4,17,"",[]
5,26,"",[]
6,27,"",[]
7,28,"",[]
8,29,"",[]
9,211,"",[]
10,212,"",[]
11,213,"",[]
12,214,"",[]
13,215,"",[]
14,216,"",[]
15,217,"",[]
16,218,"",[]
17,219,"",[]
18,220,"",[]
19,11,"",[]
20,12,"",[]
21,7,"",[]
22,8,"",[]
23,20,"",[]
24,21,"",[]
25,9,1,[]
26,13,1,[]
27,24,1,[]
28,40,1,[]
29,19,1,[]
30,22,"",[]
31,6931,1,[]
32,204,1,[]
33,6897,1,[]
34,6898,1,[]
35,6899,1,[]
36,6900,1,[]
37,6901,1,[]
38,6902,1,[]
39,6904,1,[]
40,6903,1,[]
41,200,1,[373]
42,201,1,[373]
43,197,1,[373]
44,198,1,[373]
45,199,1,[373]
