"rownum","Id","rid","rid","i32"
0,"UniqueOneHandSword1",7284,9,1
1,"UniqueBow2",7293,13,1
2,"UniqueWand4",9207,8,1
3,"UniqueClaw4",8997,6,3
4,"UniqueStaff4",9244,14,4
5,"UniqueStaff9",10150,14,4
6,"UniqueBow4",8297,13,5
7,"UniqueDagger11",10867,7,5
8,"UniqueOneHandAxe3",9240,11,6
9,"UniqueRapier1",8276,10,7
10,"UniqueBow8",8809,13,9
11,"UniqueOneHandSword12",10876,9,10
12,"UniqueOneHandMace6",10878,12,10
13,"UniqueTwoHandSword2",7303,15,12
14,"UniqueClaw9",10872,6,12
15,"UniqueWand12",11419,8,24
16,"UniqueTwoHandAxe3",8300,16,13
17,"UniqueStaff13",10871,57,13
18,"UniqueDagger12",10868,7,15
19,"UniqueOneHandAxe7",10874,11,16
20,"UniqueTwoHandMace1",7299,17,17
21,"UniqueRapier2",8992,10,17
22,"UniqueDagger3",8290,56,20
23,"UniqueOneHandMace1",8295,12,20
24,"UniqueOneHandMace7",10879,12,20
25,"UniqueOneHandSword16",11487,9,20
26,"UniqueTwoHandMace7",9117,17,22
27,"UniqueOneHandSword7",9391,10,22
28,"UniqueTwoHandSword7",9643,15,22
29,"UniqueClaw6",9000,6,26
30,"UniqueRapier5",11846,10,26
31,"UniqueTwoHandMace2",7300,17,27
32,"UniqueOneHandSword4",9088,9,28
33,"UniqueBow11",9387,13,28
34,"UniqueOneHandSword13",10877,9,28
35,"UniqueOneHandAxe6",10710,11,29
36,"UniqueDagger2",7327,7,30
37,"UniqueWand9",10784,8,30
38,"UniqueBow3",7297,13,32
39,"UniqueOneHandMace8",10880,12,32
40,"UniqueTwoHandAxe2",8274,16,33
41,"UniqueClaw2",8321,6,34
42,"UniqueTwoHandMace10",11481,17,40
43,"UniqueSceptre1",8318,32,41
44,"UniqueSceptre2",8929,32,41
45,"UniqueRapier4",11489,10,43
46,"UniqueTwoHandSword1",7302,15,44
47,"UniqueDagger13",11483,56,44
48,"UniqueTwoHandAxe4",8808,16,45
49,"UniqueClaw8",10716,6,46
50,"UniqueOneHandClaw12",11465,6,46
51,"UniqueOneHandSword18",11521,9,47
52,"UniqueOneHandMace10",11485,12,50
53,"UniqueTwoHandSword3",8275,15,51
54,"UniqueStaff18",11991,14,52
55,"UniqueBow7",8310,13,53
56,"UniqueOneHandSword5",9151,9,53
57,"UniqueTwoHandMace4",8301,17,54
58,"UniqueTwoHandAxe14",11479,16,55
59,"UniqueSceptre10",10707,32,72
60,"UniqueWand11",11403,8,59
61,"UniqueTwoHandMace3",8285,17,57
62,"UniqueTwoHandAxe1",7283,16,58
63,"UniqueDagger8",9246,56,58
64,"UniqueOneHandSword11",10711,9,58
65,"UniqueWand1",8281,8,59
66,"UniqueOneHandAxe1",9020,11,65
67,"UniqueTwoHandSword10",11671,15,59
68,"UniqueOneHandMace4",10705,12,60
69,"UniqueOneHandSword19",11662,9,60
70,"UniqueClaw18",12066,6,60
71,"UniqueDagger16",12067,7,60
72,"UniqueDagger21",12132,7,60
73,"UniqueTwoHandSword11",11701,15,61
74,"UniqueBow5",8299,13,62
75,"UniqueBow6",8304,13,62
76,"UniqueClaw3",8963,6,62
77,"UniqueOneHandSword6",9388,9,62
78,"UniqueTwoHandAxe16",12272,16,62
79,"UniqueTwoHandMace11",11704,17,77
80,"UniqueOneHandAxe10",12107,11,63
81,"UniqueOneHandSword3",9009,9,64
82,"UniqueBow10",9127,13,64
83,"UniqueDagger9",9436,56,64
84,"UniqueTwoHandAxe10",11389,16,64
85,"UniqueOneHandSword17",11496,9,64
86,"UniqueOneHandAxe5",9232,11,65
87,"UniqueTwoHandSword8",10136,15,65
88,"UniqueTwoHandMace12",11970,17,65
89,"UniqueBow1",7289,13,66
90,"UniqueClaw1",8312,6,66
91,"UniqueBow9",9096,13,70
92,"UniqueOneHandMace5",10706,12,66
93,"UniqueClaw10",11337,6,66
94,"UniqueTwoHandAxe15",11966,16,66
95,"UniqueDagger17",12232,56,66
96,"UniqueTwoHandMace6",9086,17,67
97,"UniqueTwoHandSword6",9148,15,67
98,"UniqueStaff7",9395,57,71
99,"UniqueBow15",11509,13,68
100,"UniqueClaw14",11669,6,68
101,"UniqueOneHandSword20",11705,9,77
102,"UniqueBow17",11819,13,77
103,"UniqueTwoHandAxe13",11931,16,68
104,"UniqueOneHandSword24",12033,9,68
105,"UniqueOneHandAxe2",9172,11,69
106,"UniqueClaw13",11504,6,70
107,"UniqueClaw15",11822,6,77
108,"UniqueStaff20",12057,14,66
109,"UniqueStaff27",12117,57,60
110,"UniqueStaff22",12267,57,64
111,"UniqueStaff24",12388,57,68
112,"UniqueOneHandSword29",12319,9,56
113,"UniqueOneHandSword30",12320,9,56
114,"UniqueOneHandSword31",12672,9,62
115,"UniqueTwoHandSword12",11827,15,67
116,"UniqueTwoHandSword13",11827,15,67
117,"UniqueTwoHandSword14",13305,15,67
118,"UniqueDagger20",12113,7,60
119,"UniqueBow18",11866,13,58
120,"UniqueBow19",11867,13,58
121,"UniqueBow22",12442,13,57
122,"UniqueBow23",13251,13,58
123,"UniqueBow21",12252,13,75
124,"UniqueBow20",12233,13,62
125,"UniqueBow16",11686,13,64
126,"UniqueTwoHandAxe7",9360,16,64
127,"UniqueTwoHandAxe9",10794,16,66
