"rownum","Item","NamePlural (English)","NamePlural (French)","NamePlural (German)","NamePlural (Japanese)","NamePlural (Korean)","NamePlural (Portuguese)","NamePlural (Russian)","NamePlural (Spanish)","NamePlural (Thai)","NamePlural (Traditional Chinese)","ScriptReward"
0,11,"Orbs of Alteration","Orbes d'altération","Veränderungssphären","改変のオーブ","변화의 오브","Orbes da Alteração","Сферы перемен","Orbes de alteración","Orb of Alteration","改造石","alt"
1,7,"Orbs of Chance","Orbes de chance","Sphären der Möglichkeiten","可能性のオーブ","기회의 오브","Orbes da Chance","Сферы удачи","Orbes de azar","Orb of Chance","機會石","chance"
2,17,"Glassblower's Baubles","Bulles de souffleur de verre","Kugeln des Glasbläsers","ガラス吹きの飾り玉","유리직공의 방울","Bolhas do Vidreiro","Стекольные массы","Baratijas de vidrio","Glassblower's Bauble","玻璃彈珠","bauble"
3,19,"Chromatic Orbs","Orbes chromatiques","Färbungssphären","色彩のオーブ","색채의 오브","Orbes Cromáticos","Цветные сферы","Orbes cromáticos","Chromatic Orb","幻色石","chrome"
4,21,"Jeweller's Orbs","Orbes de joaillier","Sphären des Goldschmieds","宝飾職人のオーブ","쥬얼러 오브","Orbes do Joalheiro","Сферы златокузнеца","Orbes de joyero","Jeweller's Orb","工匠石","jewellers"
5,6,"Orbs of Alchemy","Orbes d'alchimie","Sphären der Alchemie","錬金術のオーブ","연금술의 오브","Orbes da Alquimia","Сферы алхимии","Orbes de alquimia","Orb of Alchemy","點金石","alch"
6,20,"Orbs of Fusing","Orbes de fusion","Verbindungssphären","結合のオーブ","연결의 오브","Orbes da Fusão","Сферы соединения","Orbes de fusión","Orb of Fusing","鏈結石","fusing"
7,12,"Orbs of Scouring","Orbes de suppression","Sphären der Läuterung","洗浄のオーブ","정제의 오브","Orbes do Expurgo","Сферы очищения","Orbes de purga","Orb of Scouring","重鑄石","scour"
8,25,"Cartographer's Chisels","Burins de cartographe","Meißel des Kartographen","地図職人のたがね","지도제작자의 끌","Cinzéis do Cartógrafo","Резцы картографа","Cinceles del cartógrafo","Cartographer's Chisel","製圖釘","chisel"
9,2,"Chaos Orbs","Orbes du chaos","Chaossphären","混沌のオーブ","카오스 오브","Orbes do Caos","Сфера хаоса","Orbes de caos","Chaos Orb","混沌石","chaos"
10,204,"Orbs of Binding","Orbes de liaison","Bindungssphären","結束のオーブ","속박의 오브","Orbes da Ligação","Сферы сплетения","Orbes de vinculación","Orb of Binding","束縛石","orb-of-binding"
11,8,"Orbs of Regret","Orbes de regret","Sphären der Reue","後悔のオーブ","후회의 오브","Orbes do Arrependimento","Сферы раскаяния","Orbes de arrepentimiento","Orb of Regret","後悔石","regret"
12,18,"Gemcutter's Prisms","Prismes de lapidaire","Prismen des Gemmenschneiders","宝石細工師のプリズム","세공사의 프리즘","Prismas do Lapidário","Призмы камнереза","Prismas del tallador de gemas","Gemcutter's Prism","寶石匠的稜鏡","gcp"
13,23,"Blessed Orbs","Orbes bénis","Gesegnete Sphären","祝福のオーブ","축복의 오브","Orbes Abençoadas","Благодатные сферы","Orbes benditos","Blessed Orb","祝福石","blessed"
14,33,"Vaal Orbs","Orbes vaal","Vaal-Sphären","ヴァ―ルオーブ","바알 오브","Orbes Vaal","Сферы ваал","Orbes vaal","Vaal Orb","瓦爾寶珠","vaal"
15,205,"Orbs of Horizon","Orbes des horizons","Sphären der Horizonte","地平のオーブ","지평의 오브","Orbes do Horizonte","Сферы горизонтов","Orbes de horizontes","Orb of Horizon","地平石","orb-of-horizons"
16,9810,"Instilling Orbs","Orbes d'instillation","Sphären der Einflößung","注入のオーブ","주입의 오브","Orbes Instigantes","Вливающие сферы","Orbes de instilación","Instilling Orb","滴注石","instilling-orb"
17,14,"Regal Orbs","Orbes royaux","Hoheitliche Sphären","王者のオーブ","제왕의 오브","Orbes Reais","Сферы царей","Orbes regios","Regal Orb","富豪石","regal"
18,9809,"Enkindling Orbs","Orbes chauffants","Sphären der Potenzierung","喚起のオーブ","자극의 오브","Orbes Incandescentes","Растапливающие сферы","Orbes de estimulación","Enkindling Orb","點燃石","enkindling-orb"
19,9,"Orbs of Unmaking","Orbes de démantèlement","Sphären der Umkehr","解除のオーブ","취소의 오브","Orbes da Destruição","Сферы небытия","Orbes de destrucción","Orb of Unmaking","撤銷石","orb-of-unmaking"
20,181,"Awakened Sextants","Sextants éveillés","Erweckte Sextanten","覚醒した六分儀","각성한 육분의","Sextantes Despertos","Пробужденные секстанты","Sextantes despertados","เครื่องวัดแดดจุติ","製圖六分儀．覺醒","awakened-sextant"
21,8875,"Stacked Decks","Bonnes pioches","Kartenstapel","細工されたデッキ","카드 묶음","Decks Acumulados","Колоды карт","Barajas apiladas","สำรับไพ่ปริศนา","豐裕牌組","stacked-deck"
22,3,"Veiled Chaos Orbs","Orbes du chaos cryptiques","Verhüllte Chaossphären","ヴェールの混沌のオーブ","장막의 카오스 오브","Orbes Ocultas do Caos","Сферы скрытого хаоса","Orbes de caos encriptados","Veiled Chaos Orb","隱匿混沌石","veiled-chaos-orb"
23,203,"Orbs of Annulment","Orbes d'annulation","Sphären der Annullierung","消去のオーブ","소멸의 오브","Orbes da Anulação","Сферы отмены","Orbes de anulación","Orbs of Annulment","無效石","annul"
24,22,"Divine Orbs","Orbes divins","Göttliche Sphäre","神のオーブ","신성한 오브","Orbes Divinos","Божественные сферы","Orbes divinos","Divine Orb","神聖石","divine"
25,13,"Exalted Orbs","Orbes exaltés","Erhabene Sphären","高貴なオーブ","엑잘티드 오브","Orbes Exaltados","Сферы возвышения","Orbes exaltados","Exalted Orb","崇高石","exalted"
26,7309,"Divine Vessels","Réceptacles divins","Göttliche Gefäße","神の器","성스러운 시험관","Recipientes Divinos","Божественные сосуды","Recipientes divinos","คนโทศักดิ์สิทธิ์","眾神聖器","divine-vessel"
