"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName (English)","SupportSkillName (French)","SupportSkillName (German)","SupportSkillName (Japanese)","SupportSkillName (Korean)","SupportSkillName (Portuguese)","SupportSkillName (Russian)","SupportSkillName (Spanish)","SupportSkillName (Thai)","SupportSkillName (Traditional Chinese)","IsSupport","bool","bool","bool","bool","bool","AwakenedVariant","RegularVariant","GrantedEffectHardMode","rid","i32","ItemExperienceType","[rid]"
0,6006,0,0,0,100,"[11,25,5,4,14,0]",6216,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,0,[0]
1,6216,3007,0,0,100,"[11,25,5,4,14,24,0]","",1,"","","","","","","","","","","",0,"","","","","","","","","","","","","","","",1,1,"","","","",3,0,[0]
2,6007,58,0,0,100,"[11,25,4,14,1,38]",6225,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,4,[0]
3,6047,5208,0,0,100,"[11,25,4,14,5]",6216,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,0,[0]
4,6225,68,0,0,100,"[11,25,4,14,24,1,38]","",1,"","","","","","","","","","","",58,"","","","","","","","","","","","","","","",1,1,"","","","",3,4,[0]
5,6008,98,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","",99,"",1,3,[0]
6,6060,5176,100,0,100,"[11,25,4,14,5,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,8,[0]
7,6009,8257,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,8,[0]
8,6010,5194,0,60,40,"[10,25,13,14,30,33,7]",6724,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,8,[0]
9,6011,103,100,0,0,"[9,25,13,14,33,7]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,4,[0]
10,6012,7598,100,0,0,"[9,25,13,14,7]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,8,[0]
11,6246,105,100,0,0,"[9,25,13,14,24,33,7]","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,4,[0]
12,6226,5263,0,0,0,"[25,4,5,22]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",4,3,[0]
13,6013,8319,100,0,0,"[9,25,13,14,40,7]",6228,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,0,[0]
