"rownum","BuffDefinitions","[i32]","StatsKeys","i32","[i32]","i32","i32","[i32]"
0,856,[],"[477,447]",0,[],0,0,[]
1,875,[],"[6227,6231]",0,[],1,0,[]
2,901,[],[346],25,"[1,2,0]",2,0,[]
3,903,"[1,1]",[477],0,[],3,0,[]
4,905,[],"[173,172,6235,1114]",0,[],4,0,[]
5,907,[],"[24,477,70,177]",0,[],5,0,[]
6,1086,[],"[24,70,216,177,477]",0,[],6,0,[]
7,900,[],"[6366,6367,6368]",0,[],7,0,[]
8,1146,[1],[],30,[2],8,0,[]
9,1261,[],[],0,[],9,0,[]
10,1308,[],"[177,70]",0,[],10,0,[]
11,1387,[],[24],0,[],11,0,[]
12,1398,[],"[717,24]",0,[],12,0,[]
13,1424,[],"[43,44,611,4988,477]",0,[],13,0,[]
14,1425,[],"[50,51,7410,477]",0,[],14,0,[]
15,1426,[],"[57,58,7411,477,659]",0,[],15,0,[]
16,1427,[],"[28,29,477,1903]",0,[],16,0,[]
17,1435,[],[140],0,[],17,0,[]
18,1439,[],[1952],200,"[2,9,13]",18,100,[]
19,1439,[],[1952],200,"[2,9,13]",19,85,[]
20,1439,[],[1952],200,"[2,9,13]",20,70,[]
21,1439,[],[1952],200,"[2,9,13]",21,55,[]
22,1439,[],[1952],200,"[2,9,13]",22,35,[]
23,1411,[],"[5861,5862,5864,5865,346]",74,"[2,9,10]",23,0,[]
24,1412,[],"[5861,5862,5864,5865,346]",55,"[2,9,10]",24,0,[]
25,1450,[],"[5861,5862,5864,5865,346]",74,"[2,9,18]",25,0,[]
26,1451,[],"[5861,5862,5864,5865,346]",55,"[2,9,18]",26,0,[]
27,908,[],"[24,477,70,177,3409]",0,[],28,0,[]
28,904,"[1,1,1]",[477],0,[],29,0,[]
29,906,[],"[173,172,6235,1114,10606]",0,[],30,0,[]
30,902,[],[346],35,"[1,0]",31,0,[]
31,909,[],"[595,659]",0,[],32,0,[]
32,1642,[],[1951],23,"[2,4,9]",33,0,[]
33,1642,[],[1951],11,"[2,4,9]",34,0,[]
34,1702,[],"[477,151,153]",16,"[2,10]",35,0,[]
35,1705,[],[346],0,[],36,0,[]
36,1722,[-8],[1955],120,"[2,9,10]",37,0,[]
37,1726,[],[477],28,"[1,9,14]",38,0,[]
38,1704,[],[346],120,"[0,1,2,9]",39,0,[]
39,1733,[],"[139,138]",0,[],40,0,[]
40,1642,[],[1951],23,"[2,3,9]",41,0,[]
41,1642,[],[1951],11,"[2,3,9]",42,0,[]
42,1760,[],[2562],14,[2],43,0,[]
43,1761,[],[2562],14,[2],44,0,[400]
44,1788,[],[],0,[],45,0,[]
45,1853,[],[1949],150,"[2,9,13]",46,55,[]
46,1959,[],"[3340,1953,17044]",38,"[2,13]",47,25,[]
47,1979,[],"[70,216,214,15466]",0,[],48,0,[]
48,1412,[],"[5861,5862,5864,5865,346]",48,"[2,9,10]",49,0,[]
49,2088,[],[1955],15,"[2,9]",50,0,[]
50,2229,[],[],0,[],51,0,[]
51,2187,[],[8404],31,"[2,14]",52,0,[]
52,2188,[],"[1052,139]",32,"[1,14]",53,0,[]
53,2189,[],[453],25,"[2,14]",54,0,[]
54,232,[30],[],0,[],55,0,[]
55,2197,[100],[],0,[],56,0,[]
56,212,"[20,20,20]",[],30,[1],57,0,[]
57,2238,[1000],[],0,[],58,0,[]
58,2241,[100],[],40,"[1,14]",59,0,[]
59,2242,[100],[],40,"[1,14]",60,0,[]
60,1483,[],[],40,"[2,14]",61,0,"[13,50]"
61,2253,[-75],[],60,"[2,14]",62,0,[]
62,1065,[-100],[],30,"[1,14]",63,0,[]
63,1790,[10],[],0,[],1000,0,"[1,50]"
