"rownum","MonsterVarietiesKey","bool","rid"
0,2547,1,""
1,2551,1,15
2,2553,1,38
3,2565,1,""
4,2566,1,27
5,2570,1,15
6,2572,1,55
7,2535,1,5
8,2539,1,19
9,2543,1,26
10,2599,1,40
11,2602,1,48
12,2603,1,71
13,2587,1,25
14,2591,1,7
15,2593,1,54
16,2579,1,28
17,2582,1,9
18,2584,1,35
19,2557,1,8
20,2558,1,6
21,2562,1,70
22,2545,1,88
23,2554,1,15
24,2573,1,27
25,2596,1,8
26,2585,1,78
27,2552,"",23
28,2571,"",36
29,2544,"",18
30,2598,"",32
31,2592,"",34
32,2583,"",13
33,2561,"",35
34,4417,"",""
35,4419,"",""
36,4418,"",""
37,2612,"",""
38,2613,"",""
39,2616,"",""
40,2610,"",""
41,2614,"",""
42,2611,"",""
43,2615,"",""
44,2536,"",5
45,2548,"",""
46,2567,"",27
47,2580,"",28
48,2594,"",54
49,2600,"",40
50,2559,"",6
51,2563,1,78
52,2577,1,""
53,2564,1,""
54,2586,1,""
55,2597,1,""
56,2556,1,""
57,2578,1,81
