"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,9406
1,0,2,9407
2,0,3,9408
3,0,4,9409
4,1,1,9394
5,1,2,9395
6,1,3,9396
7,1,4,9397
8,2,1,9398
9,2,2,9399
10,2,3,9400
11,2,4,9401
12,3,1,9402
13,3,2,9403
14,3,3,9404
15,3,4,9405
16,4,1,9414
17,4,2,9415
18,4,3,9416
19,4,4,9417
20,5,1,9418
21,5,2,9419
22,5,3,9420
23,5,4,9421
24,6,1,9426
25,6,2,9427
26,6,3,9428
27,6,4,9429
28,7,1,9430
29,7,2,9431
30,7,3,9432
31,7,4,9433
32,8,1,9434
33,8,2,9435
34,8,3,9436
35,8,4,9437
36,9,1,9438
37,9,2,9439
38,9,3,9440
39,9,4,9441
40,10,1,9442
41,10,2,9443
42,10,3,9444
43,10,4,9445
44,11,1,9446
45,11,2,9447
46,11,3,9448
47,11,4,9449
48,12,1,9450
49,12,2,9451
50,12,3,9452
51,12,4,9453
52,13,1,9422
53,13,2,9423
54,13,3,9424
55,13,4,9425
56,14,1,9454
57,14,2,9455
58,14,3,9456
59,14,4,9457
60,15,1,9458
61,15,2,9459
62,15,3,9460
63,15,4,9461
