"rownum","Stat","StatValue"
0,0,100
1,8121,600
2,9895,1
3,8738,10
4,8739,10
5,2455,10
6,9849,10
7,9850,10
8,5612,10
9,5750,10
10,3619,10
11,2313,100
12,3360,1
13,3359,1
14,5803,10
15,2311,7
16,3046,10
17,4787,1
18,5826,1
19,8551,10
20,6546,5
21,13842,1
22,10338,1
23,9352,10
24,11790,1
25,13315,100
26,4946,0
27,10051,10
28,8453,4
29,11782,10
30,8066,1
31,12130,100
32,13517,10
33,13624,100
34,13625,100
35,13654,100
36,15897,100
37,13751,1
38,13795,100
39,14527,1
40,14587,10
41,15437,1
42,16142,100
43,16158,100
44,16986,1
45,16985,1
46,16154,1
47,16148,1
48,16152,1
49,16983,1
50,16683,10
51,16759,10
52,16825,10
53,16870,10
54,16973,0
55,2335,1
56,4930,1
57,16978,1
58,17026,100
59,17062,100
60,17057,100
61,17061,100
62,17106,10
63,17436,1
64,17706,1
65,18551,1
