"rownum","Id","Function","Arguments","TextAudio","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","BuyAchievements","rid","DealFamily"
0,0,"reroll_affixes_highest_of_X","prefix count 3",12009,"Reroll Prefixes 3 times, keeping the best outcome.","Tire 3 fois au hasard les Préfixes, et conserve le meilleur résultat.","Verändert die Präfixe 3-mal und behält das beste Ergebnis bei.","プレフィックスを3回リロールし、最良の結果を残す。","접두어를 3회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Prefixos 3 vezes, mantendo o melhor resultado.","Изменить префиксы 3 раза, сохранив лучший результат.","Aleatoriza los prefijos 3 veces y se queda con el mejor resultado.","สุ่ม ม็อด​พรีฟิกซ์ 3 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰前綴 3 次，並保留最佳結果。",[8074],34,1
1,1,"reroll_affixes_highest_of_X","prefix count 6",12009,"Reroll Prefixes 6 times, keeping the best outcome.","Tire 6 fois au hasard les Préfixes, et conserve le meilleur résultat.","Verändert die Präfixe 6-mal und behält das beste Ergebnis bei.","プレフィックスを6回リロールし、最良の結果を残す。","접두어를 6회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Prefixos 6 vezes, mantendo o melhor resultado.","Изменить префиксы 6 раз, сохранив лучший результат.","Aleatoriza los prefijos 6 veces y se queda con el mejor resultado.","สุ่ม ม็อด​พรีฟิกซ์ 6 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰前綴 6 次，並保留最佳結果。",[8074],34,1
2,2,"reroll_affixes_highest_of_X","prefix count 10",12009,"Reroll Prefixes 10 times, keeping the best outcome.","Tire 10 fois au hasard les Préfixes, et conserve le meilleur résultat.","Verändert die Präfixe 10-mal und behält das beste Ergebnis bei.","プレフィックスを10回リロールし、最良の結果を残す。","접두어를 10회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Prefixos 10 vezes, mantendo o melhor resultado.","Изменить префиксы 10 раз, сохранив лучший результат.","Aleatoriza los prefijos 10 veces y se queda con el mejor resultado.","สุ่ม ม็อด​พรีฟิกซ์ 10 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰前綴 10 次，並保留最佳結果。",[8074],34,1
3,3,"reroll_affixes_highest_of_X","suffix count 3",12008,"Reroll Suffixes 3 times, keeping the best outcome.","Tire 3 fois au hasard les Suffixes, et conserve le meilleur résultat.","Verändert die Suffixe 3-mal und behält das beste Ergebnis bei.","サフィックスを3回リロールし、最良の結果を残す。","접미어를 3회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Sufixos 3 vezes, mantendo o melhor resultado.","Изменить суффиксы 3 раза, сохранив лучший результат.","Aleatoriza los sufijos 3 veces y se queda con el mejor resultado.","สุ่ม ม็อด​ซัฟฟิกซ์ 3 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰後綴 3 次，並保留最佳結果。",[8075],34,2
4,4,"reroll_affixes_highest_of_X","suffix count 6",12008,"Reroll Suffixes 6 times, keeping the best outcome.","Tire 6 fois au hasard les Suffixes, et conserve le meilleur résultat.","Verändert die Suffixe 6-mal und behält das beste Ergebnis bei.","サフィックスを6回リロールし、最良の結果を残す。","접미어를 6회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Sufixos 6 vezes, mantendo o melhor resultado.","Изменить суффиксы 6 раз, сохранив лучший результат.","Aleatoriza los sufijos 6 veces y se queda con el mejor resultado.","สุ่ม ม็อด​ซัฟฟิกซ์ 6 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰後綴 6 次，並保留最佳結果。",[8075],34,2
5,5,"reroll_affixes_highest_of_X","suffix count 10",12008,"Reroll Suffixes 10 times, keeping the best outcome.","Tire 10 fois au hasard les Suffixes, et conserve le meilleur résultat.","Verändert die Suffixe 10-mal und behält das beste Ergebnis bei.","サフィックスを10回リロールし、最良の結果を残す。","접미어를 10회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Sufixos 10 vezes, mantendo o melhor resultado.","Изменить суффиксы 10 раз, сохранив лучший результат.","Aleatoriza los sufijos 10 veces y se queda con el mejor resultado.","สุ่ม ม็อด​ซัฟฟิกซ์ 10 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰後綴 10 次，並保留最佳結果。",[8075],34,2
6,6,"reroll_affixes_highest_of_X","prefix count 3 restrict",12009,"Reroll Prefixes 3 times, keeping the best outcome.","Tire 3 fois au hasard les Préfixes, et conserve le meilleur résultat.","Verändert die Präfixe 3-mal und behält das beste Ergebnis bei.","プレフィックスを3回リロールし、最良の結果を残す。","접두어를 3회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Prefixos 3 vezes, mantendo o melhor resultado.","Изменить префиксы 3 раза, сохранив лучший результат.","Aleatoriza los prefijos 3 veces y se queda con el mejor resultado.","สุ่ม ม็อด​พรีฟิกซ์ 3 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰前綴 3 次，並保留最佳結果。",[8074],34,1
7,7,"reroll_affixes_highest_of_X","prefix count 6 restrict",12009,"Reroll Prefixes 6 times, keeping the best outcome.","Tire 6 fois au hasard les Préfixes, et conserve le meilleur résultat.","Verändert die Präfixe 6-mal und behält das beste Ergebnis bei.","プレフィックスを6回リロールし、最良の結果を残す。","접두어를 6회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Prefixos 6 vezes, mantendo o melhor resultado.","Изменить префиксы 6 раз, сохранив лучший результат.","Aleatoriza los prefijos 6 veces y se queda con el mejor resultado.","สุ่ม ม็อด​พรีฟิกซ์ 6 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰前綴 6 次，並保留最佳結果。",[8074],34,1
8,8,"reroll_affixes_highest_of_X","prefix count 10 restrict",12009,"Reroll Prefixes 10 times, keeping the best outcome.","Tire 10 fois au hasard les Préfixes, et conserve le meilleur résultat.","Verändert die Präfixe 10-mal und behält das beste Ergebnis bei.","プレフィックスを10回リロールし、最良の結果を残す。","접두어를 10회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Prefixos 10 vezes, mantendo o melhor resultado.","Изменить префиксы 10 раз, сохранив лучший результат.","Aleatoriza los prefijos 10 veces y se queda con el mejor resultado.","สุ่ม ม็อด​พรีฟิกซ์ 10 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰前綴 10 次，並保留最佳結果。",[8074],34,1
9,9,"reroll_affixes_highest_of_X","suffix count 3 restrict",12008,"Reroll Suffixes 3 times, keeping the best outcome.","Tire 3 fois au hasard les Suffixes, et conserve le meilleur résultat.","Verändert die Suffixe 3-mal und behält das beste Ergebnis bei.","サフィックスを3回リロールし、最良の結果を残す。","접미어를 3회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Sufixos 3 vezes, mantendo o melhor resultado.","Изменить суффиксы 3 раза, сохранив лучший результат.","Aleatoriza los sufijos 3 veces y se queda con el mejor resultado.","สุ่ม ม็อด​ซัฟฟิกซ์ 3 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰後綴 3 次，並保留最佳結果。",[8075],34,2
10,10,"reroll_affixes_highest_of_X","suffix count 6 restrict",12008,"Reroll Suffixes 6 times, keeping the best outcome.","Tire 6 fois au hasard les Suffixes, et conserve le meilleur résultat.","Verändert die Suffixe 6-mal und behält das beste Ergebnis bei.","サフィックスを6回リロールし、最良の結果を残す。","접미어를 6회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Sufixos 6 vezes, mantendo o melhor resultado.","Изменить суффиксы 6 раз, сохранив лучший результат.","Aleatoriza los sufijos 6 veces y se queda con el mejor resultado.","สุ่ม ม็อด​ซัฟฟิกซ์ 6 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰後綴 6 次，並保留最佳結果。",[8075],34,2
11,11,"reroll_affixes_highest_of_X","suffix count 10 restrict",12008,"Reroll Suffixes 10 times, keeping the best outcome.","Tire 10 fois au hasard les Suffixes, et conserve le meilleur résultat.","Verändert die Suffixe 10-mal und behält das beste Ergebnis bei.","サフィックスを10回リロールし、最良の結果を残す。","접미어를 10회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola Sufixos 10 vezes, mantendo o melhor resultado.","Изменить суффиксы 10 раз, сохранив лучший результат.","Aleatoriza los sufijos 10 veces y se queda con el mejor resultado.","สุ่ม ม็อด​ซัฟฟิกซ์ 10 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰後綴 10 次，並保留最佳結果。",[8075],34,2
12,12,"reroll_mods_lucky","prefix suffix single ignore_max count 1",12011,"Reroll Modifier Values of a single Modifier.","Tire au hasard les Valeurs numériques d'un seul Modificateur.","Verändert die Modifikatorenwerte eines einzelnen Modifikators.","一つのモッドの値をリロールする。","속성 부여 1개의 속성 부여 수치를 무작위 변경합니다.","Re-rola os Valores de Modificadores de um único Modificador.","Изменить значения одного свойства.","Aleatoriza el valor de un modificador.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​ 1 ​อย่าง","重骰單個詞綴的數值。",[],34,3
13,13,"reroll_mods_lucky","prefix suffix single ignore_max count 3",12011,"Reroll Modifier Values of a single Modifier 3 times, keeping the best outcome.","Tire 3 fois au hasard les Valeurs numériques d'un seul Modificateur, et conserve le meilleur résultat.","Verändert die Modifikatorenwerte eines einzelnen Modifikators 3-mal und behält das beste Ergebnis bei.","一つのモッドの値を3回リロールし、最良の結果を残す。","속성 부여 1개의 속성 부여 수치를 3회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola os Valores de Modificadores de um único Modificador 3 vezes, mantendo o melhor resultado.","Изменить значения одного свойства 3 раза, сохранив лучший результат.","Aleatoriza el valor de un modificador 3 veces y se queda con el mejor resultado.","สุ่ม​ค่าตัวเลข​ของ ​ม็อด 1 อย่าง 3 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰單個詞綴的數值 3 次，並保留最佳結果。",[],34,3
