"rownum","Id","bool"
0,"DISABLED",""
1,"AtlasMission",1
2,"DIVIDER1",1
3,"Gossip",""
4,"DIVIDER2",""
5,"Quests",1
6,"QuestReward",1
7,"NextPresetQuest",1
8,"BanditRespec",1
9,"DIVIDER3",1
10,"SynthesisOptions",1
11,"MetamorphosisOptions",1
12,"BuyAzuriteItems",1
13,"ViewAncestralTrialShop",1
14,"ViewIncursionTemple",1
15,"OpenIncursionPortal",1
16,"OpenIncursionTemple",1
17,"ItemiseIncursionTemple",""
18,"OpenHeistNPCInventory",1
19,"OpenHeistNPCBlueprint",1
20,"OpenExpeditionMap",1
21,"OpenExpeditionStorage",1
22,"RightMenu",1
23,"RespecHellscapePassives",1
24,"BuyItems",1
25,"SellItems",1
26,"UnveilItems",1
27,"Crafting",1
28,"DIVIDER4",1
29,"PVP",1
30,"ArenaPVP",1
31,"DIVIDER5",1
32,"TradeDivinationCards",1
33,"CadiroOffer",1
34,"ViewPantheon",1
35,"EndlessHeistContracts",1
36,"DIVIDER6",1
37,"SelectHideout",1
38,"SelectGuildHideout",1
39,"InviteToHideout",1
40,"BuyExpeditionItems",1
41,"BuySanctumRelics",1
