"rownum","BaseItemTypesKey","HeistAreasKey","i32"
0,9526,0,45
1,9527,1,0
2,9528,2,0
3,9529,3,0
4,9548,0,0
5,9530,4,0
6,9531,5,0
7,9532,6,45
8,9533,7,0
9,9534,8,0
10,9549,1,0
11,9550,8,0
12,9551,1,0
13,9552,7,0
14,9553,3,0
15,9554,0,0
16,9555,5,0
17,9556,2,0
18,9557,2,0
19,9558,7,0
20,9559,8,0
21,9560,3,0
22,9561,0,0
23,9562,0,0
24,9563,2,0
25,9564,7,0
26,9565,4,0
27,9566,7,0
28,9567,7,0
29,9568,0,0
30,9569,1,0
31,9570,1,0
32,9571,3,0
33,9572,1,0
34,9573,7,0
35,9574,1,0
36,9575,8,0
37,9576,8,0
38,9577,2,81
39,9578,8,0
40,9579,8,0
41,9580,8,0
42,9581,8,81
