"rownum","WorldArea","CapturedVessel","QuestFlag","CapturedMonster","PanelLayout","CapturedMonsterDescription (English)","CapturedMonsterDescription (French)","CapturedMonsterDescription (German)","CapturedMonsterDescription (Japanese)","CapturedMonsterDescription (Korean)","CapturedMonsterDescription (Portuguese)","CapturedMonsterDescription (Russian)","CapturedMonsterDescription (Spanish)","CapturedMonsterDescription (Thai)","CapturedMonsterDescription (Traditional Chinese)"
0,1141,9349,1389,[1021],0,"","","","","","","","","",""
1,1208,9350,1390,[4169],0,"","","","","","","","","",""
2,1207,9351,1391,[4494],0,"","","","","","","","","",""
3,1215,9352,1392,[5798],1,"","","","","","","","","",""
4,1193,9353,1393,[2492],1,"","","","","","","","","",""
5,1243,9354,1394,[5398],1,"","","","","","","","","",""
6,1119,9355,1395,[4002],2,"A Redblade Warlord","Un Seigneur de guerre Rougelame","Ein Rotklingen-Kriegsfürst","レッドブレードの将軍","적검단 전쟁군주","Um Senhor da Guerra da Lâmina Vermelha","Предводитель Красных сабель","Un Jefe de guerra Cuchilla roja","ขุนศึกเรดเบลดผู้หนึ่ง","紅刃軍閥"
7,1148,9356,1396,[2301],2,"","","","","","","","","",""
8,1183,9357,1397,[5345],2,"","","","","","","","","",""
9,1267,9358,1398,[5307],3,"","","","","","","","","",""
10,1261,9359,1399,[8233],3,"","","","","","","","","",""
11,1127,9360,1400,[3781],3,"","","","","","","","","",""
12,1214,9361,1402,[5644],6,"","","","","","","","","",""
13,1143,9362,1405,[5678],8,"","","","","","","","","",""
14,1229,9363,1406,[5691],9,"","","","","","","","","",""
15,1165,9364,1407,[3972],10,"","","","","","","","","",""
16,1189,9365,1401,[5434],11,"","","","","","","","","",""
17,1163,9366,1404,[1449],13,"","","","","","","","","",""
18,1151,9367,1408,[2307],14,"","","","","","","","","",""
19,1161,9368,1403,[1524],15,"","","","","","","","","",""
