"rownum","Mod","Name","Visual","TextStyles","bool","bool","bool"
0,3343,"Extra Fire Damage","",[],"","",1
1,3344,"Extra Cold Damage","",[],"","",1
2,3345,"Extra Lightning Damage","",[],"","",1
3,3346,"Hasted","",[],"","",1
4,3347,"Extra Crits","",[],"","",1
5,3348,"Stuns","",[],"","",1
6,3349,"Armoured","",[],"","",1
7,3350,"Evasive","",[],"","",1
8,3351,"Extra Energy Shield","",[],"","",1
9,3352,"Always Poisons","",[],"","",1
10,3353,"Always Bleeds","",[],"","",1
11,3354,"Periodically unleashes Fire",72,[],"","",""
12,3355,"Burning Ground on Death","",[],"","",""
13,3356,"Periodically unleashes Ice",74,[],"","",""
14,3357,"Chilled Ground on Death","",[],"","",""
15,3358,"Periodically unleashes Lightning",73,[],"","",""
16,3359,"Shocked Ground on Death","",[],"","",""
17,3360,"Increased Stun Threshold","",[],"","",1
18,3361,"Stun Resistant","",[],"","",1
19,3362,"Fire Resistant","",[],"","",1
20,3363,"Cold Resistant","",[],"","",1
21,3364,"Lightning Resistant","",[],"","",1
22,3365,"Breaks Armour","",[],"","",1
23,3366,"Accurate","",[],"","",1
24,3367,"Extra Chaos Damage","",[],"","",1
25,3368,"Regenerates Life","",[],"","",1
26,3369,"Additional Projectiles","",[],"","",1
27,3370,"Increased Area of Effect","",[],"","",1
28,3371,"All Damage Ignites","",[],"","",1
29,3372,"All Damage Chills","",[],"","",1
30,3373,"All Damage Shocks","",[],"","",1
31,3374,"Trail of Fire",75,[],"","",""
32,3375,"Trail of Ice",76,[],"","",""
33,3376,"Trail of Lightning",77,[],"","",""
34,3377,"Slow Resistant","",[],"","",1
35,3383,"Crit Resistant","",[],"","",1
36,3378,"Chaos Resistant","",[],"","",1
37,3385,"Periodic Fire Explosions",68,[],"","",""
38,3386,"Periodic Cold Explosions",69,[],"","",""
39,3387,"Periodic Lightning Explosions",70,[],"","",""
40,3388,"Fire Explosion on Death","",[],"","",1
41,3389,"Cold Explosion on Death","",[],"","",1
42,3390,"Lighting Explosion on Death","",[],"","",1
43,3391,"Powerful Minions",65,[],"","",""
44,3392,"Empowered",66,[],"","",""
45,3393,"Extra Physical Damage Aura","",[],"","",""
46,3394,"Haste Aura","",[],"","",""
47,3395,"Energy Shield Aura","",[],"","",""
48,3396,"Elemental Resistance Aura","",[],"","",""
49,3397,"Temporal Bubble","",[],"","",""
50,3398,"Hinder Aura","",[],"","",""
51,3399,"Prevents Recovery Above 50%","",[],"","",""
52,3400,"Periodic Invulnerability Aura",71,[],"","",""
53,3401,"Siphons Mana and Deals Lightning Damage",67,[],"","",""
54,3402,"Heals Allies and Suppresses Foe Recovery",78,[],"","",""
55,3403,"Siphons Flask Charges",79,[],"","",""
56,3404,"Revives Minions",80,[],"","",""
57,3406,"Damage Taken From Minions First",81,[],"","",""
58,3407,"",82,[],"","",1
59,3408,"Shroud Walker",83,[],"","",1
60,3409,"Periodically Enrages",27,[],"","",""
61,3410,"Explodes Nearby Corpses",84,[],"","",""
62,3411,"Lightning Mirages When Hit","",[],"","",""
63,3412,"Magma Barrier",85,[],"","",""
64,3413,"Fires Mortars",86,[],"","",""
65,3414,"Conjures Ice Prisons",87,[],"","",""
66,3415,"Conjures Flamewalls",88,[],"","",""
67,3416,"Conjures Lightning Storms",89,[],"","",""
68,3417,"Volatile Crystals",90,[],"","",""
69,3418,"Volatile Plants",91,[],"","",""
70,3419,"Volatile Crag","",[],"","",""
71,3420,"Proximal Tangibility","",[],"","",1
72,3421,"Bombardier","",[],"","",""
73,3422,"Soul Eater","",[],"","",""
