"rownum","ModsKey","AtlasModTiers"
0,8730,2
1,8731,2
2,8732,3
3,8733,2
4,8734,3
5,8735,2
6,8736,3
7,8737,2
8,8738,3
9,8739,2
10,8740,2
11,8741,3
12,8742,2
13,8743,3
14,8744,2
15,8745,3
16,8746,2
17,8747,3
18,8748,2
19,8749,3
20,8750,2
21,8751,3
22,8752,2
23,8753,2
24,8754,2
25,8755,2
26,8756,3
27,8757,2
28,8758,3
29,8759,2
30,8760,3
31,8761,2
32,8762,3
33,8763,2
34,8764,3
35,8765,2
36,8766,3
37,8767,2
38,8768,3
39,8769,2
40,8770,2
41,8771,3
42,8772,2
43,8773,3
44,8774,2
45,8775,3
46,8776,2
47,8777,3
48,8778,2
49,8779,3
50,8780,2
51,8781,3
52,8782,2
53,8783,3
54,8784,2
55,8785,3
56,8786,2
57,8787,3
58,8788,2
59,8789,3
60,8790,2
61,8791,3
62,8792,2
63,8793,3
64,8794,2
65,8795,3
66,8796,2
67,8797,3
68,8798,2
69,8799,3
70,8800,2
71,8801,3
72,8802,2
73,8803,3
74,8804,2
75,8805,3
76,8806,2
77,8807,3
78,8808,2
79,8809,3
80,8810,2
81,8811,3
82,8812,2
83,8813,3
84,8814,2
85,8815,3
86,8816,2
87,8817,3
88,8818,2
89,8819,3
90,8820,2
91,8821,3
92,8822,2
93,8823,3
94,8824,2
95,8825,3
96,8826,2
97,8827,3
98,8828,2
99,8829,3
100,8830,2
101,8831,2
102,8832,2
103,8833,3
104,8834,3
105,8835,3
106,8836,2
107,8837,3
108,8838,2
109,8839,3
110,10438,2
111,10439,3
112,10449,2
113,10450,3
114,10453,2
115,10454,3
116,10455,2
117,10456,3
118,10457,2
119,10458,2
120,10459,2
121,10460,3
122,10461,2
123,10462,3
124,10463,2
125,10464,2
126,10465,3
127,10468,2
128,10469,3
129,10553,2
130,10554,3
131,10678,2
132,10679,3
133,10588,2
134,10589,3
135,10627,2
136,10628,3
137,10804,2
138,10805,3
139,10800,2
140,10801,3
141,11729,2
142,11730,3
