"rownum","Id","i32_8","i32_12","bool_16","i32_17","i32_21","i32_25","i32_29","i32_33","u16_37","bool_39"
0,"None",0,0,"",1677721600,0,0,335544320,0,0,""
1,"Act2Default",0,0,"",1677721600,0,0,771751936,0,0,""
2,"Act3Default",0,0,"",1677721600,0,0,1207959552,0,0,""
3,"Act4Default",0,0,"",1677721600,0,0,1644167168,0,0,""
4,"Act5EarlyDefault",0,0,"",1677721600,0,0,-2046820352,0,0,""
5,"Act5LateDefault",4,0,"",1610612736,16777216,0,-1476395008,0,0,""
6,"Act6Default",8,0,"",1543503872,33554432,0,-771751936,0,0,""
7,"Act7Default",8,0,"",1543503872,33554432,0,201326592,1,0,""
8,"Act8Default",8,0,"",1543503872,33554432,0,1174405120,1,0,""
9,"Act9Default",8,0,"",1543503872,33554432,0,-2147483648,1,0,""
10,"Act10Default",8,0,"",1543503872,33554432,0,-1140850688,1,0,""
11,"Map",30,4,1,1090519040,67108864,0,-436207616,1,0,""
