"rownum","BaseItemType","HASH32","i32_20","i32_24","[rid]_28","i32_44","MonsterMod","bool_64","CraftTag","UpgradeResult","Tier","Stats","CraftedMod","ItemClasses","i32_141"
0,57,606369470,1,100,[4103],300,4095,"",316,12,0,22057,"",[],0
1,58,1860412592,1,100,[4103],300,4096,"",323,13,0,22058,"",[],0
2,59,3614522244,1,100,[4103],300,4097,"",317,14,0,22059,"",[],0
3,60,371926669,1,100,[4103],150,4098,"",313,15,0,22060,"",[],0
4,61,2825035247,1,100,[4103],180,4091,"",309,16,0,22061,"",[],0
5,62,558387611,1,100,[4103],180,4092,"",310,17,0,22062,"",[],0
6,63,4217435183,1,100,[4103],180,4093,"",311,18,0,22063,"",[],0
7,64,3288707393,1,100,[4103],90,4099,"",312,19,0,22064,"",[],0
8,65,3519825351,1,100,[4103],120,4100,"",319,20,0,22065,"",[],0
9,66,2208274413,1,100,[4103],120,4101,"",34,21,0,22066,"",[],0
10,67,1505875072,1,100,[4103],60,4094,"",324,22,0,22067,"",[],0
11,68,2438800725,1,100,[4103],240,4102,"",581,23,0,22068,"",[],0
12,69,3073452723,1,100,[4116],10,4108,"",316,"",1,22057,"",[],0
13,70,394938549,1,100,[4116],10,4109,"",323,"",1,22058,"",[],0
14,71,2074231179,1,100,[4116],10,4110,"",317,"",1,22059,"",[],0
15,72,577438355,1,100,[4116],5,4111,"",313,"",1,22060,"",[],0
16,73,4172909234,1,100,[4116],6,4104,"",309,"",1,22061,"",[],0
17,74,3587074643,1,100,[4116],6,4105,"",310,"",1,22062,"",[],0
18,75,1764598813,1,100,[4116],6,4106,"",311,"",1,22063,"",[],0
19,76,3691047882,1,100,[4116],3,4112,"",312,"",1,22064,"",[],0
20,77,122023020,1,100,[4116],4,4113,"",319,"",1,22065,"",[],0
21,78,3406251003,1,100,[4116],4,4114,"",34,"",1,22066,"",[],0
22,79,890988114,1,100,[4116],2,4107,"",324,"",1,22067,"",[],0
23,80,1170564337,1,100,[4116],8,4115,"",581,"",1,22068,"",[],0
24,81,1148714083,1,100,[4122],0,4117,"",1128,"",2,"","","[25,5,4]",0
25,82,3401098377,1,100,[4122],0,4118,"","","",2,"",3916,[24],1
26,83,1764541432,1,100,[4122],0,4119,"","","",2,"",3914,"[22,23]",0
27,84,194206808,1,100,[4122],0,4120,"","","",2,"",3915,[21],0
