"rownum","rid_0","string_16","string_24","string_32","string_40"
0,0,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMarauderNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMarauderNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMarauderSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMarauderSelectedHover.dds"
1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWitchNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWitchNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWitchSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWitchHover.dds"
2,2,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonRangerNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonRangerNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonRangerSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonRangerSelectedHover.dds"
3,3,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDuelistNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDuelistNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDuelistSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDuelistSelectedHover.dds"
4,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonShadowNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonShadowNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonShadowSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonShadowSelectedHover.dds"
5,5,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonTemplarNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonTemplarNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonTemplarSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonTemplarSelectedHover.dds"
6,6,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWarriorNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWarriorNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWarriorSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWarriorSelectedHover.dds"
7,7,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonSorceressNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonSorceressNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonSorceressSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonSorceressSelectedHover.dds"
8,8,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonHuntressNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonHuntressNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonHuntressSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonHuntressSelectedHover.dds"
9,9,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMercenaryNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMercenaryNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMercenarySelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMercenarySelectedHover.dds"
10,10,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMonkNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMonkNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMonkSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMonkSelectedHover.dds"
11,11,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDruidNormal.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDruidNormalHover.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDruidSelected.dds","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDruidSelectedHover.dds"
