"rownum","Id","[rid]_8","[i32]_24","[i32]_40","[i32]_56","Variants","[rid]_88","[i32]_104","[rid]_120","rid_136","[i32]_152","[rid]_168","[i32]_184","[string]_200","i32_216","[rid]_220","[rid]_236"
0,"global_auras",[2384],[],[],[],"[""Default"",""Archon"",""Imp"",""Carnage"",""Trinity"",""SoulNexus"",""ForceField"",""ArcticSkull"",""LightningSkull"",""InfernalSkull"",""Corsair"",""Betrayal"",""Mystic"",""Lava"",""Stygian"",""Celestial"",""Celestial_Tencent1"",""Celestial_Tencent2"",""Celestial_Tencent3"",""Huntsman"",""Madcap"",""Plated"",""Dragon"",""DragonBlue"",""Illusionist"",""Legion"",""Wrangler"",""Wild"",""Lich"",""Harlequin"",""CorruptedEmperor"",""Ringmaster"",""Black"",""White"",""Dragon_Hunter"",""Balefire"",""Dark_Magic"",""Scientist"",""Project"",""Angelic"",""Demonic"",""FrostViking"",""Sunrise"",""Nightfall"",""Darkwood"",""EthercraftSavage"",""EthercraftEnraged"",""EthercraftTranquil"",""EthercraftChaotic"",""DualDragon"",""Misery"",""Suffering"",""Sun"",""Lightbringer"",""Darkshard"",""Merchant"",""Scavenger"",""Overseer"",""Siren"",""Deepwater""]",[0],"[18079,842,14646,60842,33608,37998,19034,44108,43340,36671,51220,44880,45462,43749,39541,27572,46439,46436,46437,10526,59045,33232,25624,63772,54759,24373,13661,28806,56631,15800,7859,25284,25619,15971,13085,23387,50237,64816,55295,36925,61278,36735,53117,57192,12926,65156,54226,1322,49284,27394,32478,2790,34292,55723,35955,40677,46158,5427,42935,57983]",[],339,[],[],[],[],1000,[],[]
1,"anger",[0],[],[],[],"[""Default"",""Alternate"",""Talisman"",""Ground""]",[73],"[18079,25075,50744,62389]",[],339,[],[103],[],[],1000,[],[]
2,"hatred",[1],[],[],[],"[""Default"",""Alternate"",""Talisman"",""SmallTalisman"",""Ground""]",[77],"[18079,25075,50744,23449,62389]",[],339,[],"[104,105]",[],[],1000,[],[]
3,"wrath",[3],[],[],[],"[""Default"",""Alternate"",""Talisman"",""Ground""]",[82],"[18079,25075,50744,62389]",[],339,[],"[106,375]",[],[],1000,[],[]
4,"haste",[4],[],[],[],"[""Default"",""Alternate"",""Wandering""]",[86],"[18079,25075,11702]",[],339,[],"[96,374]",[],[],1000,[],[]
5,"default_ranged",[],[],[],[],[],[],[],[0],4657,[],"[42,43,555,556,557,558,562,563,564,565,648,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,755,757,900,754]",[],[],1000,[],[]
6,"steelskin",[5],[],"[0,0]",[],"[""Default"",""Maven"",""Stygian""]",[89],"[18079,1353,39541]",[],339,[],"[402,472]",[],[],1000,[],[]
7,"cremation","[8,16,24]",[],[],[],"[""Default"",""Elder"",""Abyss"",""Gore"",""Quicksilver"",""Darkwood"",""VaalOrb"",""VoidEmperor""]",[],"[18079,18332,37812,63064,7534,12926,3918,48015]",[42],339,[],"[309,310]",[],[],1000,[],[]
8,"consecrated_path","[32,37,42]",[],[],[],"[""Default"",""Elreon"",""Stygian"",""Celestial""]",[],"[18079,49177,39541,27572]",[],339,[],[353],[],[],1000,[],[]
9,"consecrated_path_ancestral","[47,50,53]",[],[],[],"[""Default"",""Elreon"",""Stygian"",""Celestial""]",[],"[18079,49177,39541,27572]",[],339,[],[353],[],[],1000,[],[]
10,"divine_cry",[56],[0],"[6,0]",[],"[""Default"",""UNUSED"",""Celestial"",""Wolf""]",[421],"[18079,64124,27572,45252]",[],339,[],[487],[],[],1000,[],[]
11,"ignite",[],[],[],[],"[""Default"",""White"",""Ghostfire"",""Blue"",""Stygian"",""Corsair"",""Blackflame"",""Holy"",""Empyrean"",""PolarisWhite"",""PolarisBlack"",""Glimmerwood"",""Demonic"",""Nightfall"",""BlackflameUnique"",""StygianHoly"",""Celestial"",""CelestialConsecratedPath"",""VoidEmperor"",""Mystic"",""MeteorShower"",""Oblivion"",""LegacyOfFury"",""Demonic""]",[92],"[18079,15971,49596,52194,39541,51220,37683,27667,17735,41774,36530,61967,61278,57192,20329,739,27572,56350,48015,45462,64137,116,35014,61278]",[],12726,[],[],[],[],1000,[],[]
12,"scorch",[],[],[],[],"[""Default"",""Demonic""]",[126],"[18079,61278]",[],16316,[],[],[],[],1000,[],[]
13,"shock",[],[],[],[],"[""Default"",""Purple"",""Divine"",""Red"",""Empyrean"",""Green"",""Stygian"",""Celestial"",""CelestialTempest"",""Void"",""Divine"",""VoidAlternate"",""VoidEmperor"",""AutomatonLightningTendrils"",""VoidForge"",""StarForge""]",[128],"[18079,19343,29263,16806,17735,15240,39541,27572,247,9203,29263,22003,48015,27259,17279,65211]",[],15737,[],[],[],[],1000,[],[]
14,"sap",[],[],[],[],"[""Default"",""Void""]",[153],"[18079,9203]",[],16318,[],[],[],[],1000,[],[]
15,"chill",[],[],[],[],"[""Default"",""Myrmidon"",""HyrrisIre"",""VoidEmperor"",""Crystalline""]",[155],"[18079,27566,54248,48015,45820]",[],15858,[],[],[],[],1000,[],[]
16,"freeze",[],[],[],[],"[""Default"",""Myrmidon"",""VoidEmperor"",""Crystalline""]",[161],"[18079,27566,48015,45820]",[],15859,[],[],[],[],1000,[],[]
17,"brittle",[],[],[],[],"[""Default"",""Crystalline""]",[168],"[18079,45820]",[],16317,[],[],[],[],1000,[],[]
18,"poison",[],[],[],[],"[""Default"",""Demonic"",""BlackTar"",""Illusionist"",""Oblivion""]",[170],"[18079,61278,21233,54759,116,26742]",[],15860,[],[],[],"[""MeleeSpider""]",100,[],[]
19,"bleed",[],[],[],[],"[""Default"",""Purple"",""Stygian"",""Voodoo""]",[181],"[18079,19343,39541,37825]",[],15861,[],[],[],[],1000,[],[]
20,"exposure",[],[],[],[],"[""Default"",""Stygian"",""Celestial""]","[187,186,188]","[18079,39541,27572]",[],13539,[],[],[],[],1000,[],[]
21,"soulfeast","[69,70]",[],[],[],"[""Default""]",[],[18079],"[50,52]",339,[],[490],[],[],1000,[],[]
22,"mana_void","[73,74,75,76,77,78,79,80,81,82,83]",[],[],[],"[""Default""]",[],[18079],[],339,[],[491],[],[],1000,[],[]
23,"storm_rain","[84,85,86]",[3],[],[0],"[""Default""]",[],[18079],[],339,[],[492],[],[],1000,[],[]
24,"igniting_flask","[2549,2550,2551,2552,2553,2546,2545,2547,2544,2548]",[],"[401,0,0,0,402]",[],"[""Default""]",[452],[18079],[58],339,[],"[498,820,821,822,823,824]",[],[],1000,[],[]
25,"igniting_flask_wall","[87,89,90,92,93]",[],[],[],"[""Default""]",[],[18079],[],339,[],"[498,820,821,822,823,824]",[],[],1000,[],[]
26,"igniting_flask_lite","[87,94,96,97,99]",[],[],[],"[""Default""]",[],[18079],[],339,[],"[498,820,821,822,823,824]",[],[],1000,[],[]
27,"igniting_flask_wall_lite","[87,95,96,98,99]",[],[],[],"[""Default""]",[],[18079],[],339,[],"[498,820,821,822,823,824]",[],[],1000,[],[]
28,"infernal_blow","[100,101]",[],[],[],"[""Default"",""Stygian""]","[201,203,205]","[18079,39541]",[],339,[],[57],[],[],1000,[],[]
29,"smoke_mine",[104],[],[],[],"[""Default"",""Stygian""]",[],"[18079,39541,41304]",[],339,[],[137],[],"[""Shroudwalker""]",1000,[],[]
30,"chain_hook","[108,110,112,114]",[4],"[12,0]",[],"[""Default"",""Stygian""]",[],"[18079,39541]",[],339,[],[407],[],[],1000,[],[]
31,"arcane_cloak",[116],[],"[16,0]",[],"[""Default"",""VoidEmperor""]",[207],"[18079,48015]",[],339,[],[431],[],[],1000,[],[]
32,"orb_of_storms","[2247,118,122,126,2253]",[6],[290],[],"[""Default"",""Celestial"",""Demonic""]",[],"[18079,27572,61278,55408]",[],339,[],[220],[],"[""Scientist1""]",1000,[],[]
33,"spark",[2294],[],[],[],"[""Default"",""SkeletonSpark"",""SpiderSpark"",""AvariusSpark"",""FireSpider"",""Sand"",""LightningElder"",""BestiaryCocoon"",""VaalIncursion"",""IncursionPipe"",""VaalIncursionEpic"",""DelveDweller"",""BetrayalCatarinaSpark"",""LegionMarakethSpark"",""LegionMarakethTornadoSpark"",""AtlasEyrie"",""HarvestHellion"",""Automaton"",""Celestial"",""Void""]",[],"[18079,63244,63286,26477,55029,25598,37016,62017,45534,10364,56855,15938,15102,32275,4271,13264,58149,3488,27572,9203,62305,33602,32874,17346,1975,59753,62896,63252,53877]","[59,97]",339,[],"[51,331,53,54,52]",[],"[""VaalArchivistSpark"",""VaalZealotSpark"",""AnchoriteInvisible"",""Scientist1Spark"",""ViperNapuatziSpark"",""VaalZealotSparkDescend"",""ChaosGodOwlBossSparknado"",""TormentedSpiritMiniSparknado"",""TormentedSpiritPossesedSparknado""]",1000,[],[]
34,"spark_monster",[],[],[],[],"[""BookTornado"",""FireTornado"",""AfflicationFlamenado""]",[],"[42246,34282,41848,45198,30018]",[88],800,[],"[51,331,53,54]",[],"[""SkelemancerBonenado"",""SnakeSpark""]",1000,[],[]
35,"dual_strike","[130,132,135,136]",[],[],[],"[""Default"",""NoImpact"",""Nightfall""]",[],"[18079,32633,57192]",[],339,[],[18],[],[],1000,[],[]
36,"weapon_trap","[137,138,139,140]",[],[22],[],"[""Default""]",[],[18079],[],339,[],[489],[],[],1000,[],[]
37,"shield_waves","[141,142]",[],[],[],"[""Default""]",[],[18079],[],339,[],[493],[],[],1000,[],[]
38,"exsanguinate",[],"[10,0]",[],[],"[""Default"",""Celestial"",""Mercurial""]",[209],"[18079,27572,25270,31610]",[],339,[],[473],[],"[""BloodMage""]",1000,[],[]
39,"void_burst","[143,144,145]",[],[],[],"[""Default""]",[213],[18079],[],339,[],[485],[],[],1000,[],[]
40,"bladefall","[146,152,158]",[],[],[],"[""Default"",""Gold"",""Demonic"",""Acid"",""Chrome"",""Sawblade"",""Illusionist"",""VoidEmperor""]",[],"[18079,38699,61278,16802,55413,28838,54759,48015]",[],339,[],"[215,216]",[],[],1000,[],[]
41,"rage_slash","[174,176]",[],[25],[],"[""Default"",""Starfall""]",[],"[18079,3450]",[],339,[],[486],[],[],1000,[],[]
42,"ambush",[217],[],"[23,0]",[],"[""Default""]",[214],[18079],[],339,[],[488],[],[],1000,[],[]
