"rownum","BaseItemType","StatsMartialWeapon","StatsValuesMartialWeapon","StatsArmour","StatsValuesArmour","Rank","StatsCasterWeapon","StatsValuesCasterWeapon"
0,514,"[47,48]","[4,6]",[138],[10],0,[18106],[8]
1,504,"[47,48]","[7,11]",[138],[12],15,[18106],[10]
2,524,"[47,48]","[13,16]",[138],[14],30,[18106],[12]
3,515,"[54,55]","[3,5]",[140],[10],0,[18107],[8]
4,505,"[54,55]","[6,10]",[140],[12],15,[18107],[10]
5,525,"[54,55]","[9,15]",[140],[14],30,[18107],[12]
6,516,"[61,62]","[1,10]",[142],[10],0,[18108],[8]
7,506,"[61,62]","[1,20]",[142],[12],15,[18108],[10]
8,526,"[61,62]","[1,30]",[142],[14],30,[18108],[12]
9,517,[27],[15],[756],[15],0,[25],[20]
10,507,[27],[20],[756],[20],15,[25],[25]
11,527,[27],[25],[756],[25],30,[25],[30]
12,518,[3012],[200],[117],[20],0,[127],[25]
13,508,[3012],[250],[117],[30],15,[127],[30]
14,528,[3012],[300],[117],[40],30,[127],[35]
15,519,[3015],[150],[121],[15],0,[121],[25]
16,509,[3015],[200],[121],[25],15,[121],[30]
17,529,[3015],[250],[121],[35],30,[121],[35]
18,520,[99],[10],[439],[15],0,[132],[12]
19,510,[99],[20],[439],[18],15,[132],[15]
20,530,[99],[30],[439],[21],30,[132],[18]
21,521,[101],[8],[124],[12],0,[124],[16]
22,511,[101],[16],[124],[15],15,[124],[20]
23,531,[101],[24],[124],[18],30,[124],[24]
24,522,[18767],[20],[18752],[30],0,[19348],[10]
25,512,[18767],[25],[18752],[40],15,[19348],[12]
26,532,[18767],[30],[18752],[50],30,[19348],[14]
27,523,[560],[50],[10809],[8],0,[545],[16]
28,513,[560],[80],[10809],[10],15,[545],[20]
29,533,[560],[110],[10809],[12],30,[545],[24]
30,550,[5152],[15],[144],[7],0,[],[]
31,551,[2763],[15],[20261],[10],0,[],[]
32,552,[3209],[2],[118],[2],0,[],[]
33,553,[6006],[2],[122],[2],0,[],[]
34,554,[5732],[30],[135],[5],0,[],[]
35,555,[18228],[30],[947],[1],0,[],[]
36,556,[18417],[20],[948],[1],0,[],[]
37,557,[18229],[30],[949],[1],0,[],[]
38,558,[19713],[15],[20035],[5],0,[],[]
39,559,[3972],[15],[9985],[15],0,[],[]
40,560,[71],[5],[18672],[-10],0,[],[]
41,561,[386],[12],[97],[10],0,[],[]
42,562,[20823],[20],[20823],[20],0,[],[]
43,563,[20824],[20],[20824],[20],0,[],[]
44,564,[20825],[20],[20825],[20],0,[],[]
45,546,[22132],[10],[22130],[10],0,[],[]
46,547,[19427],[10],"[20395,20396]","[1,10]",0,[],[]
47,548,[20268],[8],[6008],[8],0,[],[]
48,549,[22133],[10],[3463],[-10],0,[],[]
49,534,[563],[6],[563],[6],0,[],[]
50,535,[563],[8],[563],[8],15,[],[]
51,536,[563],[10],[563],[10],30,[],[]
52,537,[569],[5],[569],[6],0,[],[]
53,538,[569],[8],[569],[8],15,[],[]
54,539,[569],[10],[569],[10],30,[],[]
55,540,[566],[6],[566],[6],0,[],[]
56,541,[566],[8],[566],[8],15,[],[]
57,542,[566],[10],[566],[10],30,[],[]
58,543,"[32,33]","[3,4]","[20389,20390]","[6,9]",0,[],[]
59,544,"[32,33]","[6,9]","[20389,20390]","[14,21]",15,[],[]
60,545,"[32,33]","[9,12]","[20389,20390]","[31,52]",30,[],[]
61,565,[],[],[],[],0,[],[]
62,566,[],[],[],[],0,[],[]
63,567,[],[],[],[],0,[],[]
64,568,[],[],[],[],0,[],[]
65,569,[],[],[],[],0,[],[]
66,570,[],[],[],[],0,[],[]
67,571,[],[],[],[],0,[],[]
68,572,[],[],[],[],0,[],[]
69,573,[],[],[],[],0,[],[]
70,574,[],[],[],[],0,[],[]
71,575,[],[],[],[],0,[],[]
