"rownum","Id","[rid]","[i32]","rid","rid","i32","bool","i32","bool"
0,"CultistSpiritWeapon",[16071],[1],179,40,1,1,16777216,""
1,"MercenarySpiritWeapon",[16072],[1],180,40,1,1,16777216,""
2,"PyromaniacSpiritWeapon",[16073],[1],181,40,1,1,16777216,""
3,"TemplarZealotSpiritWeapon",[16074],[1],182,40,1,1,16777216,""
4,"PredatoryFarrulsFurApparition",[16139],[1],183,0,3,1,16777216,""
5,"OshabisHeaddressStrApparition",[16147],[1],184,3,3,1,16777216,""
6,"OshabisHeaddressDexApparition",[16148],[1],185,3,3,1,16777216,""
7,"OshabisHeaddressIntApparition",[16149],[1],186,3,3,1,16777216,""
8,"HateforgeAtziriApparition",[16661],[1],194,4,2,1,0,""
9,"VentorsGambleBoxCars",[16716],[1],195,3,2,1,16777216,1
10,"VentorsGambleSnakeEyes",[16716],[1],196,3,2,1,16777216,1
