"rownum","Id","bool","DoubleLine","HeaderSingle","HeaderDouble","HardmodeHeaderSingle","HardmodeHeaderDouble","Color","Separator","bool","Rarity","DisplayString","ColorMarkup"
0,"Normal",1,"","ItemsHeaderWhite","ItemsHeaderWhite","HardmodeItemsHeaderWhite","HardmodeItemsHeaderWhite","[200,200,200]","Art/2DArt/UIImages/InGame/ItemsSeparatorWhite","",0,2156,"<rgb(200,200,200)>{"
1,"Magic",1,"","ItemsHeaderMagic","ItemsHeaderMagic","HardmodeItemsHeaderMagic","HardmodeItemsHeaderMagic","[123,151,255]","Art/2DArt/UIImages/InGame/ItemsSeparatorMagic","",1,2151,"<rgb(123,151,255)>{"
2,"Rare",1,1,"ItemsHeaderRareSingleLine","ItemsHeaderRare","HardmodeItemsHeaderRareSingleLine","HardmodeItemsHeaderRare","[255,225,87]","Art/2DArt/UIImages/InGame/ItemsSeparatorRare","",2,2152,"<rgb(255,225,87)>{"
3,"Unique",1,1,"ItemsHeaderUniqueSingleLine","ItemsHeaderUnique","HardmodeItemsHeaderUniqueSingleLine","HardmodeItemsHeaderUnique","[241,107,34]","Art/2DArt/UIImages/InGame/ItemsSeparatorUnique","",3,2153,"<rgb(241,107,34)>{"
4,"Gem",1,"","ItemsHeaderGem","ItemsHeaderGem","HardmodeItemsHeaderGem","HardmodeItemsHeaderGem","[27,162,155]","Art/2DArt/UIImages/InGame/ItemsSeparatorGem","","",2154,"<rgb(27,162,155)>{"
5,"Currency",1,"","ItemsHeaderCurrency","ItemsHeaderCurrency","HardmodeItemsHeaderCurrency","HardmodeItemsHeaderCurrency","[170,158,130]","Art/2DArt/UIImages/InGame/ItemsSeparatorCurrency","","",2155,"<rgb(170,158,130)>{"
6,"DivinationCard","","","ItemsHeaderDivinationCardFrame","ItemsHeaderDivinationCardFrame","ItemsHeaderDivinationCardFrame","ItemsHeaderDivinationCardFrame","[14,186,255]","Art/2DArt/UIImages/InGame/ItemsSeparatorDivinationCardFrame","","",2371,"<rgb(14,186,255)>{"
7,"Quest","","","ItemsHeaderQuest","ItemsHeaderQuest","ItemsHeaderQuest","ItemsHeaderQuest","[74,230,58]","Art/2DArt/UIImages/InGame/ItemsSeparatorQuest","","",6809,"<rgb(74,230,58)>{"
8,"Prophecy","","","ItemsHeaderProphecy","ItemsHeaderProphecy","ItemsHeaderProphecy","ItemsHeaderProphecy","[181,75,255]","Art/2DArt/UIImages/InGame/ItemsSeparatorProphecy","","","","<rgb(181,75,255)>{"
9,"Foil",1,1,"ItemsHeaderFoilSingleLine","ItemsHeaderFoil","HardmodeItemsHeaderFoilSingleLine","HardmodeItemsHeaderFoil","[130,173,106]","Art/2DArt/UIImages/InGame/ItemsSeparatorFoil",1,"",2153,"<rgb(130,173,106)>{"
10,"SupporterFoil",1,1,"ItemsHeaderSupporterFoilSingleLine","ItemsHeaderSupporterFoil","HardmodeItemsHeaderSupporterFoilSingleLine","HardmodeItemsHeaderSupporterFoil","[255,255,255]","Art/2DArt/UIImages/InGame/ItemsSeparatorSupporterFoil",1,"",2153,"<rgb(255,255,255)>{"
