"rownum","rid","rid","[i32]","string"
0,0,0,[1457],""
1,1,0,[1458],""
2,2,0,[1456],""
3,4,0,[1483],""
4,3,0,[1459],""
5,5,0,[1460],""
6,6,0,[1461],""
7,7,0,[1480],""
8,8,0,[1479],""
9,9,0,[1481],""
10,10,0,[1462],""
11,11,0,[1463],""
12,12,0,[1464],""
13,13,0,[1465],""
14,14,0,[1466],""
15,15,0,[1467],""
16,16,0,[1468],""
17,17,0,[1469],""
18,18,0,[1470],""
19,19,0,[1471],""
20,20,0,[1472],""
21,21,0,[1473],""
22,22,0,[1474],""
23,23,0,[1475],""
24,24,0,[1476],""
25,25,0,[1477],""
26,26,0,[1478],""
27,27,0,[1482],""
28,4,1,[2540],""
29,19,1,[2546],""
30,1,1,[2547],""
31,24,1,[2548],""
32,3,1,[2549],""
33,27,1,[2550],""
34,2,1,[2551],""
35,0,1,[2552],""
36,6,1,[2553],""
37,4,2,[7242],""
38,24,2,[7251],""
39,27,2,[7255],""
40,0,2,[7258],""
41,1,2,[7250],""
42,3,2,[7252],""
43,2,2,[7256],""
44,6,2,[7254],""
45,4,3,[8077],""
46,1,3,[8083],""
47,24,3,[8084],""
48,3,3,[8085],""
49,27,3,[8087],""
50,2,3,[8088],""
51,0,3,[8089],""
52,6,3,[8086],""
53,4,4,[8429],""
54,0,4,[8441],""
55,1,4,[8435],""
56,3,4,[8437],""
57,2,4,[8440],""
58,7,4,[8438],""
59,24,4,[8436],""
60,27,4,[8439],""
61,4,5,[9135],""
62,1,5,[9138],""
63,3,5,[9140],""
64,5,5,[9141],""
65,6,5,[9146],""
66,27,5,[9142],""
67,23,5,[9139],""
68,2,5,[9144],""
69,0,5,[9145],""
70,28,5,[9143],""
71,29,5,[9143],""
