"rownum","MonsterVarietiesKey","rid","rid","rid","rid","rid","rid","rid","rid","[i32]","rid","rid","rid","rid","rid"
0,1757,"","","","","","","","",[1],9,"","","",""
1,1758,"","","","","","","","",[1],9,"","","",""
2,1759,"","","","","","","","",[2],12,"","","",""
3,1760,"","","","","","","","",[2],12,"","","",""
4,1763,"","","","","","","","",[3],10,"","","",""
5,1764,"","","","","","","","",[3],10,"","","",""
6,1765,"","","","","","","","",[3],11,"","","",""
7,1766,"","","","","","","","",[3],11,"","","",""
8,1768,"","","","","","","","","[1,2]",17,"","","",""
9,1769,"","","","","","","","","[1,2]",17,"","","",""
10,1772,"","","","","","","","","[2,3]",19,"","","",""
11,1773,"","","","","","","","","[2,3]",19,"","","",""
