"rownum","BaseItemType","StrengthRequirementPercent","DexterityRequirementPercent","IntelligenceRequirementPercent","VaalVariant_BaseItemType","IsVaalVariant","MinionGlobalSkillLevelStat","GemType","bool_65","bool_66","Awakened","GemColour","MinLevelReq","ItemExperienceType","CraftingTypes","MtxSlotTypes","bool_139","GemEffects","bool_156","TutorialVideo","UI_Image","i32_173","CraftingLevel","bool_181","i32_182","bool_186","[rid]_187"
0,384,0,0,100,"","","",0,1,1,"",3,1,0,[7],[0],"",[1],"","Art/Videos/SkillTutorials/IceNova.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageIceNova.dds",1,1,"",2,"",[]
1,385,100,0,0,"","","",0,1,1,"",1,23,0,[6],[0],"",[2],"","Art/Videos/SkillTutorials/LeapSlam.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLeapSlam.dds",0,7,"",2,"",[]
2,386,100,0,0,"","","",0,1,1,"",1,7,0,[6],[0],"",[3],"","Art/Videos/SkillTutorials/ShieldCharge.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageShieldCharge.dds",3,3,"",2,"",[]
3,388,0,0,100,"","","",0,1,1,"",3,23,0,[1],[0],"",[4],"","Art/Videos/SkillTutorials/DetonateDead.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageDetonateDead.dds",0,7,"",2,"",[]
4,389,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[5],"","","",0,0,"",2,"",[]
5,2972,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[6],"","","",0,1,"",0,"",[0]
6,3023,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[7],"","","",0,1,"",0,"",[1]
7,2993,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[8],"","","",0,1,"",0,"",[1]
8,2998,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[9],"","","",0,1,"",0,"","[1,2,3]"
9,3077,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[10],"","","",0,1,"",0,"",[4]
10,3024,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[11],"","","",0,2,"",0,"","[1,2,3]"
11,3048,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[12],"","","",0,1,"",0,"","[4,2,3]"
12,3020,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[13],"","","",0,1,"",0,"",[1]
13,387,0,0,100,"","",9632,0,1,1,"",3,15,0,[1],[0],"",[14],"","Art/Videos/SkillTutorials/RaiseZombie.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageRaiseZombie.dds",0,5,"",2,"",[]
14,2973,100,0,0,"","","",1,1,1,"",1,1,17,[6],[0],"",[15],"","","",0,1,"",0,"",[0]
15,3086,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[16],"","","",0,3,"",0,"",[4]
16,2947,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[17],"","","",0,2,"",0,"",[0]
17,2965,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[18],"","","",0,2,"",0,"",[0]
18,3068,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[19],"","","",0,2,"",0,"",[4]
19,3088,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[20],"","","",0,3,"",0,"","[4,2,3]"
20,390,0,50,50,"","","",0,1,1,"",4,53,0,[10],[0],"",[21],"","Art/Videos/SkillTutorials/FlickerStrike.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFlickerStrike.dds",0,13,"",2,"",[]
21,391,0,0,100,"","","",0,1,1,"",3,1,0,[7],[0],"",[22],"","Art/Videos/SkillTutorials/Spark.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSpark.dds",3,1,"",2,"",[]
22,2992,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[24],"","","",0,1,"",0,"",[1]
23,392,0,0,100,"","",9631,0,1,1,"",3,23,0,[],[0],"",[25],"","","",0,0,"",2,"",[]
24,393,0,0,100,"","","",0,1,1,"",3,32,0,[7],[0],"",[26],"","Art/Videos/SkillTutorials/FrostWall.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFrostWall.dds",1,9,"",2,"",[]
25,394,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[27],"","","",0,0,"",2,"",[]
26,2964,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[28],"","","",0,2,"",0,"",[0]
27,3078,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[29],"","","",0,1,"",0,"",[4]
28,395,0,0,100,"","",22164,0,1,1,"",3,53,0,[7],[0],"",[30],"","Art/Videos/SkillTutorials/TemporalChains.bk2","",3,13,"",2,"",[]
29,396,0,0,100,"","",22163,0,1,1,"",3,7,0,[1],[0],"",[31],"","Art/Videos/SkillTutorials/Enfeeble.bk2","",0,3,"",2,"",[]
