"rownum","string_0","rid_8","rid_24","i32_40","rid_44"
0,"0",514,504,238,""
1,"1",504,524,238,""
2,"2",515,505,238,""
3,"3",505,525,238,""
4,"4",516,506,238,""
5,"5",506,526,238,""
6,"6",517,507,238,""
7,"7",507,527,238,""
8,"8",518,508,238,""
9,"9",508,528,238,""
10,"107",519,509,238,""
11,"106",509,529,238,""
12,"105",520,510,238,""
13,"104",510,530,238,""
14,"103",521,511,238,""
15,"102",511,531,238,""
16,"101",522,512,238,""
17,"100",512,532,238,""
18,"99",523,513,238,""
19,"98",513,533,238,""
20,"115",534,535,238,""
21,"114",535,536,238,""
22,"112",537,538,238,""
23,"111",538,539,238,""
24,"109",540,541,238,""
25,"108",541,542,238,""
26,"96",543,544,238,""
27,"95",544,545,238,""
28,"10",57,"",238,""
29,"11",58,"",238,""
30,"12",59,"",238,""
31,"13",60,"",238,""
32,"14",61,"",238,""
33,"15",62,"",238,""
34,"16",63,"",238,""
35,"17",64,"",238,""
36,"18",65,"",238,""
37,"19",66,"",238,""
38,"20",67,"",238,""
39,"21",68,"",238,""
40,"22",69,"",238,""
41,"23",70,"",238,""
42,"24",71,"",238,""
43,"25",72,"",238,""
44,"26",73,"",238,""
45,"27",74,"",238,""
46,"28",75,"",238,""
47,"29",76,"",238,""
48,"30",77,"",238,""
49,"31",78,"",238,""
50,"32",79,"",238,""
51,"33",80,"",238,""
52,"34",550,"",238,""
53,"35",551,"",238,""
54,"36",552,"",238,""
55,"37",553,"",238,""
56,"38",554,"",238,""
57,"39",555,"",238,""
58,"40",556,"",238,""
59,"41",557,"",238,""
60,"42",558,"",238,""
61,"43",559,"",238,""
62,"44",560,"",238,""
63,"45",561,"",238,""
64,"83",562,"",238,""
65,"82",563,"",238,""
66,"81",564,"",238,""
67,"46",191,"",238,""
68,"47",192,"",238,""
69,"48",193,"",238,""
70,"49",194,"",238,""
71,"50",195,"",238,""
72,"51",196,"",238,""
73,"52",197,"",238,""
74,"53",198,"",238,""
75,"54",199,"",238,""
76,"55",200,"",238,""
77,"56",201,"",238,""
78,"57",202,"",238,""
79,"58",884,885,238,""
80,"59",885,886,238,""
81,"60",886,887,238,""
82,"61",887,888,238,""
83,"62",888,889,238,""
84,"63",889,890,238,""
85,"64",890,891,238,""
86,"65",891,892,238,""
87,"66",892,893,238,""
88,"67",576,577,238,""
89,"68",577,578,238,""
90,"69",578,579,238,""
91,"70",579,580,238,""
92,"71",580,581,238,""
93,"72",581,582,238,""
94,"73",582,583,238,""
95,"74",583,584,238,""
96,"75",584,585,238,""
97,"76",585,586,238,""
98,"77",586,587,238,""
99,"78",587,588,238,""
100,"79",588,589,238,""
101,"80",589,590,238,""
