"rownum","BaseItemTypesKey","MaxCharges","PerCharge","MaxCharges2","PerCharge2"
0,"Metadata/Items/Flasks/FourFlaskLife1",60,10,60,10
1,"Metadata/Items/Flasks/FourFlaskLife2",65,10,65,10
2,"Metadata/Items/Flasks/FourFlaskLife3",70,10,70,10
3,"Metadata/Items/Flasks/FourFlaskLife4",75,10,75,10
4,"Metadata/Items/Flasks/FourFlaskLife5",75,10,75,10
5,"Metadata/Items/Flasks/FourFlaskLife6",75,10,75,10
6,"Metadata/Items/Flasks/FourFlaskLife7",75,10,75,10
7,"Metadata/Items/Flasks/FourFlaskLife8",75,10,75,10
8,"Metadata/Items/Flasks/FourFlaskLife9",75,10,75,10
9,"Metadata/Items/Flasks/FourFlaskMana1",60,10,60,10
10,"Metadata/Items/Flasks/FourFlaskMana2",65,10,65,10
11,"Metadata/Items/Flasks/FourFlaskMana3",70,10,70,10
12,"Metadata/Items/Flasks/FourFlaskMana4",75,10,75,10
13,"Metadata/Items/Flasks/FourFlaskMana5",75,10,75,10
14,"Metadata/Items/Flasks/FourFlaskMana6",75,10,75,10
15,"Metadata/Items/Flasks/FourFlaskMana7",75,10,75,10
16,"Metadata/Items/Flasks/FourFlaskMana8",75,10,75,10
17,"Metadata/Items/Flasks/FourFlaskMana9",75,10,75,10
18,"Metadata/Items/Flasks/FourCharm1",80,80,80,80
19,"Metadata/Items/Flasks/FourCharm2",80,60,80,60
20,"Metadata/Items/Flasks/FourCharm3",80,40,80,40
21,"Metadata/Items/Flasks/FourCharm4",80,60,80,60
22,"Metadata/Items/Flasks/FourCharm5",80,50,80,50
23,"Metadata/Items/Flasks/FourCharm6",80,40,80,40
24,"Metadata/Items/Flasks/FourCharm7",80,40,80,40
25,"Metadata/Items/Flasks/FourCharm8",80,40,80,40
26,"Metadata/Items/Flasks/FourCharm9",80,40,80,40
27,"Metadata/Items/Flasks/FourCharm10",80,40,80,40
28,"Metadata/Items/Flasks/FourCharm11",80,60,80,60
29,"Metadata/Items/Flasks/FourCharm12",80,80,80,80
