"rownum","BaseItemType","AddedMods","NegativeWeight_Tags","NegativeWeight_Values","ForcedAddMods","ForbiddenDelveCraftingTags","AllowedDelveCraftingTags","CanMirrorItem","CorruptedEssenceChance","CanImproveQuality","HasLuckyRolls","bool_119","SellPrice_Mods","CanRollWhiteSockets","Weight_Tags","Weight_Values","DelveCraftingModifierDescriptions","BlockedDelveCraftingModifierDescriptions","bool_201","bool_202","[i32]_203","[i32]_219"
0,150,[],[310],[0],[],[],[],"",0,"","","",[],"",[309],[1000],"[11,29]","[12,57]","","",[200],[0]
1,151,[],[309],[0],[],[],[],"",0,"","","",[],"",[310],[1000],"[12,28]","[11,51]","","",[200],[0]
2,152,[],[313],[0],[],[],[],"",0,"","","",[],"",[311],[1000],"[13,27]","[10,45]","","",[200],[0]
3,153,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[1000],"[10,31]","[14,58]","","",[200],[0]
4,154,[],[311],[0],[],[],[],"",0,"","","",[],"",[312],[1000],"[14,30]","[13,48]","","",[200],[0]
5,155,[],[317],[0],[],[],[],"",0,"","","",[],"",[316],[1000],"[17,33]","[18,53]","","",[200],[0]
6,156,[],[316],[0],[],[],[],"",0,"","","",[],"",[317],[1000],"[18,32]","[17,49]","","",[200],[0]
7,157,[],[318],[0],[],[],[],"",0,"","","",[],"","[315,314]","[1000,1000]","[16,34]","[15,52]","","","[200,200]",[0]
8,158,[],"[315,314]","[0,0]",[],[],[],"",0,"","","",[],"",[318],[600],"[15,35]","[16,63]","","",[150],"[0,0]"
9,159,[],[319],[15],[],[],[],"",0,"","","",[],"",[34],[1000],"[19,26]",[25],"","",[200],[15]
10,160,[],[34],[15],[],[],[],"",0,"","","",[],"",[319],[1000],"[20,25]",[26],"","",[200],[15]
11,161,[],[324],[0],[],[],[],"",0,"","","",[],"",[323],[1000],"[21,37]","[22,43]","","",[200],[0]
12,162,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[1000],"[22,36]","[21,47]","","",[200],[0]
13,163,[],[],[],[],[],[],"",0,"","","",[],"","[320,321,587]","[1000,1000,1000]",[23],[],"","","[200,200,200]",[]
14,164,[],[],[],[],[],"[0,2,5,6,4,3,7]","",0,1,"","",[],"",[],[],[9],[],"","",[],[]
15,165,[],[581],[0],[],[],[],"",0,"","","",[],"",[572],[1000],"[39,42]","[41,61]","","",[200],[0]
16,166,[],[572],[0],[],[],[],"",0,"","","",[],"",[581],[1000],"[41,40]","[39,56]","","",[200],[0]
17,167,[],[],[],[],[],[],"",0,"","","",[],"",[27],[1000],[24],[],"","",[200],[]
18,168,[],[],[],[],"[13,14,15]",[],"",0,"","","",[],"",[],[],[38],[],1,"",[],[]
19,169,[],[],[],[],[],"[0,4,6,5,2]","",0,"","","",[],"",[],[],[5],[],"","",[],[]
20,170,[],[],[],[],[],[],1,0,"","","",[],"",[],[],[4],[],"","",[],[]
21,171,[],[],[],[],[],"[0,2,5,6,4,3,8,9,10,11]","",100,"","","",[],"",[],[],[3],[],"","",[],[]
22,172,[],[],[],[],[],[],"",10,"","","",[],"",[],[],[2],[],"",1,[],[]
23,173,[],[],[],[],[],[],"",0,"","",1,[],"",[],[],[1],[],"","",[],[]
24,174,[],[],[],[],[],[],"",0,"","","",[],"",[],[],[0],[],"","",[],[]
25,1234,[],[580],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,64]","[44,73]","","",[1000],[0]
26,1235,[],[313],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,27]","[45,10]","","",[1000],[0]
27,1236,[],[320],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,65]","[46,74]","","",[1000],[0]
28,1237,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,36]","[47,21]","","",[1000],[0]
29,1238,[],[311],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,30]","[48,13]","","",[1000],[0]
30,1239,[],[316],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,32]","[49,17]","","",[1000],[0]
31,1240,[],[27],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,66]","[50,75]","","",[1000],[0]
32,1241,[],[309],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,28]","[51,11]","","",[1000],[0]
33,1242,[],[318],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,34]","[52,15]","","",[1000],[0]
34,1243,[],[317],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,33]","[53,18]","","",[1000],[0]
35,1244,[],[579],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,67]","[54,76]","","",[1000],[0]
36,1245,[],[587],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,68]","[55,77]","","",[1000],[0]
37,1246,[],[572],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,40]","[56,39]","","",[1000],[0]
38,1247,[],[310],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,29]","[57,12]","","",[1000],[0]
39,1248,[],[312],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,31]","[58,14]","","",[1000],[0]
40,1249,[],[34],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,69]","[59,19,25]","","",[1000],[0]
41,1250,[],[321],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,70]","[60,78]","","",[1000],[0]
42,1251,[],[581],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,42]","[61,41]","","",[1000],[0]
43,1252,[],[319],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,71]","[62,20,26]","","",[1000],[0]
44,1253,[],[583],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,72]","[63,79,16]","","",[1000],[0]
45,1254,[],[324],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,37]","[43,22]","","",[1000],[0]
46,1255,[],[313],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,27]","[45,10]","","",[1000],[0]
47,1256,[],[320],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,65]","[46,74]","","",[1000],[0]
48,1257,[],[323],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,36]","[47,21]","","",[1000],[0]
49,1258,[],[311],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,30]","[48,13]","","",[1000],[0]
50,1259,[],[316],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,32]","[49,17]","","",[1000],[0]
51,1260,[],[27],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,66]","[50,75]","","",[1000],[0]
52,1261,[],[309],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,28]","[51,11]","","",[1000],[0]
53,1262,[],[318],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,34]","[52,15]","","",[1000],[0]
54,1263,[],[317],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,33]","[53,18]","","",[1000],[0]
55,1264,[],[579],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,67]","[54,76]","","",[1000],[0]
56,1265,[],[587],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,68]","[55,77]","","",[1000],[0]
57,1266,[],[572],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,40]","[56,39]","","",[1000],[0]
58,1267,[],[310],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,29]","[57,12]","","",[1000],[0]
59,1268,[],[312],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,31]","[58,14]","","",[1000],[0]
60,1269,[],[34],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,69]","[59,19,25]","","",[1000],[0]
61,1270,[],[321],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,70]","[60,78]","","",[1000],[0]
62,1271,[],[581],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,42]","[61,41]","","",[1000],[0]
63,1272,[],[319],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,71]","[62,20,26]","","",[1000],[0]
