"rownum","Id","rid_8","rid_24","rid_40","[rid]_56","[rid]_72","[rid]_88","[rid]_104"
0,"Poisoner","","",405,[],[],[],[]
1,"VoidTouched","","",406,[],[],[],[]
2,"FrostTouched",6457,9,"",[1032],[],[],[]
3,"Freezer",6458,8,"",[],[],[],[]
4,"Raider","","",407,[],[],[],[]
5,"Deadeye","","",431,[],[],[],[]
6,"Bombardier","","","",[],[],[],[]
7,"FlameTouched",6453,9,"",[1031],[],[],[]
8,"Igniter",6454,8,"",[],[],[],[]
9,"ArcaneEnchanted","","",408,[],[514],[],[]
10,"Echoist","","",409,[],[],[],[]
11,"StormTouched",6455,9,"",[1033],[],[],[]
12,"Shocker",6456,8,"",[],[],[],[]
13,"Bonebreaker","","","",[],[],[],[]
14,"Bloodletter","","","",[],[],[],[]
15,"BloodletterMagic","","",411,[],[],[],[]
16,"SteelAttuned",6459,9,"",[],[],[],[]
17,"Gargantuan","","","",[],[],[],[]
18,"Berserker","","",412,[],[],[],[]
19,"Defender","","","",[],[577],[],[]
20,"Juggernaut","","",450,[],[],[],[]
21,"Vampiric","","",413,[],[],[],[]
22,"ChargeGenerator","","",414,[],[],[],[]
23,"SoulConduit","","","",[],[],[],[]
24,"Wealthy","","",415,[],[],[],[]
25,"Oppressor","","",428,[],[],[],[]
26,"Consecration","","",416,[],[],[],[]
27,"MonsterPeriodicEnrage","","",826,[1737],[559],[],[]
28,"MonsterConstantEnrage","","",827,[1738],[561],[],[]
29,"HeraldOfTheObelisk","","","",[],[571],"[6439,6440]",[]
30,"UnionOfSouls","","","",[],[],[],[]
31,"Assassin","","",418,[],[],[],[]
32,"Trickster","","","",[1740],[],[],[]
33,"Necromancer","","",445,[],[],[],[]
34,"Rejuvenating","","","","[1735,1736]",[],[],[]
35,"Executioner","","","",[],[],[],[]
36,"Hexer","","","","[68,76]",[],[],[]
37,"FlaskDrain","","","",[],[],[],[]
38,"GraspingVines","","",420,[],[],[5041],[]
39,"TimeBubble","","","",[],[],[],[]
40,"Saplings","","","",[],[574],[],[399]
41,"FrostWalker","","",421,[],[],[],[]
42,"GlacialCage",6463,10,"",[],[],[],[]
43,"SoulEater","","","",[],[],[],[]
44,"FlameWalker","","",422,[],[],[],[]
45,"CorpseExploder","","","",[],[],[],[]
46,"Prismatic",6570,9,"",[],[],[],[]
47,"VolatileFlameBlood","","","",[],[],[],[]
48,"MirrorImage","","","",[],[],[],[]
49,"LightningWalker","","",423,[],[],[],[]
50,"ManaDonut","","","",[],[],[],[]
51,"Corrupter","","",424,[],[],[],[]
52,"DivineTouched","","","",[],[],[],[]
53,"LivingCrystals","","","",[],[],[],[]
54,"CycleOfElements","","","",[],[],[],[]
55,"VoodooDoll","","","",[],[],[],[]
56,"Lunaris","","","",[],[],[],[]
57,"Solaris","","","",[],[],[],[]
58,"Arakaali","","","",[],[],[],[]
59,"BrineKing","","","",[],[],[],[]
60,"Tukohama","","","",[],[],[],[]
61,"Abberath","","","",[],[],[],[]
62,"Shakari","","","",[],[],[],[]
63,"Innocence","","","",[],[],[],[]
64,"Kitava","","","",[],[],[],[]
65,"Hasted","","",784,[],[],[],[]
66,"MonsterStrongerMinions","","",799,[],[],[],[]
67,"MonsterMinionStrongerMinions","","",800,[],[],[],[]
68,"MonsterManaSiphonAura","","","",[],[527],[],[]
69,"MonsterFlameBeacons","","",817,[],[542],[8817],[]
70,"MonsterFrostBeacons","","",818,[],[543],[8818],[]
71,"MonsterLightningBeacons","","",819,[],[544],[8819],[]
72,"MonsterImmuneAura1","","",820,[],[551],[],[]
73,"MonsterFireGroundOnDeath","","",832,[],"[486,487]",[],[]
74,"MonsterShockedGroundOnDeath","","",833,[],"[483,484]",[],[]
75,"MonsterChilledGroundOnDeath","","",834,[],"[489,490]",[],[]
76,"MonsterBurningGroundTrail","","","",[],[519],[],[]
77,"MonsterChilledGroundTrail","","","",[],[521],[],[]
78,"MonsterShockedGroundTrail","","","",[],[523],[],[]
79,"MonsterHealingNova","","",821,"[1735,1736]",[557],[],[]
80,"MonsterFlaskDrainAura","","","",[1728],[],[],[]
81,"MonsterRevivesMinions","","",823,[],[564],[],[]
82,"MonsterMinionsTakeLifeInstead","","",824,[],[],[],[825]
83,"MonsterMinionsTakeLifeInsteadMinions","","",825,[],[],[],[]
84,"MonsterShroudWalker","","",418,[],[492],[],[]
85,"MonsterCorpseExplode","","",831,[],[555],[],[]
86,"MonsterMagmaBarrier","","","",[],[525],[],[]
87,"MonsterBombadier","","","",[],[568],[],[]
88,"MonsterGlacialPrison","","",828,[],[515],[],[]
89,"MonsterFlamewaller","","",829,[],[517],[],[]
90,"MonsterLightningStorms","","",830,[],[496],[],[]
91,"MonsterLivingCrystals","","",430,[],[570],[],[]
92,"MonsterVolatilePlants","","",875,[],[500],[],[]
93,"MonsterElementalWaller","","",1016,[],[],[],[]
