"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","bool_44","string_45","i32_53","i32_57","i32_61","bool_65"
0," ",514,213,28,0,1,1,1,"s/RuneFire",0,0,0,1
1,"Metadata/Items/SoulCores/RuneFire",504,283,28,1,1,1,1,"s/RuneFire",0,0,0,1
2,"Metadata/Items/SoulCores/RuneFireGreater",524,353,28,2,1,1,1,"s/RuneFire",0,0,0,""
3,"Metadata/Items/SoulCores/RuneColdLesser",515,213,108,3,1,1,1,"s/RuneFire",0,0,0,1
4,"Metadata/Items/SoulCores/RuneCold",505,283,108,4,1,1,1,"s/RuneFire",0,0,0,1
5,"Metadata/Items/SoulCores/RuneColdGreater",525,353,108,5,1,1,1,"s/RuneFire",0,0,0,""
6,"Metadata/Items/SoulCores/RuneLightningLesser",516,213,188,6,1,1,1,"s/RuneFire",0,0,0,1
7,"Metadata/Items/SoulCores/RuneLightning",506,283,188,7,1,1,1,"s/RuneFire",0,0,0,1
8,"Metadata/Items/SoulCores/RuneLightningGreater",526,353,188,8,1,1,1,"s/RuneFire",0,0,0,""
9,"Metadata/Items/SoulCores/RuneEnhanceLesser",517,213,268,9,1,1,1,"s/RuneFire",0,0,0,1
10,"Metadata/Items/SoulCores/RuneEnhance",507,283,268,10,1,1,1,"s/RuneFire",0,0,0,1
11,"Metadata/Items/SoulCores/RuneEnhanceGreater",527,353,268,11,1,1,1,"s/RuneFire",0,0,0,""
12,"Metadata/Items/SoulCores/RuneLifeLesser",518,213,348,12,1,1,1,"s/RuneFire",0,0,0,1
13,"Metadata/Items/SoulCores/RuneLife",508,283,348,13,1,1,1,"s/RuneFire",0,0,0,1
14,"Metadata/Items/SoulCores/RuneLifeGreater",528,353,348,14,1,1,1,"s/RuneFire",0,0,0,""
15,"Metadata/Items/SoulCores/RuneManaLesser",519,213,428,15,1,1,1,"s/RuneFire",0,0,0,1
16,"Metadata/Items/SoulCores/RuneMana",509,283,428,16,1,1,1,"s/RuneFire",0,0,0,1
17,"Metadata/Items/SoulCores/RuneManaGreater",529,353,428,17,1,1,1,"s/RuneFire",0,0,0,""
18,"Metadata/Items/SoulCores/RuneAccuracyLesser",523,213,508,18,1,1,1,"s/RuneFire",0,0,0,1
19,"Metadata/Items/SoulCores/RuneAccuracy",513,283,508,19,1,1,1,"s/RuneFire",0,0,0,1
20,"Metadata/Items/SoulCores/RuneAccuracyGreater",533,353,508,20,1,1,1,"s/RuneFire",0,0,0,""
21,"Metadata/Items/SoulCores/RuneLifeRecoveryLesser",520,523,28,21,1,1,1,"s/RuneFire",0,0,0,1
22,"Metadata/Items/SoulCores/RuneLifeRecovery",510,593,28,22,1,1,1,"s/RuneFire",0,0,0,1
23,"Metadata/Items/SoulCores/RuneLifeRecoveryGreater",530,663,28,23,1,1,1,"s/RuneFire",0,0,0,""
24,"Metadata/Items/SoulCores/RuneManaRecoveryLesser",521,523,108,24,1,1,1,"s/RuneFire",0,0,0,1
25,"Metadata/Items/SoulCores/RuneManaRecovery",511,593,108,25,1,1,1,"s/RuneFire",0,0,0,1
