"rownum","Stat","StatValue","bool_20"
0,0,100,""
1,7703,600,""
2,9366,1,1
3,8294,10,1
4,8295,10,""
5,2412,10,1
6,9321,10,1
7,9322,10,1
8,5427,10,""
9,5562,10,1
10,3495,10,""
11,2274,100,""
12,3262,1,""
13,3261,1,""
14,5614,10,""
15,2272,7,""
16,2975,10,""
17,2976,8,""
18,4630,1,""
19,5637,1,""
20,8119,10,""
21,6211,5,""
22,13170,1,""
23,9728,1,""
24,8847,10,""
25,11150,1,""
26,12616,100,""
27,4784,0,""
28,9514,10,""
29,8026,4,""
30,11142,10,""
31,7648,1,""
32,11484,100,1
33,12840,10,""
34,12947,100,""
35,12948,100,""
36,12977,100,""
37,15206,100,""
38,13074,1,""
39,13118,100,1
40,13878,1,""
41,13937,10,""
42,14761,1,""
43,15446,100,""
44,15462,100,""
45,16275,1,""
46,16274,1,""
47,15458,1,""
48,15452,1,""
49,15456,1,""
50,16272,1,1
51,15973,10,1
52,16049,10,""
53,16115,10,""
54,16159,10,""
55,16276,0,1
56,2296,1,""
57,4770,1,""
58,16281,1,""
59,16324,100,1
60,16360,100,""
61,16355,100,""
62,16359,100,""
63,16433,10,1
64,16775,1,""
65,19304,1,""
66,2479,1,1
67,6936,10,""
68,21920,100,1
69,22448,1,""
