"rownum","Id","i32","bool","bool"
0,"ShaperInfluenceOutcome1",62584,1,""
1,"ShaperInfluenceOutcome2",57353,1,""
2,"ShaperInfluenceOutcome3",48007,1,""
3,"ShaperInfluenceOutcome4",25190,1,""
4,"AfflictionPlugin",2161,"",""
5,"UltimatumPlugin",31963,"",""
6,"ExpeditionPlugin",2154,"",""
7,"SanctumPlugin",8373,"",""
8,"CaravanTravel",59728,"",1
9,"ZigguratTown",57974,"",1
10,"TreasureVaultPlugin",64173,1,""
11,"PortTown",42361,"",1
12,"DominusEstatePlugin",24485,"",""
13,"PairedRoomLayoutPlugin",62942,"",""
