"rownum","rid_0","i32_16"
0,1394,3
1,1392,3
2,1395,3
3,1399,3
4,1393,3
5,1391,3
6,1398,3
7,1397,3
8,1396,3
9,893,3
10,891,3
11,894,3
12,892,3
13,890,3
14,903,3
15,879,3
16,899,3
17,783,3
18,1470,3
19,1452,3
20,1450,3
21,1458,3
22,1478,3
23,1451,3
24,1449,3
25,1475,3
26,4291,3
27,1463,3
28,1688,3
29,1455,3
30,1269,3
31,1267,3
32,1265,3
33,1271,3
34,1268,3
35,1266,3
36,1270,3
37,1274,3
38,1272,3
39,1717,3
40,1273,3
41,4274,3
42,1264,3
43,1606,3
44,1604,3
45,1613,3
46,1608,3
47,1612,3
48,1605,3
49,1603,3
50,1610,3
51,1609,3
52,1611,3
53,1607,3
54,1789,3
55,1787,3
56,1784,3
57,1790,3
58,1792,3
59,1788,3
60,1786,3
61,1785,3
62,1791,3
63,1783,3
64,207,2
65,560,2
66,574,2
67,389,2
68,1379,2
69,1382,2
70,1380,2
71,1385,2
72,1388,2
73,1390,2
74,1381,2
75,539,2
76,608,2
77,1468,2
78,1444,2
79,1464,2
80,1456,2
81,1461,2
82,1459,2
83,1453,2
84,493,2
85,500,2
86,564,2
87,1588,2
88,1593,2
89,1596,2
90,1589,2
91,1597,2
92,1601,2
93,1599,2
94,1448,2
95,1469,2
96,1465,2
97,1457,2
98,1462,2
99,1460,2
100,1454,2
101,883,2
102,831,2
103,884,2
104,877,2
105,897,2
106,819,2
107,784,2
108,438,2
109,426,2
110,501,2
111,594,2
112,1779,2
113,1770,2
114,1776,2
115,1777,2
116,1778,2
117,1769,2
118,888,2
119,832,2
120,889,2
121,878,2
122,898,2
123,820,2
124,785,2
125,331,2
126,1254,2
127,1256,2
128,1250,2
129,1263,2
130,1258,2
131,1257,2
132,1249,2
133,652,2
134,1765,2
135,1756,2
136,1762,2
137,1763,2
138,1764,2
139,1755,2
140,1578,2
141,1581,2
142,1575,2
143,1582,2
144,1586,2
145,1584,2
146,1574,2
147,219,2
148,719,2
149,694,2
150,720,2
151,722,2
152,695,2
153,729,2
154,4243,2
155,570,2
156,405,2
157,1239,2
158,1241,2
159,1235,2
160,1248,2
161,1243,2
162,1242,2
163,1234,2
164,538,2
165,701,2
166,697,2
167,702,2
168,721,2
169,714,2
170,707,2
171,703,2
172,496,2
173,1364,2
174,1367,2
175,1365,2
176,1370,2
177,1373,2
178,1375,2
179,1366,2
180,208,1
181,210,1
182,209,1
183,534,1
184,562,1
185,561,1
186,563,1
187,528,1
188,387,1
189,388,1
190,386,1
191,791,1
192,4221,1
193,1377,1
194,1378,1
195,1376,1
196,1384,1
197,1383,1
198,4282,1
199,4283,1
200,327,1
201,606,1
202,607,1
203,605,1
204,603,1
205,1442,1
206,1443,1
207,1441,1
208,1466,1
209,1471,1
210,4289,1
211,737,1
212,491,1
213,492,1
214,490,1
215,494,1
216,151,1
217,1602,1
218,1595,1
219,1598,1
220,1594,1
221,1592,1
222,4306,1
223,726,1
224,725,1
225,612,1
226,576,1
227,765,1
228,1446,1
229,4290,1
230,1447,1
231,1445,1
232,1467,1
233,1472,1
234,881,1
235,882,1
236,880,1
237,4262,1
238,436,1
239,437,1
240,435,1
241,434,1
242,724,1
243,4238,1
244,1780,1
245,1773,1
246,4310,1
247,1774,1
248,1772,1
249,1781,1
250,886,1
251,887,1
252,885,1
253,4261,1
254,900,1
255,329,1
256,821,1
257,330,1
258,328,1
259,1252,1
260,4276,1
261,1253,1
262,1251,1
263,1262,1
264,1261,1
265,1766,1
266,1760,1
267,1759,1
268,4308,1
269,1758,1
270,1767,1
271,1587,1
272,1583,1
273,1580,1
274,1579,1
275,1577,1
276,4305,1
277,220,1
278,221,1
279,222,1
280,717,1
281,718,1
282,716,1
283,609,1
284,613,1
285,571,1
286,568,1
287,569,1
288,567,1
289,572,1
290,407,1
291,403,1
292,404,1
293,402,1
294,406,1
295,4253,1
296,458,1
297,392,1
298,1237,1
299,4275,1
300,1238,1
301,1236,1
302,1247,1
303,1246,1
304,4244,1
305,536,1
306,530,1
307,537,1
308,535,1
309,699,1
310,700,1
311,698,1
312,1362,1
313,1368,1
