"rownum","string_0","rid_8","bool_24","i32_25","i32_29"
0,"HeraldOfAsh",278,1,0,1000
1,"HeraldOfThunder",283,1,0,1000
2,"HeraldOfThunderActive",285,1,0,1000
3,"HeraldOfIce",289,1,0,1000
4,"RuthlessStage1",280,"",0,0
5,"RuthlessStage2",281,"",0,0
6,"TwilightOrderOfficerSmite",282,"",2,0
7,"StormStrike",211,"",2,0
8,"InfernalCry",286,"",2,1000
9,"IncendiaryRapidShot",288,"",0,1000
10,"EmpowerBarrageBase",291,"",0,1000
11,"EmpowerBarrageWithCharge",292,"",0,1000
12,"IgneousShieldCharged",293,"",2,1000
13,"IgneousShieldCooldown",294,"",2,1000
14,"ChargedStaff",295,"",2,0
15,"ShieldingCry",296,"",2,0
16,"HeraldOfAgony",305,"",2,1000
17,"SupportChargedShots",313,"",2,1000
18,"HeraldOfBlood",314,1,0,1000
19,"SupportSpectralArrows",315,"",2,1000
20,"NoEffect",316,"",2,0
