"rownum","Item","Category","SubCategory","bool_48","EnabledInChallengeLeague","GoldPurchaseFee","bool_54"
0,2,0,0,1,1,1,""
1,16,0,0,1,1,20,""
2,11,0,0,1,1,50,""
3,15,0,0,1,1,120,""
4,14,0,0,1,1,120,""
5,3,0,0,1,1,160,""
6,42,0,0,1,1,160,""
7,7,0,0,1,1,200,""
8,26,0,0,1,1,800,""
9,8,0,0,1,1,1000,""
10,110,0,0,1,1,1000,""
11,25,0,0,1,1,1000,""
12,117,0,0,1,1,1000,""
13,6,0,0,1,1,25000,""
14,22,0,2,1,1,200,""
15,23,0,2,1,1,600,""
16,24,0,2,1,1,1000,""
17,31,0,3,1,1,4,""
18,127,0,3,1,1,12,""
19,129,0,3,1,1,100,""
20,34,0,3,1,1,100,""
21,5,0,1,1,1,250,""
22,0,0,1,1,1,500,""
23,1,0,1,1,1,500,""
24,18,0,1,1,1,750,""
25,19,0,1,1,1,1000,""
26,109,15,15,1,1,3,""
27,681,15,15,1,1,1000,""
28,93,12,12,1,1,3,""
29,645,12,12,1,1,1000,""
30,686,4,5,1,1,1000,""
31,3112,4,6,1,1,350,""
32,3113,4,6,1,1,350,""
33,3114,4,6,1,1,350,""
34,884,15,17,1,1,100,""
35,885,15,17,1,1,140,""
36,886,15,17,1,1,180,""
37,887,15,17,1,1,220,""
38,888,15,17,1,1,300,""
39,889,15,17,1,1,400,""
40,890,15,17,1,1,520,""
41,891,15,17,1,1,700,""
42,892,15,17,1,1,920,""
43,893,15,17,1,1,1000,""
44,191,12,14,1,1,100,""
45,192,12,14,1,1,100,""
46,193,12,14,1,1,100,""
47,202,12,14,1,1,160,""
48,195,12,14,1,1,260,""
49,196,12,14,1,1,260,""
50,197,12,14,1,1,260,""
51,194,12,14,1,1,360,""
52,199,12,14,1,1,560,""
53,200,12,14,1,1,560,""
54,198,12,14,1,1,960,""
55,201,12,14,1,1,1000,""
56,1219,26,26,1,1,250,""
57,1220,26,26,1,1,250,""
58,1221,26,26,1,1,250,""
59,1222,26,26,1,1,250,""
60,1218,26,26,1,1,500,""
61,57,9,9,1,1,100,""
62,58,9,9,1,1,100,""
63,59,9,9,1,1,100,""
64,63,9,9,1,1,120,""
65,68,9,9,1,1,120,""
66,61,9,9,1,1,120,""
67,62,9,9,1,1,120,""
68,60,9,9,1,1,140,""
69,65,9,9,1,1,160,""
70,66,9,9,1,1,160,""
71,64,9,9,1,1,180,""
72,67,9,9,1,1,200,""
73,69,9,10,1,1,600,""
74,70,9,10,1,1,600,""
75,71,9,10,1,1,600,""
76,80,9,10,1,1,660,""
77,73,9,10,1,1,740,""
78,74,9,10,1,1,740,""
79,75,9,10,1,1,740,""
80,72,9,10,1,1,820,""
81,77,9,10,1,1,900,""
82,78,9,10,1,1,900,""
83,76,9,10,1,1,1000,""
84,79,9,10,1,1,1000,""
85,81,9,11,1,1,1000,""
86,82,9,11,1,1,1000,""
87,83,9,11,1,1,1000,""
88,84,9,11,1,1,1000,""
89,514,29,29,1,1,100,""
90,504,29,29,1,1,250,""
91,524,29,29,1,1,750,""
92,515,29,29,1,1,100,""
93,505,29,29,1,1,250,""
94,525,29,29,1,1,750,""
95,516,29,29,1,1,100,""
96,506,29,29,1,1,250,""
97,526,29,29,1,1,750,""
98,517,29,29,1,1,100,""
99,507,29,29,1,1,250,""
100,527,29,29,1,1,750,""
101,518,29,29,1,1,125,""
102,508,29,29,1,1,350,""
103,528,29,29,1,1,1000,""
104,519,29,29,1,1,125,""
105,509,29,29,1,1,350,""
106,529,29,29,1,1,1000,""
107,523,29,29,1,1,125,""
108,513,29,29,1,1,350,""
109,533,29,29,1,1,1000,""
110,520,29,29,1,1,150,""
111,510,29,29,1,1,450,""
112,530,29,29,1,1,1000,""
113,521,29,29,1,1,150,""
114,511,29,29,1,1,450,""
115,531,29,29,1,1,1000,""
116,522,29,29,1,1,175,""
117,512,29,29,1,1,500,""
118,532,29,29,1,1,1000,""
119,546,29,30,1,1,1000,""
120,547,29,30,1,1,1000,""
121,548,29,30,1,1,1000,""
122,549,29,30,1,1,1000,""
123,534,29,29,1,1,125,""
124,535,29,29,1,1,350,""
125,536,29,29,1,1,1000,""
126,537,29,29,1,1,125,""
127,538,29,29,1,1,350,""
128,539,29,29,1,1,1000,""
129,540,29,29,1,1,125,""
130,541,29,29,1,1,350,""
131,542,29,29,1,1,1000,""
132,3107,4,7,1,1,1000,""
133,3108,4,7,1,1,1000,""
134,3109,4,7,1,1,1000,""
135,3242,32,32,1,1,120,""
136,3243,32,32,1,1,120,""
137,3244,32,32,1,1,120,""
138,3245,32,32,1,1,120,""
139,3236,32,32,1,1,100,""
140,3237,32,32,1,1,100,""
141,3246,32,32,1,1,260,""
142,3238,32,32,1,1,260,""
143,3248,32,32,1,1,260,""
144,3249,32,32,1,1,260,""
145,3253,32,33,1,1,500,""
146,3255,32,33,1,1,500,""
147,3256,32,33,1,1,500,""
148,3254,32,33,1,1,500,""
149,3250,32,32,1,1,920,""
150,3239,32,32,1,1,920,""
151,3240,32,32,1,1,1000,""
152,3241,32,32,1,1,1000,""
153,3251,32,32,1,1,1000,""
154,3252,32,32,1,1,1000,""
155,3247,32,32,1,1,1000,""
156,559,31,31,1,1,500,""
157,550,31,31,1,1,500,""
158,551,31,31,1,1,500,""
159,552,31,31,1,1,850,""
160,553,31,31,1,1,850,""
161,554,31,31,1,1,850,""
162,555,31,31,1,1,850,""
163,556,31,31,1,1,850,""
164,557,31,31,1,1,850,""
165,560,31,31,1,1,850,""
166,561,31,31,1,1,850,""
167,562,31,31,1,1,1000,""
168,563,31,31,1,1,1000,""
169,564,31,31,1,1,1000,""
170,558,31,31,1,1,1000,""
171,572,34,34,1,1,500,""
172,566,34,34,1,1,500,""
173,570,34,34,1,1,500,""
174,571,34,34,1,1,500,""
175,565,34,34,1,1,500,""
176,569,34,34,1,1,500,""
177,568,34,34,1,1,500,""
178,567,34,34,1,1,500,""
179,573,34,34,1,1,500,""
180,575,34,34,1,1,850,""
181,574,34,34,1,1,850,""
182,699,4,8,1,1,1000,""
183,700,4,8,1,1,1000,""
184,701,4,8,1,1,1000,""
185,702,4,8,1,1,1000,""
186,703,4,8,1,1,1000,""
187,704,4,8,1,1,1000,""
188,705,4,8,1,1,1000,""
189,707,4,8,1,1,1000,""
190,708,4,8,1,1,1000,""
191,709,4,8,1,1,1000,""
192,710,4,8,1,1,1000,""
193,711,4,8,1,1,1000,""
