"rownum","string_0","string_8","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","string_16","[rid]_24","[rid]_40"
0,"All","All","Tout","Alle","すべて","모두","Geral","Всё","Todo","ทั้งหมด","全部","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconAll",[],[]
1,"Weapon","Weapons","Armes","Waffen","武器","무기","Armas","Оружие","Armas","อาวุธ","武器","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconAxe","[8,11,12,15,13,1014,1010,566,5,1012]",[]
2,"Caster","Caster Items","Objets de Lanceur de sorts","Zauber-Gegenstände","キャスターアイテム","시전 아이템","Itens de Conjuração","Чародейские предметы","Objetos de lanzadores de hechizos","ไอเทมนักเวท","法術物品","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconWand","[9,10,37,45]",[]
3,"Shield","Shields","Boucliers","Schilde","盾","방패","Escudos","Щиты","Escudos","โล่","盾","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconShield","[1,7]",[]
4,"Helmet","Helmets","Casques","Helme","兜","투구","Elmos","Шлемы","Cascos","หมวก","頭部","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconHelmet","[25,7]",[]
5,"BodyArmour","Body Armour","Armures","Körperrüstungen","鎧","갑옷","Peitorais","Нательные доспехи","Armaduras","เสื้อเกราะ","胸甲","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconBodyArmour","[16,7]",[]
6,"Glove","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconGloves","[22,7]",[]
7,"Boot","Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconBoots","[4,7]",[]
8,"Ring","Rings","Bagues","Ringe","指輪","반지","Anéis","Кольца","Anillos","แหวน","戒指","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconRing",[2],[]
9,"Amulet","Amulets","Amulettes","Amulette","アミュレット","목걸이","Amuletos","Амулеты","Amuletos","สร้อย","項鍊","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconAmulet",[3],[]
10,"Belt","Belts","Ceintures","Gürtel","ベルト","허리띠","Cintos","Пояса","Cinturones","เข็มขัด","腰帶","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconBelt",[26],[]
11,"Quiver","Quivers","Carquois","Köcher","矢筒","화살통","Aljavas","Колчаны","Carcajes","ซองธนู","箭袋","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconQuiver",[21],[]
