"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,883,"",0
1,884,"",0
2,885,"",0
3,886,"",0
4,921,"",2
5,922,"",3
6,923,"",4
7,924,"",5
8,925,"",2
9,926,"",3
10,927,"",4
11,928,"",5
12,929,0,2
13,930,0,3
14,931,0,4
15,932,0,5
16,933,1,2
17,934,1,3
18,935,1,4
19,936,1,5
20,937,2,2
21,938,2,3
22,939,2,4
23,940,2,5
24,941,3,2
25,942,3,3
26,943,3,4
27,944,3,5
28,945,4,2
29,946,4,3
30,947,4,4
31,948,4,5
32,949,5,2
33,950,5,3
34,951,5,4
35,952,5,5
36,953,6,2
37,954,6,3
38,955,6,4
39,956,6,5
40,957,7,2
41,958,7,3
42,959,7,4
43,960,7,5
44,961,8,2
45,962,8,3
46,963,8,4
47,964,8,5
48,965,"",2
49,966,"",3
50,967,"",4
51,968,"",5
52,969,"",2
53,970,"",3
54,971,"",4
55,972,"",5
56,973,"",2
57,974,"",3
58,975,"",4
59,976,"",5
