"rownum","Id","Mods","string","string","i32","i32","[rid]","i32","[i32]","[rid]"
0,"ProphecySignature",[],"","",0,0,[],0,[],[]
1,"BLAMTEasyBrutus",[],"","",0,0,[],0,[],[]
2,"PathOfEndurance",[],"Path of Endurance","http://poe.qq.com/redirect/g25.htm",60,0,[],0,[],[]
3,"EverythingEverywhere","[9171,9175,9179,9183,9187,9206,9210,9212,9216,9217,9218,9219,9220,9221,9222,9223,9224,9225,9226,9227]","","",0,60,[],0,"[1,2]","[2576,2577]"
4,"EverythingSomewhere","[9172,9176,9180,9184,9188,9192,9196,9199,9201]","","",0,60,[],1,[],[]
5,"EverythingSomewhereSingle","[9173,9177,9181,9185,9189,9193,9197,9200,9202,9203,9205,9207,9208,9209,9211]","","",0,60,[],3,[],[]
6,"EverythingSomewhereSingleTencent","[9173,9181,9185,9189,9197,9203,9205,9207,9208,9209,9211]","","",0,60,[],3,[],[]
7,"PerandusSingleTencent",[9193],"","",0,0,[],0,[],[]
8,"EverythingSomewhereSingleNoDelirium","[9173,9177,9181,9185,9189,9193,9197,9200,9202,9203,9205,9207,9208,9209]","","",0,60,[],3,[],[]
9,"DeliriumSingleTencent",[9211],"","",0,0,[],0,[],[]
