"rownum","Slot","ClusterJewelSize","i32","ReplacesSlot","ProxySlot","StartIndices","bool"
0,1219,"",0,"","",[],""
1,1220,"",0,"","",[],""
2,1221,"",0,"","",[],""
3,1222,"",0,"","",[],""
4,1223,"",0,"","",[],""
5,1224,"",0,"","",[],""
6,1225,"",0,"","",[],""
7,1226,"",0,"","",[],""
8,1227,"",0,"","",[],""
9,1228,"",0,"","",[],""
10,1229,"",0,"","",[],""
11,1230,2,0,"",3240,"[3,5,5]",""
12,1231,2,1,"",3241,"[0,11,11]",""
13,1232,2,2,"",3242,"[2,3,3]",""
14,1233,"",0,"","",[],""
15,1234,2,3,"",3243,"[1,1,1]",""
16,1235,"",0,"","",[],""
17,1236,2,4,"",3244,"[5,9,9]",""
18,1237,"",0,"","",[],""
19,1238,"",0,"","",[],""
20,1239,2,5,"",3245,"[4,7,7]",""
21,3204,1,0,11,3246,"[2,3]",""
22,3205,1,1,11,3247,"[3,5]",""
23,3206,1,2,11,3248,"[3,7]",""
24,3207,0,0,21,3249,[1],""
25,3208,0,0,22,3250,[2],""
26,3209,0,0,23,3251,[3],""
27,3210,1,0,12,3252,"[5,9]",""
28,3211,1,1,12,3253,"[5,11]",""
29,3212,1,2,12,3254,"[0,1]",""
30,3213,0,0,27,3255,[4],""
31,3214,0,0,28,3256,[5],""
32,3215,0,0,29,3257,[0],""
33,3216,1,0,13,3258,"[1,1]",""
34,3217,1,1,13,3259,"[2,3]",""
35,3218,1,2,13,3260,"[3,5]",""
36,3219,0,0,33,3261,[0],""
37,3220,0,0,34,3262,[1],""
38,3221,0,0,35,3263,[2],""
39,3222,1,0,15,3264,"[5,11]",""
40,3223,1,1,15,3265,"[1,1]",""
41,3224,1,2,15,3266,"[2,3]",""
42,3225,0,0,39,3267,[5],""
43,3226,0,0,40,3268,[0],""
44,3227,0,0,41,3269,[1],""
45,3228,1,0,17,3270,"[4,7]",""
46,3229,1,1,17,3271,"[5,9]",""
47,3230,1,2,17,3272,"[5,11]",""
48,3231,0,0,45,3273,[3],""
49,3232,0,0,46,3274,[4],""
50,3233,0,0,47,3275,[5],""
51,3234,1,0,20,3276,"[3,5]",""
52,3235,1,1,20,3277,"[4,7]",""
53,3236,1,2,20,3278,"[5,9]",""
54,3237,0,0,51,3279,[2],""
55,3238,0,0,52,3280,[3],""
56,3239,0,0,53,3281,[4],""
57,4814,"",0,"","",[],1
58,4815,"",0,"","",[],1
59,4816,"",0,"","",[],1
