"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsResonator","i32","i32"
0,287,100,300,0,1,1,600
1,288,100,750,0,1,1,1500
2,289,100,3750,0,1,1,7500
3,250,100,1000,0,"",0,2000
4,251,100,1000,0,"",0,2000
5,252,100,1000,0,"",0,2000
6,253,100,1000,0,"",0,2000
7,254,100,1000,0,"",0,2000
8,255,100,1000,0,"",0,2000
9,256,100,1000,0,"",0,2000
10,257,40,10000,19,"",0,20000
11,258,40,10000,19,"",0,20000
12,259,40,10000,19,"",0,20000
13,260,40,10000,19,"",0,20000
14,261,40,10000,19,"",0,20000
15,262,40,10000,19,"",0,20000
16,263,40,10000,19,"",0,20000
17,264,40,10000,19,"",0,20000
18,265,40,10000,19,"",0,20000
19,266,40,10000,19,"",0,20000
20,267,10,1000000,75,"",0,2000000
21,268,10,1000000,75,"",0,2000000
22,269,10,1000000,75,"",0,2000000
23,270,10,1000000,75,"",0,2000000
24,271,10,1000000,75,"",0,2000000
25,272,10,1000000,75,"",0,2000000
26,273,10,100000,35,"",0,200000
27,274,10,100000,35,"",0,200000
28,283,100,300,0,1,2,600
29,284,100,750,0,1,2,1500
30,285,100,3750,0,1,2,7500
