"rownum","TaggedStat","rid","[rid]","rid","rid"
0,16097,24,[],"",""
1,16098,8990,[],"",""
2,16204,"",[454],"",""
3,16211,"",[457],"",""
4,16223,"",[],1,""
5,16224,"",[],2,""
6,16225,"",[],4,""
7,16226,"",[],11,""
8,16227,"",[],9,""
9,16228,"",[],10,""
10,16229,"",[],23,""
11,16286,10584,[],"",""
12,16287,10585,[],"",""
13,16288,16221,[],"",""
14,16289,1748,[],"",""
15,16290,7632,[],"",""
16,16210,"",[],"",1
17,16216,"",[],"",8
18,16217,"",[],"",2
19,16253,"",[],"",3
20,16254,"",[],"",4
21,16255,"",[],"",5
22,16256,"",[],"",6
23,16257,"",[],"",7
24,16258,"",[],"",9
25,16259,"",[],"",10
26,16260,"",[],"",11
27,16261,"",[],"",12
28,16262,"",[],"",13
29,16263,"",[],"",14
30,16264,"",[],"",15
31,16265,"",[],"",16
32,16266,"",[],"",17
33,16267,"",[],"",18
34,16268,"",[],"",19
35,16269,"",[],"",20
36,16270,"",[],"",21
37,16271,"",[],"",22
38,16272,"",[],"",23
39,16374,2396,[],"",""
