"rownum","rid","i32","i32","[i32]","BetrayalTargetsKey","i32","rid","[rid]","BetrayalUpgradesKey","bool","[i32]","[rid]","bool","[i32]","NPCTextAudioKey","[i32]"
0,4,0,0,[],"",10,"",[],"","",[],[],1,[9],2292,[]
1,4,0,1,[],"",100,1,[],"","",[],[],"",[],2293,[]
2,4,0,2,[],"",100,2,[],"","",[],[],"",[],2294,[]
3,4,0,3,[],"",100,4,[],"","",[],[],"",[],2295,[]
4,4,0,4,[],"",100,3,[],"","",[],[],"",[],2296,[]
5,4,0,5,[1],"",300,"",[],"","",[],[],"",[],2297,[]
6,4,0,6,[3],"",300,"",[],"","",[],[],"",[],2298,[]
7,4,0,7,[5],"",300,"",[],"","",[],[],"",[],2299,[]
8,4,0,8,[6],"",300,"",[],"","",[],[],"",[],2300,[]
9,4,0,9,"[2,4]","",300,"",[],"","",[],[],"",[],2301,[]
10,4,0,10,[],"",100,"",[],24,"",[],[],"",[],2302,[]
11,4,0,11,[],"",100,"",[],14,"",[],[],"",[],2303,[]
12,4,0,12,[],"",100,"",[],9,"",[],[],"",[],2304,[]
13,4,0,13,[],"",100,"",[],5,"",[],[],"",[],2305,[]
14,4,0,14,[],"",100,"",[],16,"",[],[],"",[],2306,[]
15,4,13,0,[],"",10,"",[],"","",[],[],1,[],2307,[]
16,4,1,0,[],"",100,1,"[1,2]","","",[],[],"",[],2308,[]
17,4,1,1,[],"",100,2,"[1,2]","","",[],[],"",[],2309,[]
18,4,1,2,[],"",100,4,"[1,2]","","",[],[],"",[],2310,[]
19,4,1,3,[],"",100,3,"[1,2]","","",[],[],"",[],2311,[]
20,4,1,4,[],"",100,"","[1,2]","","",[],[],"",[],2312,[]
21,4,1,5,[],"",100,"","[1,2]","","",[],[],"",[],2313,[]
22,4,1,6,[],1,1000,"","[1,2]","","",[],[],1,[],2314,[]
23,4,1,7,[],3,1000,"","[1,2]","","",[],[],1,[],2315,[]
24,4,1,8,[],5,1000,"","[1,2]","","",[],[],1,[],2316,[]
25,4,1,9,[],8,1000,"","[1,2]","","",[],[],1,[],2317,[]
26,4,1,10,[],12,1000,"","[1,2]","","",[],[],1,[],2318,[]
27,4,1,11,[],"",100,"","[1,2]","","",[],[],"",[],2319,[]
28,4,1,12,[],"",100,1,[0],"","",[],[],"",[],2320,[]
29,4,1,13,[],"",100,2,[0],"","",[],[],"",[],2321,[]
30,4,1,14,[],"",100,4,[0],"","",[],[],"",[],2322,[]
31,4,1,15,[],"",100,3,[0],"","",[],[],"",[],2323,[]
32,4,1,16,[],3,1000,"",[0],"","",[],[],1,[],2324,[]
33,4,1,17,[],5,1000,"",[0],"","",[],[],1,[],2325,[]
34,4,1,18,[],8,1000,"",[0],"","",[],[],1,[],2326,[]
35,4,1,19,[],13,1000,"",[0],"","",[],[],1,[],2327,[]
36,4,1,20,[],14,1000,"",[0],"","",[],[],1,[],2328,[]
37,4,1,21,[],"",100,"",[0],"","",[],[],"",[],2329,[]
38,4,2,0,[],"",100,1,[0],"","",[],[],"",[],2330,[]
39,4,2,1,[],"",100,2,[0],"","",[],[],"",[],2331,[]
40,4,2,2,[],"",100,4,[0],"","",[],[],"",[],2332,[]
41,4,2,3,[],"",100,3,[0],"","",[],[],"",[],2333,[]
42,4,2,4,[],7,1000,"",[0],"","",[],[],1,[],2334,[]
43,4,2,5,[],3,1000,"",[0],"","",[],[],1,[],2335,[]
44,4,2,6,[],10,1000,"",[0],"","",[],[],1,[],2336,[]
45,4,2,7,[],6,1000,"",[0],"","",[],[],1,[],2337,[]
46,4,2,8,[],17,1000,"",[0],"","",[],[],1,[],2338,[]
47,4,2,9,[],"",100,"",[0],"","",[],[],"",[],2339,[]
48,4,1,22,[7],"",100,1,[],"","",[],[],"",[],2340,[]
49,4,1,23,[7],"",100,2,[],"","",[],[],"",[],2341,[]
50,4,1,24,[7],"",100,4,[],"","",[],[],"",[],2342,[]
51,4,1,25,[7],"",100,3,[],"","",[],[],"",[],2343,[]
52,4,1,26,[7],7,1000,"",[],"","",[],[],1,[],2344,[]
