"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,9878,111,"Essence Item",52571,[]
1,9879,131,"Currency Item",52259,[]
2,9880,151,"Unique Item",18701,[]
3,9881,121,"Map Item",22038,[]
4,9882,251,"Unique Map Item",6696,[]
5,9883,301,"Rare Abyss Item",41772,[]
6,9884,301,"Fragment Item",60390,[]
7,9885,301,"Scarab Item",32186,[]
8,9886,151,"Essence Item",23218,[]
9,9887,301,"Fossil Item",19642,[]
10,9888,221,"Expedition Item",40101,[]
11,9889,151,"Stacked Decks",34745,[]
12,9890,151,"Talisman Item",43064,[]
13,9891,161,"Labyrinth Item",19352,[]
14,9892,1001,"6-Linked Armour Item",6078,[]
15,9893,141,"Currency Item",14134,[]
16,9894,1501,"League-specific Unique Item",4526,[]
17,9895,501,"Shaper or Elder Armour Item",61377,[]
18,9896,501,"Shaper or Elder Weapon Item",53204,[]
19,9897,701,"Shaper or Elder Trinket Item",61894,[]
20,9898,501,"Elder Map Item",39336,[]
21,9899,351,"Breach Item",43164,[]
22,9900,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,9901,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,9902,301,"Item",31223,[]
25,9903,121,"Quality Gem",16288,[]
26,9904,151,"Bestiary Item",28161,[]
27,9905,221,"Blight Item",19373,[]
28,9906,221,"Ultimatum Item",62324,[]
29,9907,431,"Delirium Item",23535,[]
30,9908,111,"Essence Item",46750,[]
31,9909,131,"Currency Item",54300,[]
32,9910,151,"Unique Item",59184,[]
33,9911,121,"Map Item",43361,[]
34,9912,251,"Unique Map Item",37492,[]
35,9913,301,"Rare Abyss Item",2531,[]
36,9914,301,"Fragment Item",4173,[]
37,9915,301,"Scarab Item",25303,[]
38,9916,151,"Essence Item",31454,[]
39,9917,301,"Fossil Item",51101,[]
40,9918,221,"Expedition Item",41074,[]
41,9919,151,"Stacked Decks",47490,[]
42,9920,151,"Talisman Item",23793,[]
43,9921,161,"Labyrinth Item",42868,[]
44,9922,1001,"6-Linked Armour Item",12755,[]
45,9923,141,"Currency Item",30048,[]
46,9924,1501,"League-specific Unique Item",32094,[]
47,9925,501,"Shaper or Elder Armour Item",38195,[]
48,9926,501,"Shaper or Elder Weapon Item",28068,[]
49,9927,701,"Shaper or Elder Trinket Item",52048,[]
50,9928,501,"Elder Map Item",56725,[]
51,9929,351,"Breach Item",39939,[]
52,9930,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,9931,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,9932,301,"Item",55071,[]
55,9933,121,"Quality Gem",43471,[]
56,9934,151,"Bestiary Item",58563,[]
57,9935,221,"Blight Item",24651,[]
58,9936,221,"Ultimatum Item",65346,[]
59,9937,431,"Delirium Item",12740,[]
