"rownum","DelveUpgradeTypeKey","UpgradeLevel","StatsKeys","StatValues","Cost","i32","AchievementItemsKey","i32"
0,6,0,[],[],0,0,"",0
1,0,0,[7805],[1200],0,0,"",0
2,0,1,[7805],[1800],15,1,"",6
3,0,2,[7805],[2400],102,2,"",13
4,0,3,[7805],[3000],187,3,"",20
5,0,4,[7805],[4000],300,4,"",25
6,0,5,[7805],[5200],444,4,"",29
7,0,6,[7805],[6400],630,4,"",35
8,0,7,[7805],[9000],865,4,"",0
9,0,8,[7805],[12500],1016,4,"",0
10,0,9,[7805],[17500],1496,4,"",0
11,0,10,[7805],[22750],2143,4,"",0
12,0,11,[7805],[30000],5271,4,"",0
13,0,12,[7805],[38500],12962,4,"",0
14,0,13,[7805],[46000],21521,4,"",0
15,0,14,[7805],[55000],33728,4,"",0
16,0,15,[7805],[65000],54709,4,"",0
17,1,0,[7806],[3],0,0,"",0
18,1,1,[7806],[4],92,0,"",6
19,1,2,[7806],[5],199,0,"",13
20,1,3,[7806],[6],370,0,"",20
21,1,4,[7806],[7],560,0,"",25
22,1,5,[7806],[8],762,0,"",29
23,1,6,[7806],[9],1255,0,"",35
24,1,7,[7806],[10],1495,0,"",0
25,1,8,[7806],[11],1860,0,"",0
26,1,9,[7806],[12],2312,0,"",0
27,1,10,[7806],[13],4046,0,"",0
28,1,11,[7806],[14],7081,0,"",0
29,1,12,[7806],[15],12391,0,"",0
30,1,13,[7806],[16],18678,0,"",0
31,1,14,[7806],[17],25082,0,"",0
32,1,15,[7806],[18],33246,0,"",0
33,1,16,[7806],[19],43909,0,"",0
34,1,17,[7806],[20],58214,0,"",0
35,2,0,[7807],[2],0,0,"",0
36,2,1,[7807],[3],70,0,"",0
37,2,2,[7807],[4],214,0,"",0
38,2,3,[7807],[5],586,0,"",0
39,2,4,[7807],[6],1386,0,"",0
40,2,5,[7807],[7],2050,0,"",0
41,3,0,[7808],[0],0,0,"",0
42,3,1,[7808],[30],50,1,"",6
43,3,2,[7808],[60],167,2,"",13
44,3,3,[7808],[90],312,3,"",20
45,3,4,[7808],[120],505,4,"",25
46,3,5,[7808],[150],688,4,"",29
47,3,6,[7808],[180],1012,4,"",35
48,3,7,[7808],[210],1224,4,"",0
49,3,8,[7808],[240],1397,4,"",0
50,3,9,[7808],[270],1487,4,"",0
51,3,10,[7808],[300],1682,4,"",0
52,3,11,[7808],[330],1832,4,"",0
53,3,12,[7808],[360],1943,4,"",0
54,3,13,[7808],[390],2222,4,"",0
55,3,14,[7808],[420],2276,4,"",0
