"rownum","Id","CursorDefault","CursorClick","i32","i32","CursorHover","Description","IsEnabled","i32"
0,"Default","Art/2DArt/Cursors/Default.bmp","Art/2DArt/Cursors/Default_Click.bmp",0,0,"Art/2DArt/Cursors/Default_Hover.bmp","Regular",1,-100
1,"HighContrast","Art/2DArt/Cursors/Contrast.bmp","Art/2DArt/Cursors/Contrast_Click.bmp",0,0,"Art/2DArt/Cursors/Contrast_Hover.bmp","High-contrast",1,-99
2,"Maraketh","Art/2DArt/Cursors/Maraketh.bmp","Art/2DArt/Cursors/Maraketh_Click.bmp",0,0,"Art/2DArt/Cursors/Maraketh_Hover.bmp","","",0
3,"Vaal","Art/2DArt/Cursors/Vaal.bmp","Art/2DArt/Cursors/Vaal_Click.bmp",0,0,"Art/2DArt/Cursors/Vaal_Hover.bmp","","",0
4,"Eternal","Art/2DArt/Cursors/Eternal.bmp","Art/2DArt/Cursors/Eternal_Click.bmp",0,0,"Art/2DArt/Cursors/Eternal_Hover.bmp","","",0
5,"Karui","Art/2DArt/Cursors/Karui.bmp","Art/2DArt/Cursors/Karui_Click.bmp",0,0,"Art/2DArt/Cursors/Karui_Hover.bmp","","",0
6,"Ezomyte","Art/2DArt/Cursors/Ezomyte.bmp","Art/2DArt/Cursors/Ezomyte_Click.bmp",0,0,"Art/2DArt/Cursors/Ezomyte_Hover.bmp","","",0
7,"ContrastGreenArmour","Art/2DArt/Cursors/ContrastGreenArmour.bmp","Art/2DArt/Cursors/ContrastGreenArmour_Click.bmp",0,0,"Art/2DArt/Cursors/ContrastGreenArmour_Hover.bmp","Green",1,0
8,"ContrastGreenArmourInvert","Art/2DArt/Cursors/ContrastGreenArmourInv.bmp","Art/2DArt/Cursors/ContrastGreenArmourInv_Click.bmp",0,0,"Art/2DArt/Cursors/ContrastGreenArmourInv_Hover.bmp","Green (Inverted)",1,0
9,"ContrastInvert","Art/2DArt/Cursors/ContrastInvert.bmp","Art/2DArt/Cursors/ContrastInvert_Click.bmp",0,0,"Art/2DArt/Cursors/ContrastInvert_Hover.bmp","High-contrast (Inverted)",1,-99
10,"ContrastPinkArmour","Art/2DArt/Cursors/ContrastPinkArmour.bmp","Art/2DArt/Cursors/ContrastPinkArmour_Click.bmp",0,0,"Art/2DArt/Cursors/ContrastPinkArmour_Hover.bmp","Pink",1,0
11,"ContrastPinkArmourInvert","Art/2DArt/Cursors/ContrastPinkArmourInv.bmp","Art/2DArt/Cursors/ContrastPinkArmourInv_Click.bmp",0,0,"Art/2DArt/Cursors/ContrastPinkArmourInv_Hover.bmp","Pink (Inverted)",1,0
