"rownum","Id","MiscAnimated","[i32]","[string]","string","string","string","string","i32","i32","string","bool"
0,"ChargeEndurance",3,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01",134,0,"",""
1,"ChargeFrenzy",5,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01",134,0,"",""
2,"ChargePower",4,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01",134,0,"",""
3,"ChargeEnduranceMonster",3,[],[],"chargeEnd_01","","chargeGain_01_nosound","chargeLoop_01",134,0,"",""
4,"ChargeFrenzyMonster",5,[],[],"chargeEnd_01","","chargeGain_01_nosound","chargeLoop_01",134,0,"",""
5,"ChargePowerMonster",4,[],[],"chargeEnd_01","","chargeGain_01_nosound","chargeLoop_01",134,0,"",""
6,"ChargeEnduranceElder",1759,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
7,"ChargeFrenzyElder",1760,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
8,"ChargePowerElder",1758,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
9,"ChargePowerAlternate",666,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
10,"ChargeFrenzyBloodDance",4074,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
11,"ChargeFrenzySuper",844,[],[],"orb_finish","","","",70,0,"",""
12,"ChargeSpirit",1662,[],[],"orb_finish","","","",70,0,"",""
13,"ChargeSiphoning",1800,[],[],"orb_finish","","","",70,0,"",""
14,"ChargeVoid",1803,[],[],"orb_finish","","","",70,0,"",""
15,"ChargeDivine",2861,[],[],"orb_finish","","","",70,0,"",""
16,"ChargeInspiration",3440,[],[],"orb_finish","","","",70,0,"",""
17,"ChargeBrutal",5019,[],[],"orb_finish","","","",70,0,"",""
18,"ChargeAffliction",5020,[],[],"orb_finish","","","",70,0,"",""
19,"ChargeAbsorption",5021,[],[],"orb_finish","","","",70,0,"",""
20,"BloodlinesChargeZeal",471,[],[],"orb_finish","","","",70,0,"",""
21,"BloodlinesChargeVigor",472,[],[],"orb_finish","","","",70,0,"",""
