"rownum","Id","WorldAreas","MinCount","MaxCount","BossMonsterSpawnChance","BossCount","BossMonsters","bool","[i32]","Grounds","Tags","MinLevel","MaxLevel","[rid]","Formation","i32","bool","[string]","bool","bool","string","bool","bool","AdditionalMonsters","AdditionalCounts"
0,"expedition-fodder1",[0],3,6,0,0,[],"",[1],[],[],0,100,[],"",20,1,[],1,"","",1,"",[],[]
1,"expedition-fodder2",[0],2,4,0,0,[],"",[1],[],[],0,100,[],"",20,1,[],1,"","",1,"",[],[]
2,"expedition-fodder3",[0],2,5,0,0,[],"",[1],[],[],0,100,[],"",20,1,[],1,"","",1,"",[],[]
3,"expedition-fodder4",[0],2,4,0,0,[],"",[1],[],[],0,100,[],"",20,1,[],1,"","",1,"",[],[]
4,"expedition-fodder5",[0],2,3,0,0,[],"",[1],[],[],0,100,[],"",20,1,[],1,"","",1,"",[],[]
5,"expedition-faction1-elite1",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,1,[],"","","",1,"",[547],[1]
6,"expedition-faction1-elite2",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,1,[],"","","",1,"",[534],[1]
7,"expedition-faction2-elite1",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,1,[],"","","",1,"",[542],[1]
8,"expedition-faction2-elite2",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,1,[],"","","",1,"",[550],[1]
9,"expedition-faction3-elite1",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,1,[],"","","",1,"",[546],[1]
10,"expedition-faction3-elite2",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,1,[],"","","",1,"",[551],[1]
11,"expedition-faction4-elite1",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,1,[],"","","",1,"",[543],[1]
12,"expedition-faction4-elite2",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,1,[],"","","",1,"",[545],[1]
13,"expedition-subarea-fodder1",[0],5,8,0,0,[],"",[1],[],[],0,100,[],"",0,1,[],1,"","",1,"",[],[]
14,"expedition-subarea-fodder2",[0],4,8,0,0,[],"",[1],[],[],0,100,[],"",0,1,[],1,"","",1,"",[],[]
15,"expedition-subarea-fodder3",[0],4,8,0,0,[],"",[1],[],[],0,100,[],"",0,1,[],1,"","",1,"",[],[]
16,"expedition-subarea-fodder4",[0],5,9,0,0,[],"",[1],[],[],0,100,[],"",0,1,[],1,"","",1,"",[],[]
17,"expedition-subarea-faction1-elite1",[0],3,5,100,1,[547],"",[1],[],[],0,100,[],"",0,1,[],1,"","",1,"",[547],[1]
18,"expedition-subarea-faction1-elite2",[0],4,8,100,1,[548],"",[1],[],[],0,100,[],"",0,1,[],1,"","",1,"",[548],[1]
