"rownum","Id","rid","rid","bool","bool","bool","bool","i32","bool"
0,0,"",272,1,1,"",1,0,1
1,1,73,"","",1,"",1,0,1
2,2,158,159,"",1,"",1,0,1
3,3,273,274,"",1,"",1,0,1
4,4,"","","",1,"",1,0,1
5,5,273,"","",1,"",1,0,1
6,6,273,"",1,1,"",1,0,1
7,7,1388,"","","","",1,0,1
8,8,2041,"","","",1,1,0,1
9,9,2338,"","","",1,1,0,1
10,10,2497,"","","",1,1,0,1
11,11,2474,"","","","",1,0,1
12,12,2843,"","","","",1,0,1
13,13,273,"","",1,"",1,0,1
14,14,3171,"","",1,"",1,0,1
15,15,3172,"","",1,"",1,0,1
16,16,3173,"","",1,"",1,0,1
17,17,3224,"","","","",1,0,1
18,18,3365,"","","","",1,-100,1
19,19,490,272,1,"","",1,0,1
20,20,1783,"","","","",1,0,1
21,25,3790,"","","",1,1,0,1
22,26,4139,"","","","",1,0,1
23,27,4253,"","","","",1,0,1
24,28,4673,"","","","",1,0,1
25,29,4828,"",1,"",1,1,0,1
26,30,4851,"","",1,"",1,0,1
27,31,5108,"","","",1,1,0,1
28,32,5107,"","","","",1,0,1
29,33,5111,"","","",1,1,0,1
30,34,5112,"","","",1,1,0,1
31,35,5110,"","","",1,1,0,1
32,36,5157,"",1,1,1,1,0,1
33,37,5158,"",1,1,1,1,0,1
34,38,5826,"","",1,1,1,0,1
35,39,5922,"","","","",1,0,1
36,40,6399,"","","",1,1,0,1
37,41,6439,"","","",1,1,0,1
38,42,6494,"","","",1,1,0,1
39,1000,6685,"","","",1,1,0,1
40,44,7420,"","","","",1,0,1
41,45,7424,"","","","",1,0,1
42,1001,6724,"","","",1,1,0,""
43,1002,5108,"","","",1,1,0,1
44,1003,7334,"","","","",1,0,1
45,1004,7340,"","",1,"",1,0,1
46,1005,7325,"","","","",1,0,1
47,1006,7675,"","","","",1,0,1
48,1007,7896,"","","",1,1,0,1
49,1008,8062,"",1,"","",1,150,1
50,1009,8403,"","","","",1,0,1
51,1010,8471,"","","",1,1,0,1
52,1011,5159,"","","","",1,0,1
53,1012,8879,"","","",1,1,0,1
